05:07:17 INFO Logging to C:\Users\nikit\Documents\clairvoyance\extract_events.log
05:07:17 INFO Querying master database...
05:07:17 INFO Found 250 character variants, 128 characters with shared events
05:07:17 INFO Total unique story_ids to process: 12957
05:07:17 INFO Reading meta database for story bundles...
05:07:19 INFO Found 12957/12957 story bundles in meta
05:07:19 INFO Extracting choices from 12957 bundles...
05:07:19 INFO Using 8 worker processes
05:07:20 INFO   Progress: 100/12957 bundles
05:07:21 INFO   Progress: 200/12957 bundles
05:07:21 INFO   Progress: 300/12957 bundles
05:07:22 INFO   Progress: 400/12957 bundles
05:07:23 INFO   Progress: 500/12957 bundles
05:07:24 INFO   Progress: 600/12957 bundles
05:07:26 INFO   Progress: 700/12957 bundles
05:07:27 INFO   Progress: 800/12957 bundles
05:07:28 INFO   Progress: 900/12957 bundles
05:07:29 INFO   Progress: 1000/12957 bundles
05:07:30 INFO   Progress: 1100/12957 bundles
05:07:31 INFO   Progress: 1200/12957 bundles
05:07:32 INFO   Progress: 1300/12957 bundles
05:07:34 INFO   Progress: 1400/12957 bundles
05:07:35 INFO   Progress: 1500/12957 bundles
05:07:36 INFO   Progress: 1600/12957 bundles
05:07:37 INFO   Progress: 1700/12957 bundles
05:07:38 INFO   Progress: 1800/12957 bundles
05:07:39 INFO   Progress: 1900/12957 bundles
05:07:40 INFO   Progress: 2000/12957 bundles
05:07:42 INFO   Progress: 2100/12957 bundles
05:07:43 INFO   Progress: 2200/12957 bundles
05:07:44 INFO   Progress: 2300/12957 bundles
05:07:45 INFO   Progress: 2400/12957 bundles
05:07:47 INFO   Progress: 2500/12957 bundles
05:07:48 INFO   Progress: 2600/12957 bundles
05:07:49 INFO   Progress: 2700/12957 bundles
05:07:50 INFO   Progress: 2800/12957 bundles
05:07:51 INFO   Progress: 2900/12957 bundles
05:07:52 INFO   Progress: 3000/12957 bundles
05:07:54 INFO   Progress: 3100/12957 bundles
05:07:55 INFO   Progress: 3200/12957 bundles
05:07:56 INFO   Progress: 3300/12957 bundles
05:07:58 INFO   Progress: 3400/12957 bundles
05:07:59 INFO   Progress: 3500/12957 bundles
05:08:00 INFO   Progress: 3600/12957 bundles
05:08:01 INFO   Progress: 3700/12957 bundles
05:08:03 INFO   Progress: 3800/12957 bundles
05:08:04 INFO   Progress: 3900/12957 bundles
05:08:05 INFO   Progress: 4000/12957 bundles
05:08:06 INFO   Progress: 4100/12957 bundles
05:08:07 INFO   Progress: 4200/12957 bundles
05:08:09 INFO   Progress: 4300/12957 bundles
05:08:10 INFO   Progress: 4400/12957 bundles
05:08:11 INFO   Progress: 4500/12957 bundles
05:08:12 INFO   Progress: 4600/12957 bundles
05:08:14 INFO   Progress: 4700/12957 bundles
05:08:15 INFO   Progress: 4800/12957 bundles
05:08:17 INFO   Progress: 4900/12957 bundles
05:08:18 INFO   Progress: 5000/12957 bundles
05:08:19 INFO   Progress: 5100/12957 bundles
05:08:20 INFO   Progress: 5200/12957 bundles
05:08:22 INFO   Progress: 5300/12957 bundles
05:08:23 INFO   Progress: 5400/12957 bundles
05:08:24 INFO   Progress: 5500/12957 bundles
05:08:25 INFO   Progress: 5600/12957 bundles
05:08:27 INFO   Progress: 5700/12957 bundles
05:08:28 INFO   Progress: 5800/12957 bundles
05:08:29 INFO   Progress: 5900/12957 bundles
05:08:31 INFO   Progress: 6000/12957 bundles
05:08:32 INFO   Progress: 6100/12957 bundles
05:08:33 INFO   Progress: 6200/12957 bundles
05:08:34 INFO   Progress: 6300/12957 bundles
05:08:36 INFO   Progress: 6400/12957 bundles
05:08:37 INFO   Progress: 6500/12957 bundles
05:08:39 INFO   Progress: 6600/12957 bundles
