uma_id,uma_name,story_num,num_participants,chara_id_1,chara_id_2,chara_id_3,chara_name_1,chara_name_2,chara_name_3,pos_id,location,story_id,asset_name,lines
1001,Special Week,1,1,1001,,,Special Week,,,410,middle right (advertisements),1001001,home/data/00000/01/hometimeline_00000_01_1001001,"Special Week: Hmmm... What song should I pick for my singing lessons...|Special Week: The teacher said it's fine to just pick a song I like, but I don't know any popular songs...|Special Week: Songs I like, huh... What about ""LOVE & TURF""? Mom used to sing it all the time.|Special Week: She said Mama really liked it too... All right, I'll do that song!"
1001,Special Week,2,1,1001,,,Special Week,,,510,front left (campus map),1001002,home/data/00000/01/hometimeline_00000_01_1001002,"Special Week: Tracen Academy sure is big!|Special Week: It reminds me of... the open fields back home.|Special Week: Jogging through those fields was the best... Makes me want to run!|Special Week: Wait, no, I can't! Mustn't run in the halls... Running in the halls is bad..."
1001,Special Week,3,1,1001,,,Special Week,,,310,middle left (table),1001003,home/data/00000/01/hometimeline_00000_01_1001003,"Special Week: That cheese my mom sent sure was tasty...|Special Week: It was so rich... Really gave me a craving for some fresh milk straight from the cow...|Special Week: Ah, that's it! Trainer, what if we raised dairy cows on campus?|Special Week: We could use the cow pies as fertilizer for the fields too! And while we're at it, why don't we raise some chickens and pigs—|Special Week: Ah, wait, then I guess it'd be more of a farm than a school, huh...|Special Week: Awww... I thought I had a pretty good thing going there..."
1001,Special Week,4,2,1001,1002,,Special Week,Silence Suzuka,,120,right (jukebox),1001001,home/data/00000/02/hometimeline_00000_02_1001001,"Special Week: There are so many Umamusume here... It still feels weird to me.|Silence Suzuka: You were the only Umamusume living in your hometown, right?|Special Week: Right. That's probably why I get a little nervous around the others occasionally...|Special Week: But I made a promise to my mom, so I've gotta make lots and lots of friends here!|Silence Suzuka: Hehe, I'm sure you'll do just that.|Special Week: Once I make a hundred friends, I wanna have a huuuge picnic with everyone! ♪|Special Week: When that happens, let's eat lots and lots of carrot sandwiches!|Silence Suzuka: Okay, I can't wait."
1001,Special Week,5,2,1003,1001,,Tokai Teio,Special Week,,520,front left (campus map),1001002,home/data/00000/02/hometimeline_00000_02_1001002,"Tokai Teio: Spe, Spe! I heard you're having trouble with your homework.|Special Week: I aaaam! Why does math have to be so hard...|Tokai Teio: Well, why didn't you say something sooner? The genius Teio will help you study! ♪|Special Week: Wow, really?! Well, then by all mea—|Special Week: Huh? Wait, Teio... Aren't you a year below me?|Tokai Teio: Hm? Am I? Well, I'm super smart, so it doesn't matter! ♪|Special Week: Wow, thanks, Teio! Then please, share your math knowledge with me!|Tokai Teio: Ehehehe! You've got it!"
1001,Special Week,6,3,1001,1014,1011,Special Week,El Condor Pasa,Grass Wonder,430,middle right (advertisements),1,home/data/00000/03/hometimeline_00000_03_0000001,"Special Week: You guys, you guys! Tomorrow the crepe place is going to be half off! We should go!|El Condor Pasa: Great idea! I'll obviously have the El Special!|Grass Wonder: El Special? Is that what you ordered last time?|El Condor Pasa: Claro! It's an egg and sausage crepe with lots and LOTS of hot sauce! The perfect crepe for me! ♪|Special Week: I think I'll get the vanilla ice cream crepe made with real Hokkaido milk! ♪ How about you, Grass?|Grass Wonder: I suppose I'll get the red bean and matcha syrup crepe. I just love how subtle the sweetness is...|Special Week: Japanese-style crepes do sound good! ♪ All right, I can't wait until tomorrow!|Grass Wonder: Well, then you'd better get studying... Failing tomorrow's quiz will result in extra lessons, and that means no crepes.|Special Week: Okay...|El Condor Pasa: Yes, ma'am..."
1002,Silence Suzuka,1,1,1002,,,Silence Suzuka,,,310,middle left (table),1002001,home/data/00000/01/hometimeline_00000_01_1002001,"Silence Suzuka: <i>Huff...</i> I can't... I should stop here...|Silence Suzuka: But I... I love it so much... It's calling me back already...|Silence Suzuka: The turf!|Silence Suzuka: ...Okay, a short break, and then one more lap. That shouldn't count as overworking myself... right?"
1002,Silence Suzuka,2,1,1002,,,Silence Suzuka,,,210,back left (campus map),1002002,home/data/00000/01/hometimeline_00000_01_1002002,"Silence Suzuka: This morning, I had my fortune told by  Fukukitaru.|Silence Suzuka: She said taiyaki would lead me to the one who will show me the greatest scenery...|Silence Suzuka: But I haven't run into anybody so far... Am I supposed to be doing something special?|Silence Suzuka: Like... Feeding anyone who looks like the right person?"
1002,Silence Suzuka,3,1,1002,,,Silence Suzuka,,,110,right (jukebox),1002003,home/data/00000/01/hometimeline_00000_01_1002003,"Silence Suzuka: Phew... Delicious.|Silence Suzuka: Trainer, do you happen to know this drink's slogan?|Silence Suzuka: ""Beyond the clearest vista.""|Silence Suzuka: That phrase really stuck with me as a child. Now I feel nostalgic whenever I have this drink.|Silence Suzuka: Hehe... Maybe I should get one more."
1002,Silence Suzuka,4,2,1010,1002,,Taiki Shuttle,Silence Suzuka,,520,front left (campus map),1002001,home/data/00000/02/hometimeline_00000_02_1002001,"Taiki Shuttle: Suzuka! It happened again! I found more crop circles!|Silence Suzuka: R-really? Are you sure you're not just—|Taiki Shuttle: I swear I wasn't imaginin' things! Cross my heart!|Taiki Shuttle: It was by the riverbank and in the tall grass by the park! There were these swirly-lookin' circles in the grass!|Silence Suzuka: Huh? But I was training in both of those areas recently...|Taiki Shuttle: Oho? Does that mean you're callin' the UFOs here?|Silence Suzuka: Hehehe, of course not. That's just—|Silence Suzuka: (Wait... I trained in the last place she found circles in too. Does that... mean...)|Silence Suzuka: N-no way... Am I really... summoning aliens?|Taiki Shuttle: Only one way to find out! Let's go train on the roof! ☆"
1002,Silence Suzuka,5,2,1002,1018,,Silence Suzuka,Air Groove,,220,back left (campus map),1002002,home/data/00000/02/hometimeline_00000_02_1002002,"Silence Suzuka: I see the student council is busy as always. I hope you're faring well, Air—um, I mean <i>Ms.</i> Air Groove.|Air Groove: ...Why are you talking like that? Is something wrong?|Silence Suzuka: Spe is always so polite around you, so I thought I should do the same...|Air Groove: So that's it... Well, not that I mind formal  language in general...|Air Groove: But you and I are far too close for that, no? I see no point in keeping each other at arm's length.|Silence Suzuka: Hehe, true.|Silence Suzuka: Then I won't hold back in my speech... or our races.|Air Groove: ...!|Air Groove: Heh, that's what I like to hear.|Silence Suzuka: Ehehe."
1003,Tokai Teio,1,1,1003,,,Tokai Teio,,,310,middle left (table),1003001,home/data/00000/01/hometimeline_00000_01_1003001,"Tokai Teio: Hey, listen to this, Trainerrr!|Tokai Teio: Mayano said I'm still a stupid kid 'cause I don't know anything about love!|Tokai Teio: But that's not true! I know a thing or two about it, I swear!|Tokai Teio: I mean, your chest gets all tight and your heart goes crazy, right? That's just like what happens when I watch a super amazing race!|Tokai Teio: Hey! What're you laughing at?! If I'm wrong, just tell me!"
1003,Tokai Teio,2,1,1003,,,Tokai Teio,,,410,middle right (advertisements),1003002,home/data/00000/01/hometimeline_00000_01_1003002,"Tokai Teio: Greetings, dear Trainer! How farest thou?|Tokai Teio: Me? Why, I'm simply speaking like a true monarch of the turf should. ♪|Tokai Teio: Pretty cool, doncha thin—I mean, magnificent, don't you agree?|Tokai Teio: Urgh... This is harder than I thought!"
1003,Tokai Teio,3,1,1003,,,Tokai Teio,,,510,front left (campus map),1003003,home/data/00000/01/hometimeline_00000_01_1003003,"Tokai Teio: Now let's see... Where could everyone be hiding this time?|Tokai Teio: Mayano and Marvelous seem like they'd get tired of waiting to be found, sooo...|Tokai Teio: I bet they're hiding in places where they can distract themselves, like the school store or the cafe!|Tokai Teio: All right! I'll show you both just how great Tokai Teio is! Ready or not, here I come! ♪"
1003,Tokai Teio,4,2,1003,1017,,Tokai Teio,Symboli Rudolf,,220,back left (campus map),1003001,home/data/00000/02/hometimeline_00000_02_1003001,"Tokai Teio: Is Air Groove seriously <i>still</i> talking with the teacher?|Tokai Teio: Look at my poor tail and ears... Even they're bored out of their minds!|Symboli Rudolf: Is that so? I don't think that much time has passed.|Tokai Teio: You're just too patient, Prez! And why are you suddenly so free anyway? You're <i>always</i> busy!|Symboli Rudolf: I simply have no pressing matters that need my attention. I thought this would be a good time to stretch my legs, so to speak.|Symboli Rudolf: Besides, it's not often that I have time to chat with you, so I'd like it to last a while.|Tokai Teio: R-really?|Tokai Teio: Ehehe! ♪ Well, if that's what you want, I suppose I can stick around a <i>liiittle</i> longer!|Tokai Teio: So whatcha wanna talk about? The day we first met?|Symboli Rudolf: Whatever you please. I simply wish to hear you speak with joy in your voice."
1003,Tokai Teio,5,2,1003,1013,,Tokai Teio,Mejiro McQueen,,420,middle right (advertisements),1003002,home/data/00000/02/hometimeline_00000_02_1003002,"Tokai Teio: Hey, McQueen! Wanna play baseball together?|Tokai Teio: You go to games pretty regularly, right? I need a teammate, so I figured you'd be the one to ask!|Mejiro McQueen: H-how did you—|Tokai Teio: I happened to hear you talking to Golshi, that's all! ♪ A fan like you must've played a game or two, right?|Mejiro McQueen: Urgh... Well, you're not exactly wrong...|Tokai Teio: Then let's play! That should be just as fun as watching, right?|Tokai Teio: Especially when you hit the ball! The sound of the metal bat colliding with the ball is the best! ♪|Mejiro McQueen: W-well... I suppose you leave me with no choice but to—|Tokai Teio: Yippee! We needed an umpire to play, so this is perfect!|Mejiro McQueen: Umpire?! Now hold on! The umpire doesn't get to hit the ball at all!"
1004,Maruzensky,1,1,1004,,,Maruzensky,,,310,middle left (table),1004001,home/data/00000/01/hometimeline_00000_01_1004001,"Maruzensky: Awww, turned down again. What's everybody so shy for?|Maruzensky: Ah, perfect timing!|Maruzensky: How'd you like to go on a date with little ol' me?|Maruzensky: We'll go for a drive along the beach! I'll be sure to leave your heart pounding. ☆"
1004,Maruzensky,2,1,1004,,,Maruzensky,,,210,back left (campus map),1004002,home/data/00000/01/hometimeline_00000_01_1004002,Maruzensky: Ugh...Talk about <i>bogus.</i>  Why didn't I clean my place sooner?|Maruzensky: Living on your own means you can easily put off cleaning for another day.|Maruzensky: But that's the problem! My juniors are coming over tomorrow! I need to clean!|Maruzensky: I know! I'll just put everything on the floor into the closet! Problem solved!
1004,Maruzensky,3,1,1004,,,Maruzensky,,,110,right (jukebox),1004003,home/data/00000/01/hometimeline_00000_01_1004003,"Maruzensky: Kids these days put pictures of their food on the world wide web, right?|Maruzensky: Well, have I got the perfect dishes for that! Everyone on Umastagram will be sooo jelly!|Maruzensky: You wanna know? Tiramisu and nata de coco! Serve 'em with Italian food, and you've got the <i>hottest</i> spread around!|Maruzensky: I'm sure you'll get lots of ""Looks"" with that combo!"
1004,Maruzensky,4,2,1004,1017,,Maruzensky,Symboli Rudolf,,420,middle right (advertisements),1004001,home/data/00000/02/hometimeline_00000_02_1004001,"Maruzensky: Hey, Rudolf. You know, our uniform's cute and all...|Maruzensky: But I get the feeling that a liiittle tweaking would make everyone feel even more powerful!|Symboli Rudolf: Uniforms are not something that can be changed on a whim, but... Let's hear it.|Maruzensky: Far out! Lemme give you the skinny. ☆|Maruzensky: There's an item that, when put in clothes, makes you appear super dignified and waaay cooler instantly!|Maruzensky: And that is... <i>shoulder pads!</i>|Symboli Rudolf: Shoulder pads... I believe I've heard of them. The fact that they can change your silhouette so drastically is indeed interesting.|Maruzensky: I know, right? Strong shoulders are the sign of a strong person. ☆|Maruzensky: Everyone will look super fresh with their new, bold shoulders!|Symboli Rudolf: Hm... Perhaps I will bring this up in the next student council meeting."
1004,Maruzensky,5,2,1011,1004,,Grass Wonder,Maruzensky,,120,right (jukebox),1004002,home/data/00000/02/hometimeline_00000_02_1004002,"Grass Wonder: Thank you for treating me, Maruzen.|Maruzensky: No problemo! Think of it as payback for going for a drive with me! ☆|Maruzensky: Sooo, how've things been since? Everything chill?|Grass Wonder: Hehe, yes. The irritation I felt up until now has been blown away, carried off by the wind.|Maruzensky: Hehe, well, that's good!|Maruzensky: ...You know, I've thought this before, but you and I are really similar.|Maruzensky: Which is why... you should come to me when you're troubled. We'll go for a drive and blow your problems away! ♪|Grass Wonder: Hehe, all right, but...|Grass Wonder: I don't want everything to be about me every time, so how about I invite you to tea next time?|Maruzensky: I getcha! Sounds groovy to me, baby! I'll drink your tea any day of the week. ☆"
1004,Maruzensky,6,3,1046,1031,1004,Smart Falcon,Ines Fujin,Maruzensky,430,middle right (advertisements),13,home/data/00000/03/hometimeline_00000_03_0000013,"Smart Falcon: You know, to make it as an Umadol, it's extra important to keep up with the latest trends! ♪|Ines Fujin: I don't really know much about Umadols, but I think that's a great point!|Maruzensky: Then first things first—folding fans! The flashier and fluffier they are, the more attention you'll grab. ♪|Ines Fujin: Fluffy folding fans? I don't think I've ever seen those...|Smart Falcon: Flashy and super fluffy? Oooh! Sounds  great—perfect for an Umadol! ☆|Maruzensky: Pair that with a glittering bodycon dress and you'll be super fly! ♪|Ines Fujin: Bodycon? I've never heard that either...|Maruzensky: With that settled, let's go get changed! We've got to jet while the iron's hot! ♪|Smart Falcon: All right, let's do iiit! ☆ Woo! Umadols, gooo!|Ines Fujin: Hey, wait a minute! I'm pretty sure <i>none</i> of those are the latest trends!"
1005,Fuji Kiseki,1,1,1005,,,Fuji Kiseki,,,310,middle left (table),1005001,home/data/00000/01/hometimeline_00000_01_1005001,"Fuji Kiseki: What's this? ""A blinding light, the stage of miracles..."" As radiant as ever, I see...|Fuji Kiseki: But I shall not be overshadowed!|Fuji Kiseki: I swore I would give the crowd the show of a lifetime. And I intend to keep that promise.|Fuji Kiseki: I'm no longer that little girl watching you go. I'm forging my own path now... Mother."
1005,Fuji Kiseki,2,1,1005,,,Fuji Kiseki,,,510,front left (campus map),1005002,home/data/00000/01/hometimeline_00000_01_1005002,"Fuji Kiseki: Oh dear, someone looks tired.|Fuji Kiseki: I just hate to see you like this... I like you best when you're smiling...|Fuji Kiseki: Eeend scene. ♪|Fuji Kiseki: I found that line in one of the romance manga my juniors are so enamored with these days. How did I do?|Fuji Kiseki: I do apologize for the scare. But I can assure you that it wasn't a lie.|Fuji Kiseki: After all, I would love nothing more than for you to be happy and full of life."
1005,Fuji Kiseki,3,1,1005,,,Fuji Kiseki,,,410,middle right (advertisements),1005003,home/data/00000/01/hometimeline_00000_01_1005003,"Fuji Kiseki: Hmmm... Could we perhaps cut our meeting a little short today?|Fuji Kiseki: One of my juniors seeks my advice, and I also need to help the dorm keeper with something. After that, there's the study session I need to—|Fuji Kiseki: Ah... Apologies. As you can see, I'm quite the busy bee.|Fuji Kiseki: Um... Please don't look at me like that. I assure you I'm not overworking myself. I swear!|Fuji Kiseki: ...All right, I shall adjust my schedule. I certainly don't wish to worry you any further."
1005,Fuji Kiseki,4,2,1005,1012,,Fuji Kiseki,Hishi Amazon,,120,right (jukebox),1005001,home/data/00000/02/hometimeline_00000_02_1005001,"Fuji Kiseki: Hm... Mhm.|Hishi Amazon: What the? The heck're you staring at?!|Fuji Kiseki: It's nothing. I just find it so amusing that everyone treats you like their big sister.|Fuji Kiseki: I'd like to try it myself sometime... What if I called you... Big Sis?|Hishi Amazon: I'm not your Big Sis! Besides, you'd never use something so plain...|Hishi Amazon: Knowing you, you'd go with something flowery like ""Dearest Sister,"" or—|Fuji Kiseki: Oh my!|Fuji Kiseki: To think you would call me that... I must say, I'm delighted!|Hishi Amazon: What?! Th-that was just an example! Forget you ever heard it!|Fuji Kiseki: Ahaha! I believe that will be rather difficult, Big Sis. ♪|Hishi Amazon: Fuuuuujjjiiiii!"
1005,Fuji Kiseki,5,2,1005,1032,,Fuji Kiseki,Agnes Tachyon,,520,front left (campus map),1005002,home/data/00000/02/hometimeline_00000_02_1005002,"Fuji Kiseki: You see, I'm currently on the hunt for a new trick to dazzle the audience with.|Agnes Tachyon: Oho? Then allow me to be of assistance! I just happen to have a new serum I've been meaning to—|Fuji Kiseki: Now, now, Tachyon. What did I say about experimenting on others?|Fuji Kiseki: I <i>would</i> appreciate your help, though. Your research is very intriguing to me, after all.|Agnes Tachyon: Hmph... Fine, have it your way. But what is it you want from me, then?|Fuji Kiseki: Well... I know! Can you make flowers sparkle like lights?|Fuji Kiseki: I want to see those glistening flowers rain down from the sky, leaving the audience stunned and overjoyed!|Agnes Tachyon: If it's flowers you want, I recently acquired some rafflesia for my genetics research.|Agnes Tachyon: Perhaps I could install some lights into their centers and drop them on the crowd from the rafters.|Fuji Kiseki: U-ummm... That certainly would be stunning, but in a much more... pungent way."
1006,Oguri Cap,1,1,1006,,,Oguri Cap,,,110,right (jukebox),1006001,home/data/00000/01/hometimeline_00000_01_1006001,"Oguri Cap: Hrm... The bell rang before I could finish my test again.|Oguri Cap: If I was a quick thinker like Tama, would my scores go up? Just like... Tama...|Oguri Cap: Whatcha talkin' 'bout?|Oguri Cap: Yup, that's her, all right."
1006,Oguri Cap,2,1,1006,,,Oguri Cap,,,310,middle left (table),1006002,home/data/00000/01/hometimeline_00000_01_1006002,"Oguri Cap: I wonder what Tome and the other folks from back home are doing right now...|Oguri Cap: It'd be nice if I could give them some good news soon.|Oguri Cap: Trainer, do you ever miss your hometown?|Oguri Cap: If you do, please let me know.|Oguri Cap: I will be your Tome!"
1006,Oguri Cap,3,1,1006,,,Oguri Cap,,,210,back left (campus map),1006003,home/data/00000/01/hometimeline_00000_01_1006003,"Oguri Cap: This school is filled with nothing but the best of the best Umamusume...|Oguri Cap: It makes my heart skip a beat. But I'm not scared... I'm excited.|Oguri Cap: Racing everyone here is so much fun, even more fun than back in Kasamatsu.|Oguri Cap: Watch me, Trainer. I swear... I will win!"
1006,Oguri Cap,4,2,1053,1006,,Bamboo Memory,Oguri Cap,,520,front left (campus map),1006001,home/data/00000/02/hometimeline_00000_02_1006001,"Bamboo Memory: Oguri, I challenge you! You and me, on the racecourse!|Oguri Cap: Sure thing. But...|Oguri Cap: Can it wait till after I finish this pork bun? After all...|Oguri Cap: Pork buns should be eaten when they're still hot!|Bamboo Memory: What are you saying?! Why...|Bamboo Memory: Of course you should finish that first! Now hurry up and eat it!|Oguri Cap: Heh... You got it!"
1006,Oguri Cap,5,2,1006,1021,,Oguri Cap,Tamamo Cross,,220,back left (campus map),1006002,home/data/00000/02/hometimeline_00000_02_1006002,"Oguri Cap: ...|Tamamo Cross: That freshly steamed rice and grilled salmon sure hit the spot...|Oguri Cap: Huh?! D-did I say that out loud?|Tamamo Cross: Nah, just a good guess. I figured you'd be thinkin' 'bout food.|Oguri Cap: That's amazing, Tama! You're like a real-life fortune teller!|Tamamo Cross: Yep, yep, it's always been a dream of mine... Nooot!"
1007,Gold Ship,1,1,1007,,,Gold Ship,,,510,front left (campus map),1007001,home/data/00000/01/hometimeline_00000_01_1007001,"Gold Ship: Saturn is exactly eighty light-minutes away from this very spot... Assuming a ten-centimeter diameter, that's the equivalent of lining up 140 million donuts.|Gold Ship: Easy-peasy! If I go all out, I can make that distance in two days!|Gold Ship: YOU! Get ready for lift off! Prepare the  emergency donuts!|Gold Ship: After all, when the going gets tough, the tough need donuts..."
