uma_id,uma_name,story_num,num_participants,chara_id_1,chara_id_2,chara_id_3,chara_name_1,chara_name_2,chara_name_3,pos_id,location,story_id,asset_name,lines
1001,スペシャルウィーク,1,1,1001,,,スペシャルウィーク,,,410,middle right (advertisements),1001001,home/data/00000/01/hometimeline_00000_01_1001001,FILE_MISSING
1001,スペシャルウィーク,2,1,1001,,,スペシャルウィーク,,,510,front left (campus map),1001002,home/data/00000/01/hometimeline_00000_01_1001002,FILE_MISSING
1001,スペシャルウィーク,3,1,1001,,,スペシャルウィーク,,,310,middle left (table),1001003,home/data/00000/01/hometimeline_00000_01_1001003,FILE_MISSING
1001,スペシャルウィーク,4,2,1001,1002,,スペシャルウィーク,サイレンススズカ,,120,right (jukebox),1001001,home/data/00000/02/hometimeline_00000_02_1001001,FILE_MISSING
1001,スペシャルウィーク,5,2,1003,1001,,トウカイテイオー,スペシャルウィーク,,520,front left (campus map),1001002,home/data/00000/02/hometimeline_00000_02_1001002,FILE_MISSING
1001,スペシャルウィーク,6,3,1001,1014,1011,スペシャルウィーク,エルコンドルパサー,グラスワンダー,430,middle right (advertisements),1,home/data/00000/03/hometimeline_00000_03_0000001,FILE_MISSING
1001,スペシャルウィーク,7,2,1001,1002,,スペシャルウィーク,サイレンススズカ,,120,right (jukebox),1001001,home/data/00000/02/hometimeline_00000_02_1001001,FILE_MISSING
1001,スペシャルウィーク,8,3,1011,1014,1001,グラスワンダー,エルコンドルパサー,スペシャルウィーク,430,middle right (advertisements),1001001,home/data/00000/03/hometimeline_00000_03_1001001,ASSET_NOT_IN_META
1001,スペシャルウィーク,9,2,1073,1001,,ツルマルツヨシ,スペシャルウィーク,,220,back left (campus map),1001002,home/data/00000/02/hometimeline_00000_02_1001002,FILE_MISSING
1001,スペシャルウィーク,10,2,1114,1001,,ブエナビスタ,スペシャルウィーク,,420,middle right (advertisements),1114001,home/data/00000/02/hometimeline_00000_02_1114001,FILE_MISSING
1001,スペシャルウィーク,11,3,1001,1061,1020,スペシャルウィーク,キングヘイロー,セイウンスカイ,530,front left (campus map),1001003,home/data/00000/03/hometimeline_00000_03_1001003,ASSET_NOT_IN_META
1002,サイレンススズカ,1,1,1002,,,サイレンススズカ,,,310,middle left (table),1002001,home/data/00000/01/hometimeline_00000_01_1002001,FILE_MISSING
1002,サイレンススズカ,2,1,1002,,,サイレンススズカ,,,210,back left (campus map),1002002,home/data/00000/01/hometimeline_00000_01_1002002,FILE_MISSING
1002,サイレンススズカ,3,1,1002,,,サイレンススズカ,,,110,right (jukebox),1002003,home/data/00000/01/hometimeline_00000_01_1002003,FILE_MISSING
1002,サイレンススズカ,4,2,1010,1002,,タイキシャトル,サイレンススズカ,,520,front left (campus map),1002001,home/data/00000/02/hometimeline_00000_02_1002001,FILE_MISSING
1002,サイレンススズカ,5,2,1002,1018,,サイレンススズカ,エアグルーヴ,,220,back left (campus map),1002002,home/data/00000/02/hometimeline_00000_02_1002002,FILE_MISSING
1002,サイレンススズカ,6,1,1002,,,サイレンススズカ,,,410,middle right (advertisements),1002004,home/data/00000/01/hometimeline_00000_01_1002004,ASSET_NOT_IN_META
1002,サイレンススズカ,7,2,1002,1001,,サイレンススズカ,スペシャルウィーク,,520,front left (campus map),1002001,home/data/00000/02/hometimeline_00000_02_1002001,FILE_MISSING
1002,サイレンススズカ,8,2,1002,1018,,サイレンススズカ,エアグルーヴ,,520,front left (campus map),1002002,home/data/00000/02/hometimeline_00000_02_1002002,FILE_MISSING
1002,サイレンススズカ,9,3,1010,1056,1002,タイキシャトル,マチカネフクキタル,サイレンススズカ,430,middle right (advertisements),1002001,home/data/00000/03/hometimeline_00000_03_1002001,ASSET_NOT_IN_META
1002,サイレンススズカ,10,3,1074,1002,1059,メジロブライト,サイレンススズカ,メジロドーベル,530,front left (campus map),1002002,home/data/00000/03/hometimeline_00000_03_1002002,ASSET_NOT_IN_META
1002,サイレンススズカ,11,2,1042,1002,,シーキングザパール,サイレンススズカ,,420,middle right (advertisements),1002003,home/data/00000/02/hometimeline_00000_02_1002003,ASSET_NOT_IN_META
1003,トウカイテイオー,1,1,1003,,,トウカイテイオー,,,310,middle left (table),1003001,home/data/00000/01/hometimeline_00000_01_1003001,FILE_MISSING
1003,トウカイテイオー,2,1,1003,,,トウカイテイオー,,,410,middle right (advertisements),1003002,home/data/00000/01/hometimeline_00000_01_1003002,FILE_MISSING
