id,cue_name,cue_sheet_name,voice_text_asset,start_date,end_date
1,snd_voi_event_090004_0112,snd_voi_event_090004,1,1756072800,1756418399
2,snd_voi_event_090002_0112,snd_voi_event_090002,1,1758146400,1758491999
3,snd_voi_event_090005_0111,snd_voi_event_090005,1,1760133600,1760479199
4,snd_voi_event_090006_0113,snd_voi_event_090006,2,1763676000,1764021599
5,snd_voi_event_090007_0114,snd_voi_event_090007,3,1765404000,1765749599
6,snd_voi_event_090008_0114,snd_voi_event_090008,4,1767304800,1767650399
9,snd_voi_event_090009_0109,snd_voi_event_090009,5,1769378400,1769723999
10,snd_voi_event_090010_0116,snd_voi_event_090010,6,1771106400,1771451999
11,snd_voi_event_090011_0112,snd_voi_event_090011,11,1773007200,1773352799
12,snd_voi_event_090012_0116,snd_voi_event_090012,12,1775080800,1649195999
13,snd_voi_event_090013_0110,snd_voi_event_090013,13,1776895200,1777240799
14,snd_voi_event_090014_0112,snd_voi_event_090014,14,1778796000,1779141599
15,snd_voi_event_090015_0113,snd_voi_event_090015,15,1780869600,1781215199
16,snd_voi_event_090016_0109,snd_voi_event_090016,16,1782684000,1783029599
