id,type,cuts_pattern,support_card_id_a,support_card_id_b,support_card_id_c
501,1,2,30024,20023,0
502,1,2,30026,20024,0
503,1,2,30027,20025,0
504,3,2,30028,30029,0
505,1,2,30031,20027,0
506,1,2,30032,20028,0
507,1,2,30038,20029,0
508,1,2,30039,30040,0
509,1,2,30042,20031,0
510,1,2,30055,30056,0
511,1,2,30048,20034,0
512,1,2,30045,30046,0
513,1,2,30054,20035,0
514,1,2,30034,30036,0
515,1,2,30063,20037,0
516,1,2,30064,30065,0
517,1,2,30043,20038,0
518,1,2,30068,30069,0
519,1,2,30071,20039,0
520,1,2,30072,30073,0
521,1,2,30075,20032,0
522,1,2,30077,30078,0
523,1,2,30080,20022,0
524,1,2,30082,30083,0
525,1,2,30085,20030,0
526,1,3,30086,20041,20042
527,1,2,30089,20044,0
528,1,2,30090,30091,0
529,1,2,30093,20046,0
530,1,2,30094,30095,0
531,1,2,30097,20047,0
532,1,2,30098,30099,0
533,1,2,30053,20048,0
534,1,2,30102,30103,0
535,1,2,30106,20049,0
536,1,2,30067,20033,0
537,1,2,30107,30108,0
