id,effect_name,cue_name,cue_sheet,loop_set
1,pfb_eff_storyevent_01_001,snd_sfx_story_El_pikapika,snd_sfx_story_El_pikapika,0
2,pfb_eff_storyevent_01_002,snd_sfx_story_Arrow,snd_sfx_story_Arrow,0
3,pfb_eff_storyevent_01_003,,,0
4,pfb_eff_storyevent_01_004,,,0
5,pfb_eff_storyevent_01_005,,,0
6,pfb_eff_storyevent_01_006,,,0
7,pfb_eff_storyevent_01_007,,,0
8,pfb_eff_storyevent_01_008,,,0
9,pfb_eff_storyevent_01_009,,,0
10,pfb_eff_storyevent_01_010,,,0
11,pfb_eff_storyevent_01_011,,,0
12,pfb_eff_storyevent_01_012,snd_sfx_story_Charge_Attack,snd_sfx_story_Charge_Attack,0
