id,bg_id,bg_sub,offset_id,pos_x,pos_y,width,height
1,33,110,1,-8280000,0,10000,10000
2,33,110,2,14130000,0,10000,10000
3,33,150,1,-8280000,0,10000,10000
4,33,150,2,14130000,0,10000,10000
5,90,13000,1,-14990000,0,10000,10000
6,119,150,1,-5035000,0,10009,10000
7,163,111,1,7705000,0,10009,10000
8,164,1,1,-13330000,0,10000,10000
9,166,110,1,-7710000,0,10000,10000
10,166,110,2,5450000,0,10000,10000
11,166,110,3,15060000,0,10000,10000
12,167,1,1,15310000,0,10000,10000
13,167,1,2,-14410000,0,10000,10000
14,169,131,1,15830000,0,10000,10000
15,168,1,1,7795000,0,10009,10000
16,69,4311,1,-10390000,0,10000,10000
17,169,132,1,14630000,0,10000,10000
18,69,4321,1,-10390000,0,10000,10000
19,172,1,1,-12135000,0,10009,10000
20,171,0,1,10265000,0,10009,10000
21,20,10111,1,-15650000,0,10000,10000
22,173,111,1,4070000,0,10000,10000
23,173,111,2,15120000,0,10000,10000
24,175,110,1,11575000,0,10009,10000
25,176,110,1,15630000,0,10000,10000
26,177,111,1,-14660000,0,10000,10000
27,177,111,2,15850000,0,10000,10000
28,70,10111,1,15010000,0,10000,10000
29,70,10111,2,-14400000,0,10000,10000
30,181,110,1,-10610000,0,10000,10000
31,183,0,1,-12695000,0,10009,10000
32,183,0,2,1065000,10000,10009,10000
33,185,112,1,-15850000,-20000,10000,10000
34,184,0,1,15790000,0,10000,10000
35,184,0,2,-7070000,0,10000,10000
36,186,0,1,-14820000,0,10000,10000
37,186,0,2,11970000,0,10000,10000
38,186,1,1,14840000,0,10000,10000
39,186,1,2,-11970000,0,10000,10000
40,186,2,1,-14820000,0,10000,10000
41,186,2,2,11970000,0,10000,10000
42,186,3,1,14840000,0,10000,10000
43,186,3,2,-11970000,0,10000,10000
44,190,111,1,15990000,0,10000,10000
45,188,110,1,-7170000,0,10000,10000
46,191,111,1,-6150000,0,10000,10000
47,191,111,2,-15810000,0,10000,10000
48,191,111,3,15810000,0,10000,10000
49,189,111,1,-15340000,0,10000,10000
50,189,111,2,10400000,0,10000,10000
51,190,131,1,15990000,0,10000,10000
54,189,130,1,-15340000,0,10000,10000
55,189,130,2,10400000,0,10000,10000
57,192,111,1,7720000,0,10000,10000
58,192,120,1,7720000,0,10000,10000
59,193,110,1,-14590000,0,10000,10000
