id,banner_id,banner_image_id,type,group_id,transition,priority,condition_value,dialog_image_id,start_date,end_date
1,130002,130002,1,1,30002,10,0,0,2025/06/26 00:30:00,2025/07/02 21:59:59
2,900001,900001,3,3,9999,1,1,0,2020/11/30 00:00:00,2050/01/01 00:00:00
3,130003,130003,1,1,30003,9,0,0,2025/06/26 00:30:00,2025/07/02 21:59:59
4,130004,130004,1,1,30004,9,0,0,2025/06/26 00:30:00,2025/07/02 21:59:59
5,130005,130005,1,1,30005,9,0,0,2025/06/26 00:30:00,2025/07/02 21:59:59
6,130006,130006,1,1,30006,9,0,0,2025/07/02 22:00:00,2025/07/10 21:59:59
7,130007,130007,1,1,30007,9,0,0,2025/07/02 22:00:00,2025/07/10 21:59:59
8,130008,130008,1,1,30008,9,0,0,2025/07/10 22:00:00,2025/07/22 21:59:59
9,130009,130009,1,1,30009,9,0,0,2025/07/10 22:00:00,2025/07/22 21:59:59
11,511051,511051,5,5,0,3,0,0,2025/08/21 22:00:00,2025/08/27 21:59:59
12,1,1,6,6,100001,2,0,0,2018/03/01 15:00:00,2025/07/04 21:59:59
13,500001,500001,6,7,100003,4,1001,0,2021/01/15 15:00:00,2021/03/02 14:59:59
14,5,5,6,6,100005,2,0,0,2025/07/04 22:00:00,2025/07/24 21:59:59
15,201014,201014,4,4,20002,3,0,0,2025/07/06 22:00:00,2025/07/09 14:59:59
16,201001,201001,4,4,20002,3,0,0,2025/07/09 15:00:00,2025/07/12 14:59:59
17,201017,201017,4,4,20002,3,0,0,2025/07/12 15:00:00,2025/07/15 14:59:59
18,510051,510051,5,5,0,3,0,0,2025/08/17 22:00:00,2025/08/21 21:59:59
19,130010,130010,1,1,30010,9,0,0,2025/07/16 22:00:00,2025/08/01 21:59:59
20,130011,130011,1,1,30011,9,0,0,2025/07/16 22:00:00,2025/08/01 21:59:59
21,130012,130012,1,1,30012,9,0,0,2025/07/27 22:00:00,2025/08/07 21:59:59
22,130013,130013,1,1,30013,9,0,0,2025/07/27 22:00:00,2025/08/07 21:59:59
23,500002,500002,6,7,100007,4,1002,0,2025/07/12 22:00:00,2025/07/16 21:59:59
24,201061,201061,4,4,20002,3,0,0,2025/07/27 22:00:00,2025/07/30 14:59:59
25,201010,201010,4,4,20002,3,0,0,2025/07/30 15:00:00,2025/08/02 14:59:59
26,201041,201041,4,4,20002,3,0,0,2025/08/02 15:00:00,2025/08/05 14:59:59
27,13,13,6,6,100013,2,0,0,2025/07/21 22:00:00,2025/08/10 14:59:59
28,500003,500003,6,7,100008,4,1003,0,2025/08/24 22:00:00,2025/08/28 21:59:59
29,130014,130014,1,1,30014,9,0,0,2025/08/03 22:00:00,2025/08/13 21:59:59
30,201038,201038,4,4,20002,3,0,0,2025/08/05 15:00:00,2025/08/08 14:59:59
31,130015,130015,1,1,30015,9,0,0,2025/08/03 22:00:00,2025/08/13 21:59:59
32,201035,201035,4,4,20002,3,0,0,2025/08/21 22:00:00,2025/08/24 14:59:59
33,201008,201008,4,4,20002,3,0,0,2025/08/24 15:00:00,2025/08/27 14:59:59
34,201003,201003,4,4,20002,3,0,0,2025/08/27 15:00:00,2025/08/30 14:59:59
35,130016,130016,1,1,30016,9,0,0,2025/08/11 22:00:00,2025/08/22 21:59:59
36,130017,130017,1,1,30017,9,0,0,2025/08/11 22:00:00,2025/08/22 21:59:59
37,130018,130018,1,1,30018,9,0,0,2025/08/20 22:00:00,2025/08/31 21:59:59
38,130019,130019,1,1,30019,9,0,0,2025/08/20 22:00:00,2025/08/31 21:59:59
39,11,11,6,6,100011,2,0,0,2025/08/10 22:00:00,2025/09/14 14:59:59
42,130020,130020,1,1,30020,9,0,0,2025/08/28 22:00:00,2025/09/10 21:59:59
43,130021,130021,1,1,30021,9,0,0,2025/08/28 22:00:00,2025/09/10 21:59:59
44,510061,510061,5,5,0,3,0,0,2025/09/07 22:00:00,2025/09/11 21:59:59
45,511061,511061,5,5,0,3,0,0,2025/09/11 22:00:00,2025/09/17 21:59:59
46,201024,201024,4,4,20002,3,0,0,2025/09/11 22:00:00,2025/09/14 14:59:59
47,201013,201013,4,4,20002,3,0,0,2025/09/14 15:00:00,2025/09/17 14:59:59
48,201015,201015,4,4,20002,3,0,0,2025/09/17 15:00:00,2025/09/20 14:59:59
49,201045,201045,4,4,20002,3,0,0,2025/09/20 15:00:00,2025/09/23 14:59:59
50,130022,130022,1,1,30022,9,0,0,2025/09/07 22:00:00,2025/09/18 21:59:59
51,130023,130023,1,1,30023,9,0,0,2025/09/07 22:00:00,2025/09/18 21:59:59
52,130024,130024,1,1,30024,9,0,0,2025/09/17 22:00:00,2025/09/25 21:59:59
53,130025,130025,1,1,30025,9,0,0,2025/09/17 22:00:00,2025/09/25 21:59:59
54,500005,500005,7,7,3,4,1005,0,2025/10/10 22:00:00,2025/10/14 21:59:59
55,130026,130026,1,1,30026,9,0,0,2025/09/21 22:00:00,2025/10/04 21:59:59
56,130027,130027,1,1,30027,9,0,0,2025/09/21 22:00:00,2025/10/04 21:59:59
57,500004,500004,6,7,100012,4,1004,0,2025/09/17 22:00:00,2025/09/21 21:59:59
58,510071,510071,5,5,0,3,0,0,2025/10/07 22:00:00,2025/10/10 21:59:59
59,511071,511071,5,5,0,3,0,0,2025/10/10 22:00:00,2025/10/16 21:59:59
60,130028,130028,1,1,30028,9,0,0,2025/10/02 22:00:00,2025/10/10 21:59:59
61,130029,130029,1,1,30029,9,0,0,2025/10/02 22:00:00,2025/10/10 21:59:59
62,510081,510081,5,5,0,3,0,0,2025/10/30 22:00:00,2025/11/03 21:59:59
63,511081,511081,5,5,0,3,0,0,2025/11/3 22:00:00,2025/11/09 21:59:59
64,510091,510091,5,5,0,3,0,0,2025/11/16 22:00:00,2025/11/20 21:59:59
65,511091,511091,5,5,0,3,0,0,2025/11/20 22:00:00,2025/11/26 21:59:59
66,130030,130030,1,1,30030,9,0,0,2025/10/07 22:00:00,2025/10/16 21:59:59
67,130031,130031,1,1,30031,9,0,0,2025/10/07 22:00:00,2025/10/16 21:59:59
68,130032,130032,1,1,30032,9,0,0,2025/10/14 22:00:00,2025/10/27 21:59:59
69,130033,130033,1,1,30033,9,0,0,2025/10/14 22:00:00,2025/10/27 21:59:59
70,201027,201027,4,4,20002,3,0,0,2025/10/26 22:00:00,2025/10/29 14:59:59
71,201002,201002,4,4,20002,3,0,0,2025/10/29 15:00:00,2025/11/01 14:59:59
72,201007,201007,4,4,20002,3,0,0,2025/11/01 15:00:00,2025/11/04 14:59:59
73,130034,130034,1,1,30034,9,0,0,2025/10/21 22:00:00,2025/10/30 21:59:59
74,130035,130035,1,1,30035,9,0,0,2025/10/21 22:00:00,2025/10/30 21:59:59
75,130036,130036,1,1,30036,9,0,0,2025/10/30 22:00:00,2025/11/09 21:59:59
76,130037,130037,1,1,30037,9,0,0,2025/10/30 22:00:00,2025/11/09 21:59:59
77,510101,510101,5,5,0,3,0,0,2025/12/08 22:00:00,2025/12/12 21:59:59
78,511101,511101,5,5,0,3,0,0,2025/12/12 22:00:00,2025/12/18 21:59:59
79,510111,510111,5,5,0,3,0,0,2025/12/28 22:00:00,2026/1/1 21:59:59
80,511111,511111,5,5,0,3,0,0,2026/1/1 22:00:00,2026/1/7 21:59:59
81,510121,510121,5,5,0,3,0,0,2026/1/19 22:00:00,2026/1/23 21:59:59
82,511121,511121,5,5,0,3,0,0,2026/1/23 22:00:00,2026/1/29 21:59:59
83,600001,600001,6,6,100014,2,0,0,2025/10/26 22:00:00,2025/11/03 21:59:59
84,600002,600002,6,6,100015,2,0,0,2025/11/3 22:00:00,2025/11/06 21:59:59
85,600003,600003,6,6,100016,2,0,0,2025/11/06 22:00:00,2025/12/10 14:59:59
86,201004,201004,4,4,20002,3,0,0,2025/11/13 22:00:00,2025/11/16 14:59:59
87,201005,201005,4,4,20002,3,0,0,2025/11/16 15:00:00,2025/11/19 14:59:59
88,201026,201026,4,4,20002,3,0,0,2025/11/19 15:00:00,2025/11/22 14:59:59
89,500006,500006,7,7,4,4,1006,0,2025/11/20 22:00:00,2025/11/24 21:59:59
90,130038,130038,1,1,30038,9,0,0,2025/11/06 22:00:00,2025/11/17 21:59:59
91,130039,130039,1,1,30039,9,0,0,2025/11/06 22:00:00,2025/11/17 21:59:59
