campaign_id,chara_id,story_id
6,1015,41015001
6,1015,41015002
6,1015,41015003
6,1015,41015004
7,1026,41026001
7,1026,41026002
7,1026,41026003
7,1026,41026004
8,1023,41023001
8,1023,41023002
8,1023,41023003
8,1023,41023004
9,1003,41003001
9,1003,41003002
9,1003,41003003
9,1003,41003004
10,1013,41013001
10,1013,41013002
10,1013,41013003
10,1013,41013004
12,1038,41038001
12,1038,41038002
12,1038,41038003
12,1038,41038004
19,1050,41050001
19,1050,41050002
19,1050,41050003
19,1050,41050004
20,1046,41046001
20,1046,41046002
20,1046,41046003
20,1046,41046004
21,1016,41016001
21,1016,41016002
21,1016,41016003
21,1016,41016004
70,1018,41018001
70,1018,41018002
70,1018,41018003
70,1018,41018004
71,1024,41024001
71,1024,41024002
71,1024,41024003
71,1024,41024004
72,1020,41020001
72,1020,41020002
72,1020,41020003
72,1020,41020004
73,1012,41012001
73,1012,41012002
73,1012,41012003
73,1012,41012004
74,1011,41011001
74,1011,41011002
74,1011,41011003
74,1011,41011004
75,1014,41014001
75,1014,41014002
75,1014,41014003
75,1014,41014004
76,1005,41005001
76,1005,41005002
76,1005,41005003
76,1005,41005004
77,1040,41040001
77,1040,41040002
77,1040,41040003
77,1040,41040004
78,1001,41001001
78,1001,41001002
78,1001,41001003
78,1001,41001004
79,1004,41004001
79,1004,41004002
79,1004,41004003
79,1004,41004004
80,1058,41058001
80,1058,41058002
80,1058,41058003
80,1058,41058004
81,1037,41037001
81,1037,41037002
81,1037,41037003
81,1037,41037004
82,1056,41056001
82,1056,41056002
82,1056,41056003
82,1056,41056004
83,1028,41028001
83,1028,41028002
83,1028,41028003
83,1028,41028004
84,1019,41019001
84,1019,41019002
84,1019,41019003
84,1019,41019004
85,1030,41030001
85,1030,41030002
85,1030,41030003
85,1030,41030004
86,1045,41045001
86,1045,41045002
86,1045,41045003
86,1045,41045004
87,1039,41039001
87,1039,41039002
87,1039,41039003
87,1039,41039004
88,1025,41025001
88,1025,41025002
88,1025,41025003
88,1025,41025004
89,1017,41017001
89,1017,41017002
89,1017,41017003
89,1017,41017004
92,1040,41040001
92,1040,41040002
92,1040,41040003
92,1040,41040004
93,1048,41048001
93,1048,41048002
93,1048,41048003
93,1048,41048004
94,1059,41059001
94,1059,41059002
94,1059,41059003
94,1059,41059004
95,1006,41006001
95,1006,41006002
95,1006,41006003
95,1006,41006004
96,1023,41023001
96,1023,41023002
96,1023,41023003
96,1023,41023004
98,1022,41022001
98,1022,41022002
98,1022,41022003
98,1022,41022004
104,1021,41021001
104,1021,41021002
104,1021,41021003
104,1021,41021004
128,1015,41015001
128,1015,41015002
128,1015,41015003
128,1015,41015004
129,1069,41069001
129,1069,41069002
129,1069,41069003
129,1069,41069004
135,1026,41026001
135,1026,41026002
135,1026,41026003
135,1026,41026004
136,1037,41037001
136,1037,41037002
136,1037,41037003
136,1037,41037004
140,1071,41071001
140,1071,41071002
140,1071,41071003
140,1071,41071004
142,1033,41033001
142,1033,41033002
142,1033,41033003
142,1033,41033004
143,1068,41068001
143,1068,41068002
143,1068,41068003
143,1068,41068004
144,1062,41062001
144,1062,41062002
144,1062,41062003
144,1062,41062004
145,1067,41067001
145,1067,41067002
145,1067,41067003
145,1067,41067004
154,1074,41074001
154,1074,41074002
154,1074,41074003
154,1074,41074004
162,1020,41020001
162,1020,41020002
162,1020,41020003
162,1020,41020004
163,1005,41005001
163,1005,41005002
163,1005,41005003
163,1005,41005004
172,1051,41051001
172,1051,41051002
172,1051,41051003
172,1051,41051004
173,1072,41072001
173,1072,41072002
173,1072,41072003
173,1072,41072004
174,1060,41060001
174,1060,41060002
174,1060,41060003
174,1060,41060004
175,1061,41061001
175,1061,41061002
175,1061,41061003
175,1061,41061004
182,1031,41031001
182,1031,41031002
182,1031,41031003
182,1031,41031004
185,1064,41064001
185,1064,41064002
185,1064,41064003
185,1064,41064004
186,1038,41038001
186,1038,41038002
186,1038,41038003
186,1038,41038004
187,1022,41022001
187,1022,41022002
187,1022,41022003
187,1022,41022004
189,1034,41034001
189,1034,41034002
189,1034,41034003
189,1034,41034004
190,1044,41044001
190,1044,41044002
190,1044,41044003
190,1044,41044004
192,1010,41010001
192,1010,41010002
192,1010,41010003
192,1010,41010004
193,1059,41059001
193,1059,41059002
193,1059,41059003
193,1059,41059004
211,1036,41036001
211,1036,41036002
211,1036,41036003
211,1036,41036004
212,1020,41020001
212,1020,41020002
212,1020,41020003
212,1020,41020004
213,1016,41016001
213,1016,41016002
213,1016,41016003
213,1016,41016004
220,1013,41013001
220,1013,41013002
220,1013,41013003
220,1013,41013004
221,1053,41053001
221,1053,41053002
221,1053,41053003
221,1053,41053004
