id,resource_id,info_detail_1,info_detail_2,champions_bg_id,champions_league_select_bg_sub_id,champions_bg_sub_id,champions_finish_bg_sub_id,champions_bg_position_x,champions_chara_select_bg_id,champions_chara_select_bg_sub_id,start_date,end_date,info_detail,champions_finish_bg_id,champions_finish_bg_position_x,notice_date
1,5,100006,100002,24,110,111,130,5500000,76,110,1755468000,1756331999,0,0,0,0
2,6,100009,100010,79,110,111,134,-6000000,76,110,1757282400,1758146399,0,0,0,0
3,7,500001,500002,24,110,111,130,5500000,76,110,1759874400,1760651999,0,0,0,0
4,8,500003,500004,78,110,111,130,-6000000,76,110,1761861600,1762725599,0,0,0,0
5,9,500005,500006,78,110,111,130,-6000000,76,110,1763330400,1764194399,0,0,0,0
6,10,500007,500008,79,110,111,134,-6000000,76,110,1765231200,1766095199,0,0,0,0
7,11,500009,500010,24,410,411,130,5500000,76,410,1766959200,1767823199,0,0,0,0
8,12,500011,500012,77,110,111,130,-6000000,76,110,1768860000,1769723999,0,0,0,0
9,1,500013,500014,88,410,411,130,5500000,76,410,1770674400,1771538399,0,0,0,0
10,2,500015,500016,24,110,111,130,5500000,110,110,1772488800,1773352799,0,0,0,0
11,3,500017,500018,78,410,411,130,-6000000,76,410,1774562400,1775426399,0,0,0,0
12,4,500019,500020,77,110,111,130,-6000000,76,110,1776722400,1777499999,0,0,0,0
13,5,500021,500022,24,110,111,130,5500000,76,110,1778450400,1779314399,0,0,0,0
14,6,500023,500024,24,110,111,130,5500000,76,110,1780264800,1781128799,0,0,0,0
15,7,500025,500026,78,410,411,130,-6000000,76,410,1782079200,1782856799,0,0,0,0
16,8,500027,500028,77,110,111,130,-6000000,76,110,1783893600,1784671199,0,0,0,0
