id,chara_id,target_scene,target_cut,target_type,value
1,1001,0,0,0,1
2,1001,1,0,0,1
3,1001,1,1,0,1
4,1001,1,2,0,1
5,1001,1,3,0,2
6,1001,1,4,0,1
7,1001,1,5,0,1
8,1001,4,0,0,1
9,1001,7,0,0,2
10,1001,8,0,0,1
11,1001,3,1,0,5
12,1001,6,0,1,1
13,1001,2,103010,0,2
14,1001,2,103020,0,3
15,1001,2,103030,0,4
16,1001,2,103050,0,3
17,1001,2,103040,0,1
18,1001,2,101045,1,1
19,1001,2,102040,1,1
20,1001,2,101014,0,2
21,1001,2,101042,0,2
22,1001,2,101012,0,1
23,1001,2,101031,0,1
24,1001,2,101031,1,1
25,1001,2,101032,0,1
26,1001,2,101032,1,1
27,1001,2,101033,0,1
28,1001,2,101033,1,1
29,1001,2,101034,0,1
30,1001,2,101034,1,1
31,1001,2,102030,0,1
32,1001,2,102030,1,1
33,1001,5,0,0,3
34,1001,5,1,6,1
35,1001,5,1,7,1
36,1001,5,2,1,5
37,1001,5,0,1,1
38,1001,5,0,2,1
39,1001,5,0,3,1
40,1001,5,0,4,1
41,1001,0,2,0,1
42,1001,5,0,5,1
43,1002,0,0,0,1
44,1002,1,0,0,3
45,1002,1,1,0,2
46,1002,1,2,0,3
47,1002,1,3,0,4
48,1002,1,4,0,3
49,1002,1,5,0,3
50,1002,4,0,0,2
51,1002,7,0,0,1
52,1002,8,0,0,1
53,1002,3,1,0,2
54,1002,6,0,1,2
55,1002,2,103010,0,6
56,1002,2,103020,0,6
57,1002,2,103030,0,3
58,1002,2,103050,0,2
59,1002,2,103040,0,2
60,1002,2,101045,1,6
61,1002,2,102040,1,6
62,1002,2,101014,0,3
63,1002,2,101042,0,3
64,1002,2,101012,0,2
65,1002,2,101031,0,1
66,1002,2,101031,1,1
67,1002,2,101032,0,1
68,1002,2,101032,1,1
69,1002,2,101033,0,1
70,1002,2,101033,1,1
71,1002,2,101034,0,1
72,1002,2,101034,1,1
73,1002,2,102030,0,1
74,1002,2,102030,1,1
75,1002,5,0,0,6
76,1002,5,1,6,2
77,1002,5,1,7,2
78,1002,5,2,1,6
79,1002,5,0,1,2
80,1002,5,0,2,2
81,1002,5,0,3,1
82,1002,5,0,4,3
83,1002,0,2,0,2
84,1002,5,0,5,2
85,1003,0,0,0,1
86,1003,1,0,0,2
87,1003,1,1,0,2
88,1003,1,2,0,2
89,1003,1,3,0,4
90,1003,1,4,0,2
91,1003,1,5,0,1
92,1003,4,0,0,1
93,1003,7,0,0,2
94,1003,8,0,0,1
95,1003,3,1,0,7
96,1003,6,0,1,4
97,1003,2,103010,0,2
98,1003,2,103020,0,5
99,1003,2,103030,0,1
100,1003,2,103050,0,1
101,1003,2,103040,0,3
102,1003,2,101045,1,4
103,1003,2,102040,1,4
104,1003,2,101014,0,1
105,1003,2,101042,0,1
106,1003,2,101012,0,1
107,1003,2,101031,0,1
108,1003,2,101031,1,1
109,1003,2,101032,0,1
110,1003,2,101032,1,1
111,1003,2,101033,0,1
112,1003,2,101033,1,1
113,1003,2,101034,0,1
114,1003,2,101034,1,1
115,1003,2,102030,0,1
116,1003,2,102030,1,1
117,1003,5,0,0,5
118,1003,5,1,6,3
119,1003,5,1,7,3
120,1003,5,2,1,5
121,1003,5,0,1,3
122,1003,5,0,2,3
123,1003,5,0,3,1
124,1003,5,0,4,2
125,1003,0,2,0,1
126,1003,5,0,5,2
127,1004,0,0,0,2
128,1004,1,0,0,5
129,1004,1,1,0,1
130,1004,1,2,0,5
131,1004,1,3,0,1
132,1004,1,4,0,1
133,1004,1,5,0,3
134,1004,4,0,0,2
135,1004,7,0,0,2
136,1004,8,0,0,1
137,1004,3,1,0,7
138,1004,6,0,1,5
139,1004,2,103010,0,1
140,1004,2,103020,0,5
141,1004,2,103030,0,3
142,1004,2,103050,0,2
143,1004,2,103040,0,4
144,1004,2,101045,1,3
145,1004,2,102040,1,3
146,1004,2,101014,0,1
147,1004,2,101042,0,2
148,1004,2,101012,0,2
149,1004,2,101031,0,1
150,1004,2,101031,1,1
151,1004,2,101032,0,1
152,1004,2,101032,1,1
153,1004,2,101033,0,1
154,1004,2,101033,1,1
155,1004,2,101034,0,1
156,1004,2,101034,1,1
157,1004,2,102030,0,1
158,1004,2,102030,1,1
159,1004,5,0,0,5
160,1004,5,1,6,1
161,1004,5,1,7,4
162,1004,5,2,1,7
163,1004,5,0,1,2
164,1004,5,0,2,2
165,1004,5,0,3,1
166,1004,5,0,4,5
167,1004,0,2,0,2
168,1004,5,0,5,1
169,1005,0,0,0,2
170,1005,1,0,0,5
171,1005,1,1,0,2
172,1005,1,2,0,5
173,1005,1,3,0,2
174,1005,1,4,0,2
175,1005,1,5,0,3
176,1005,4,0,0,1
177,1005,7,0,0,1
178,1005,8,0,0,1
179,1005,3,1,0,6
180,1005,6,0,1,4
181,1005,2,103010,0,5
182,1005,2,103020,0,7
183,1005,2,103030,0,2
184,1005,2,103050,0,2
185,1005,2,103040,0,4
186,1005,2,101045,1,5
187,1005,2,102040,1,5
188,1005,2,101014,0,3
189,1005,2,101042,0,3
190,1005,2,101012,0,2
191,1005,2,101031,0,1
192,1005,2,101031,1,1
193,1005,2,101032,0,1
194,1005,2,101032,1,1
195,1005,2,101033,0,1
196,1005,2,101033,1,1
197,1005,2,101034,0,1
198,1005,2,101034,1,1
199,1005,2,102030,0,1
200,1005,2,102030,1,1
201,1005,5,0,0,7
202,1005,5,1,6,2
203,1005,5,1,7,5
204,1005,5,2,1,6
205,1005,5,0,1,3
206,1005,5,0,2,3
207,1005,5,0,3,1
208,1005,5,0,4,5
209,1005,0,2,0,2
210,1005,5,0,5,2
211,1006,0,0,0,1
212,1006,1,0,0,5
213,1006,1,1,0,3
214,1006,1,2,0,5
215,1006,1,3,0,2
216,1006,1,4,0,3
217,1006,1,5,0,5
218,1006,4,0,0,2
219,1006,7,0,0,1
220,1006,8,0,0,1
221,1006,3,1,0,2
222,1006,6,0,1,5
223,1006,2,103010,0,5
224,1006,2,103020,0,6
225,1006,2,103030,0,5
226,1006,2,103050,0,4
227,1006,2,103040,0,6
228,1006,2,101045,1,1
229,1006,2,102040,1,1
230,1006,2,101014,0,3
231,1006,2,101042,0,3
232,1006,2,101012,0,2
233,1006,2,101031,0,2
234,1006,2,101031,1,2
235,1006,2,101032,0,2
236,1006,2,101032,1,2
237,1006,2,101033,0,2
238,1006,2,101033,1,2
239,1006,2,101034,0,2
240,1006,2,101034,1,2
241,1006,2,102030,0,2
242,1006,2,102030,1,2
243,1006,5,0,0,6
244,1006,5,1,6,3
245,1006,5,1,7,6
246,1006,5,2,1,4
247,1006,5,0,1,3
248,1006,5,0,2,3
249,1006,5,0,3,1
250,1006,5,0,4,5
251,1006,0,2,0,1
252,1006,5,0,5,3
253,1007,0,0,0,5
254,1007,1,0,0,2
255,1007,1,1,0,2
256,1007,1,2,0,2
257,1007,1,3,0,1
258,1007,1,4,0,2
259,1007,1,5,0,4
260,1007,4,0,0,1
261,1007,7,0,0,2
262,1007,8,0,0,1
263,1007,3,1,0,3
264,1007,6,0,1,4
265,1007,2,103010,0,4
266,1007,2,103020,0,2
267,1007,2,103030,0,4
268,1007,2,103050,0,5
269,1007,2,103040,0,3
270,1007,2,101045,1,2
271,1007,2,102040,1,2
272,1007,2,101014,0,1
273,1007,2,101042,0,1
274,1007,2,101012,0,1
275,1007,2,101031,0,2
276,1007,2,101031,1,2
277,1007,2,101032,0,2
278,1007,2,101032,1,2
279,1007,2,101033,0,2
280,1007,2,101033,1,2
281,1007,2,101034,0,2
282,1007,2,101034,1,2
283,1007,2,102030,0,2
284,1007,2,102030,1,2
285,1007,5,0,0,2
286,1007,5,1,6,1
287,1007,5,1,7,1
288,1007,5,2,1,3
289,1007,5,0,1,3
290,1007,5,0,2,3
291,1007,5,0,3,1
