id,type,disp_order,start_date
100001,0,1,2017/01/01 00:00:00
100002,0,2,2017/01/01 00:00:00
100003,0,3,2017/01/01 00:00:00
100004,0,4,2017/01/01 00:00:00
100005,0,5,2017/01/01 00:00:00
100006,0,6,2017/01/01 00:00:00
100007,0,7,2017/01/01 00:00:00
100008,0,8,2017/01/01 00:00:00
100009,0,9,2017/01/01 00:00:00
100010,0,10,2017/01/01 00:00:00
100011,0,11,2017/01/01 00:00:00
100012,0,12,2017/01/01 00:00:00
100013,0,13,2017/01/01 00:00:00
100014,0,14,2017/01/01 00:00:00
100015,0,15,2017/01/01 00:00:00
100016,0,16,2017/01/01 00:00:00
100017,0,17,2017/01/01 00:00:00
100018,0,18,2017/01/01 00:00:00
100019,0,19,2017/01/01 00:00:00
100020,0,20,2017/01/01 00:00:00
100021,0,21,2017/01/01 00:00:00
100022,0,22,2025/11/03 22:00:00
100023,0,23,2025/11/03 22:00:00
100024,0,24,2025/11/03 22:00:00
100025,0,25,2025/11/03 22:00:00
100026,0,26,2025/11/03 22:00:00
100027,0,27,2025/11/03 22:00:00
100028,0,28,2025/11/03 22:00:00
100029,0,29,2025/11/03 22:00:00
100030,0,30,2025/11/03 22:00:00
100031,0,31,2025/11/03 22:00:00
100032,0,32,2026/03/12 22:00:00
100033,0,33,2026/03/12 22:00:00
100034,0,34,2026/03/12 22:00:00
100035,0,35,2026/03/12 22:00:00
100036,0,36,2026/03/12 22:00:00
100037,0,37,2026/03/12 22:00:00
100038,0,38,2026/03/12 22:00:00
100039,0,39,2026/03/12 22:00:00
100040,0,40,2026/03/12 22:00:00
200001,0,500,2026/06/25 22:00:00
200002,0,501,2026/06/25 22:00:00
200003,0,502,2026/06/25 22:00:00
