id,condition_type,have_mini,general_purpose,costume_type,chara_id,use_gender,body_shape,body_type,body_type_sub,body_setting,use_race,use_live,use_live_theater,use_home,use_dress_change,is_wet,is_dirt,head_sub_id,use_season,dress_color_main,dress_color_sub,color_num,disp_order,tail_model_id,tail_model_sub_id,mini_mayu_shader_type,start_time,end_time
1,5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
2,1,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,5E3FC5,AB8FFF,0,1,-1,0,-1,1483228800,2524608000
3,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,1,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
4,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
5,2,1,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,1,5E3FC5,AB8FFF,0,2,-1,0,-1,1483228800,2524608000
6,5,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,1,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
7,5,0,0,0,0,0,0,6,0,2,0,1,1,0,0,0,0,0,0,FFFFFF,FFFFFF,4,3,-1,0,-1,1483228800,2524608000
8,5,0,0,0,0,0,0,7,0,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
9,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
11,5,0,0,0,0,0,0,7,1,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
12,5,0,0,0,0,0,0,7,2,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483228800,2524608000
13,5,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,5E3FC5,AB8FFF,0,190,-1,0,-1,1483228800,2524608000
14,5,0,1,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,5E3FC5,AB8FFF,0,190,-1,0,-1,1483228800,2524608000
15,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
16,5,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
17,5,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
18,5,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
19,5,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
20,5,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
21,5,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
22,5,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
23,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
24,5,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483228800,2524608000
101,4,1,1,0,0,0,0,5,0,0,1,1,1,1,1,1,1,0,0,D23441,F4BD38,0,150,-1,0,-1,1483228800,2524608000
102,2,1,1,0,0,0,0,50,0,0,1,1,1,1,0,1,1,0,0,D23441,F4BD38,0,101,-1,0,-1,1483228800,2524608000
103,2,1,1,0,0,0,0,50,1,0,1,1,1,1,0,1,1,0,0,D23441,F4BD38,0,102,-1,0,-1,1483228800,2524608000
104,2,1,1,0,0,0,0,51,0,0,1,1,1,1,0,1,1,0,0,D23441,F4BD38,0,103,-1,0,-1,1483228800,2524608000
105,2,1,1,0,0,0,0,51,1,0,1,1,1,1,0,1,1,0,0,D23441,F4BD38,0,104,-1,0,-1,1483228800,2524608000
100101,3,1,1,1,1001,0,0,100,0,0,1,1,1,1,1,1,1,0,0,EE6DCB,FFDEF9,0,151,-1,0,-1,1483228800,2524608000
