id,gacha_id,target_draw_type,start_date,end_date
1,30004,1,1750897800,1751468399
2,30007,1,1751493600,1752098399
3,30015,1,1754604000,1755122399
4,30016,1,1754949600,1755701999
5,30034,1,1761516000,1761861599
6,30036,1,1761861600,1762466399
8,30039,10,1762466400,1763305199
9,30060,10,1769551200,1769896799
10,30063,10,1769896800,1770389999
11,30070,1,1772575200,1772747999
12,30072,1,1772748000,1772981999
13,30073,1,1772982000,1773439199
14,30074,10,1773352800,1773845999
15,30075,10,1773846000,1774303199
16,30077,10,1774303200,1774364399
17,30076,1,1774216800,1775167199
18,30079,1,1774562400,1775512799
19,30087,1,1777240800,1778079599
20,30086,1,1777474800,1777672799
21,30088,1,1777672800,1778338799
