id,gacha_id,logo_size_x,logo_size_y
1,30002,0,0
2,30003,0,0
3,20001,0,0
4,20002,0,0
5,50001,0,0
6,50002,0,0
7,20003,0,0
8,20004,0,0
9,30004,0,0
10,30005,0,0
11,30006,0,0
12,30007,0,0
13,30008,0,0
14,30009,0,0
15,10001,0,0
16,10002,0,0
17,30010,0,0
18,30011,0,0
19,30012,0,0
20,30013,0,0
21,30014,0,0
22,30015,0,0
23,30016,0,0
24,30017,0,0
25,30018,0,0
26,30019,0,0
27,30020,0,0
28,30021,0,0
29,30022,0,0
30,30023,0,0
31,30024,0,0
32,30025,0,0
33,30026,0,0
34,30027,0,0
35,30028,0,0
36,30029,0,0
37,30030,0,0
38,30031,0,0
39,30032,0,0
40,30033,0,0
41,30034,0,0
42,30035,0,0
43,30036,0,0
44,30037,0,0
45,50003,434,240
46,50004,434,240
47,30038,0,0
48,30039,0,0
49,30040,0,0
50,30041,0,0
51,30042,0,0
52,30043,0,0
53,30044,0,0
54,30045,0,0
55,30046,0,0
56,30047,0,0
57,30048,0,0
58,30049,0,0
59,30050,0,0
60,30051,0,0
61,30052,0,0
62,30053,0,0
63,30054,0,0
64,30055,0,0
65,20005,0,0
66,20006,0,0
67,20007,0,0
68,20008,0,0
69,30056,0,0
70,30057,0,0
71,30058,0,0
72,30059,0,0
73,30060,0,0
74,30061,0,0
75,30062,0,0
76,30063,0,0
77,30064,0,0
78,30065,0,0
79,30066,0,0
80,30067,0,0
81,50005,0,0
82,50006,0,0
83,30068,0,0
84,30069,0,0
85,30070,0,0
86,30071,0,0
87,30072,0,0
88,30073,0,0
89,30074,0,0
90,30075,0,0
91,50007,434,240
92,50008,434,240
93,30076,0,0
94,30077,0,0
95,30078,0,0
96,30079,0,0
97,30080,0,0
98,30081,0,0
99,30082,0,0
100,30083,0,0
101,30084,0,0
102,30085,0,0
103,30086,0,0
104,30087,0,0
105,30088,0,0
106,30089,0,0
107,30090,0,0
108,30091,0,0
109,30092,0,0
110,30093,0,0
111,30094,0,0
112,30095,0,0
113,30096,0,0
114,30097,0,0
115,30098,0,0
116,30099,0,0
117,30100,0,0
118,30101,0,0
119,30102,0,0
120,30103,0,0
121,30104,0,0
122,30105,0,0
123,30106,0,0
124,30107,0,0
143,30130,0,0
144,30131,0,0
