id,item_exchange_disp_order,item_exchange_type,item_top_category,is_anniv_shop_top,shop_enter_trigger,start_date,end_date
2000,10,0,0,0,0,1496275200,2543011199
3000,70,0,0,0,0,1496275200,2543011199
4000,60,0,0,0,0,1496275200,2543011199
5000,80,1,0,0,0,1496275200,2543011199
5002,82,1,0,0,0,1773352800,2543011199
5500,90,0,0,0,0,1496275200,2543011199
5501,91,0,0,0,0,1496275200,2543011199
5502,92,1,0,0,0,1773352800,2543011199
7000,30,0,0,0,0,1496275200,2543011199
7001,40,0,0,0,0,1496275200,2543011199
7002,50,0,0,0,0,1496275200,2543011199
8000,20,0,0,0,0,1496275200,2543011199
9000,100,0,0,0,0,1496275200,2543011199
10000,75,0,0,0,0,1762898400,2543011199
10001,77,0,0,0,0,1762898400,2543011199
11000,78,0,1,0,0,1768514400,1769464799
11001,78,0,1,0,0,1774821600,1775512799
12000,96,0,2,1,12006,1772488800,1776203999
12001,97,0,2,0,12006,1772488800,1776203999
12002,98,0,2,0,12006,1772488800,1776203999
20001,95,0,1,0,0,1770328800,1771192799
20002,95,0,1,0,0,1776376800,1777240799
