music_id,sort,condition_type,is_hidden,version_type,request_type,lamp_color,lamp_animation,name_texture_length,song_type,bgm_cue_name_short,bgm_cuesheet_name_short,bgm_cue_name_gamesize,bgm_cuesheet_name_gamesize,short_length,alter_jacket,start_date,end_date
1001,9,1,0,1,0,5,1,295,5,snd_bgm_CS1001_Short,snd_bgm_CS1001_Short,snd_bgm_CS1001_GameSize,snd_bgm_CS1001_GameSize,28000,0,1561993200,4102444799
1004,401,1,0,1,0,2,2,352,3,snd_bgm_CS1004_Short,snd_bgm_CS1004_Short,snd_bgm_CS1004_GameSize,snd_bgm_CS1004_GameSize,28500,0,1762207200,4102444799
1005,3,1,0,1,0,5,1,311,1,snd_bgm_CS1005_Short,snd_bgm_CS1005_Short,snd_bgm_CS1005_GameSize,snd_bgm_CS1005_GameSize,23000,0,1561993200,4102444799
1006,1,0,0,1,0,3,1,231,2,snd_bgm_CS1006_Short,snd_bgm_CS1006_Short,snd_bgm_CS1006_GameSize,snd_bgm_CS1006_GameSize,24000,0,1561993200,4102444799
1007,2,1,0,1,0,3,1,279,1,snd_bgm_CS1007_Short,snd_bgm_CS1007_Short,snd_bgm_CS1007_GameSize,snd_bgm_CS1007_GameSize,23000,0,1561993200,4102444799
1008,7,1,0,1,0,1,1,300,4,snd_bgm_CS1008_Short,snd_bgm_CS1008_Short,snd_bgm_CS1008_GameSize,snd_bgm_CS1008_GameSize,38700,0,1561993200,4102444799
1009,6,1,0,1,0,2,1,361,3,snd_bgm_CS1009_Short,snd_bgm_CS1009_Short,snd_bgm_CS1009_GameSize,snd_bgm_CS1009_GameSize,36500,0,1561993200,4102444799
1010,8,1,0,1,0,4,1,272,1,snd_bgm_CS1010_Short,snd_bgm_CS1010_Short,snd_bgm_CS1010_GameSize,snd_bgm_CS1010_GameSize,27000,1,1561993200,4102444799
1012,1002,0,0,1,0,3,1,351,1,snd_bgm_CS1012_Short,snd_bgm_CS1012_Short,snd_bgm_CS1012_GameSize,snd_bgm_CS1012_GameSize,25100,0,1774303200,4102444799
1023,502,0,0,1,0,4,1,333,2,snd_bgm_CS1023_Short,snd_bgm_CS1023_Short,snd_bgm_CS1023_GameSize,snd_bgm_CS1023_GameSize,23500,0,1527865201,4102444799
1025,201,1,0,1,0,4,2,440,1,snd_bgm_CS1025_Short,snd_bgm_CS1025_Short,snd_bgm_CS1025_GameSize,snd_bgm_CS1025_GameSize,45000,0,1561993200,4102444799
1026,202,1,0,1,0,2,2,251,6,snd_bgm_CS1026_Short,snd_bgm_CS1026_Short,snd_bgm_CS1026_GameSize,snd_bgm_CS1026_GameSize,38000,0,1561993200,4102444799
1027,5,1,0,1,0,2,1,301,4,snd_bgm_CS1027_Short,snd_bgm_CS1027_Short,snd_bgm_CS1027_GameSize,snd_bgm_CS1027_GameSize,28200,0,1561993200,4102444799
1028,4,1,0,1,0,1,1,300,3,snd_bgm_CS1028_Short,snd_bgm_CS1028_Short,snd_bgm_CS1028_GameSize,snd_bgm_CS1028_GameSize,28500,0,1561993200,4102444799
1030,203,1,0,1,0,3,1,655,1,snd_bgm_CS1030_Short,snd_bgm_CS1030_Short,snd_bgm_CS1030_GameSize,snd_bgm_CS1030_GameSize,27500,0,1754258400,4102444799
1031,204,1,0,1,0,1,1,121,3,snd_bgm_CS1031_Short,snd_bgm_CS1031_Short,snd_bgm_CS1031_GameSize,snd_bgm_CS1031_GameSize,24500,0,1759874400,4102444799
1032,301,1,0,1,0,3,1,343,2,snd_bgm_CS1032_Short,snd_bgm_CS1032_Short,snd_bgm_CS1032_GameSize,snd_bgm_CS1032_GameSize,31500,0,1752703200,4102444799
1034,1010,0,0,1,0,3,1,381,5,snd_bgm_CS1034_Short,snd_bgm_CS1034_Short,snd_bgm_CS1034_GameSize,snd_bgm_CS1034_GameSize,18600,0,1774303200,4102444799
1035,101,1,0,1,0,4,2,175,2,snd_bgm_CS1035_Short,snd_bgm_CS1035_Short,snd_bgm_CS1035_GameSize,snd_bgm_CS1035_GameSize,26500,0,1762466400,4102444799
1037,205,1,0,1,0,3,1,227,4,snd_bgm_CS1037_Short,snd_bgm_CS1037_Short,snd_bgm_CS1037_GameSize,snd_bgm_CS1037_GameSize,42500,0,1774303200,4102444799
1040,503,0,0,1,0,4,1,391,2,snd_bgm_CS1040_Short,snd_bgm_CS1040_Short,snd_bgm_CS1040_GameSize,snd_bgm_CS1040_GameSize,26500,0,1774303200,4102444799
1042,501,0,0,1,0,4,2,227,6,snd_bgm_CS1042_Short,snd_bgm_CS1042_Short,snd_bgm_CS1042_GameSize,snd_bgm_CS1042_GameSize,35000,0,1527865201,4102444799
1043,1001,0,0,1,0,4,1,278,6,snd_bgm_CS1043_Short,snd_bgm_CS1043_Short,snd_bgm_CS1043_GameSize,snd_bgm_CS1043_GameSize,33000,0,1527865201,4102444799
