id,group_id,legend_bg_id,legend_bg_sub_id,has_unique_bg_env,image_id,difficulty,race_instance_id,season,weather,ground,legend_race_boss_npc_id,cost_num,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,notice_date,start_date,end_date
2,101406,24,111,0,101401,3,592001,3,1,1,173,1,10001,10002,102,101401,10,90,43,150,91,59,10000,102,101401,1,0,0,0,0,0,0,,1751839200,1752073199
3,100106,24,111,0,100101,3,592002,3,1,1,175,1,10003,10004,102,100101,10,90,43,150,91,59,10000,102,100101,1,0,0,0,0,0,0,,1752073200,1752332399
4,101706,24,111,0,101701,3,592003,3,1,1,177,1,10005,10006,102,101701,10,90,43,150,91,59,10000,102,101701,1,0,0,0,0,0,0,,1752332400,1752591599
6,106106,77,111,0,106101,3,594501,3,1,1,109,1,10007,10008,102,106101,10,90,43,150,91,59,10000,102,106101,1,0,0,0,0,0,0,1753394400,1753653600,1753887599
7,101006,77,111,0,101001,3,594503,3,1,1,111,1,10009,10010,102,101001,10,90,43,150,91,59,10000,102,101001,1,0,0,0,0,0,0,1753887600,1753887600,1754146799
8,104106,77,111,0,104101,3,594502,3,1,1,113,1,10011,10012,102,104101,10,90,43,150,91,59,10000,102,104101,1,0,0,0,0,0,0,1754146800,1754146800,1754405999
9,103801,77,111,0,103801,3,594504,3,1,1,115,1,10013,10014,102,103801,10,90,43,150,91,59,10000,102,103801,1,0,0,0,0,0,0,1754406000,1754406000,1754665199
11,103506,24,111,0,103501,3,593501,1,1,1,117,1,10015,10016,102,103501,10,90,43,150,91,59,10000,102,103501,1,0,0,0,0,0,0,1755554400,1755813600,1756047599
12,100806,24,111,0,100801,3,593502,1,1,1,119,1,10017,10018,102,100801,10,90,43,150,91,59,10000,102,100801,1,0,0,0,0,0,0,1756047600,1756047600,1756306799
13,100306,24,111,0,100301,3,593503,1,1,1,179,1,10019,10020,102,100301,10,90,43,150,91,59,10000,102,100301,1,0,0,0,0,0,0,1621918800,1621918800,1622177999
15,102406,79,111,0,102401,3,593004,1,1,1,129,1,10027,10028,102,102401,10,90,43,150,91,59,10000,102,102401,1,0,0,0,0,0,0,1757368800,1757628000,1757861999
16,101306,79,111,0,101301,3,593002,1,1,1,125,1,10023,10024,102,101301,10,90,43,150,91,59,10000,102,101301,1,0,0,0,0,0,0,1757862000,1757862000,1758121199
17,101506,79,111,0,101501,3,593003,1,1,1,127,1,10025,10026,102,101501,10,90,43,150,91,59,10000,102,101501,1,0,0,0,0,0,0,1758121200,1758121200,1758380399
18,104506,79,111,0,104501,3,593001,1,1,1,181,1,10021,10022,102,104501,10,90,43,150,91,59,10000,102,104501,1,0,0,0,0,0,0,1624683600,1624683600,1624942799
19,102706,79,111,0,102701,3,594001,1,1,1,131,1,10029,10030,102,102701,10,90,43,150,91,59,10000,102,102701,1,0,0,0,0,0,0,1761256800,1761516000,1761749999
20,100206,78,111,0,100201,3,594002,1,1,1,133,1,10031,10032,102,100201,10,90,43,150,91,59,10000,102,100201,1,0,0,0,0,0,0,1761750000,1761750000,1762009199
21,100706,78,111,0,100701,3,594003,1,1,1,135,1,10033,10034,102,100701,10,90,43,150,91,59,10000,102,100701,1,0,0,0,0,0,0,1762009200,1762009200,1762268399
22,100406,78,111,0,100401,3,596001,4,1,1,137,1,10035,10036,102,100401,10,90,43,150,91,59,10000,102,100401,1,0,0,0,0,0,0,1762725600,1763071200,1763305199
23,100506,78,111,0,100501,3,596002,4,1,1,139,1,10037,10038,102,100501,10,90,43,150,91,59,10000,102,100501,1,0,0,0,0,0,0,1763305200,1763305200,1763564399
24,102606,78,111,0,102601,3,596003,4,1,1,141,1,10039,10040,102,102601,10,90,43,150,91,59,10000,102,102601,1,0,0,0,0,0,0,1763564400,1763564400,1763823599
26,105606,79,111,0,105601,3,595001,3,1,1,143,1,10041,10042,102,105601,10,90,43,150,91,59,10000,102,105601,1,0,0,0,0,0,0,1764540000,1764885600,1765119599
27,102006,79,111,0,102001,3,595002,3,1,1,145,1,10043,10044,102,102001,10,90,43,150,91,59,10000,102,102001,1,0,0,0,0,0,0,1765119600,1765119600,1765378799
28,102306,79,411,1,102301,3,595003,3,2,1,147,1,10045,10046,102,102301,10,90,43,150,91,59,10000,102,102301,1,0,0,0,0,0,0,1765378800,1765378800,1765637999
29,101806,24,111,0,101801,3,596501,3,1,1,149,1,10047,10048,102,101801,10,90,43,150,91,59,10000,102,101801,1,0,0,0,0,0,0,1766440800,1766440800,1766674799
30,103706,24,411,1,103701,3,596502,3,2,1,151,1,10049,10050,102,103701,10,90,43,150,91,59,10000,102,103701,1,0,0,0,0,0,0,1766674800,1766674800,1766933999
31,101906,24,411,1,101901,3,596503,3,3,3,153,1,10051,10052,102,101901,10,90,43,150,91,59,10000,102,101901,1,0,0,0,0,0,0,1766934000,1766934000,1767193199
33,106006,77,111,0,106001,3,595501,4,1,1,155,1,10053,10054,102,106001,10,90,43,150,91,59,10000,102,106001,1,0,0,0,0,0,0,1769119200,1769119200,1769353199
34,101106,77,411,1,101101,3,595502,4,2,1,157,1,10055,10056,102,101101,10,90,43,150,91,59,10000,102,101101,1,0,0,0,0,0,0,1769353200,1769353200,1769612399
35,100606,77,111,0,100601,3,595503,4,1,1,159,1,10057,10058,102,100601,10,90,43,150,91,59,10000,102,100601,1,0,0,0,0,0,0,1769612400,1769612400,1769871599
37,101206,78,111,0,101201,3,597001,4,1,1,161,1,10059,10060,102,101201,10,90,43,150,91,59,10000,102,101201,1,0,0,0,0,0,0,1772143200,1772143200,1772377199
38,105906,78,111,0,105901,3,597002,4,1,1,163,1,10061,10062,102,105901,10,90,43,150,91,59,10000,102,105901,1,0,0,0,0,0,0,1772377200,1772377200,1772636399
39,104006,78,411,1,104001,3,597003,4,2,1,165,1,10063,10064,102,104001,10,90,43,150,91,59,10000,102,104001,1,0,0,0,0,0,0,1772636400,1772636400,1772895599
41,103206,77,111,0,103201,3,597501,5,1,1,167,1,10065,10066,102,103201,10,90,43,150,91,59,10000,102,103201,1,0,0,0,0,0,0,1774303200,1774303200,1774537199
42,105006,77,111,0,105001,3,597502,5,1,1,169,1,10067,10068,102,105001,10,90,43,150,91,59,10000,102,105001,1,0,0,0,0,0,0,1774537200,1774537200,1774796399
