music_id,sort,music_type,title_color_top,title_color_bottom,condition_type,song_chara_type,live_member_number,default_main_dress,default_main_dress_color,default_mob_dress,default_mob_dress_color,backdancer_order,backdancer_dress,backdancer_dress_color,has_live,start_date,end_date
1001,9,1,#f387bf,#ff55ac,2,1,18,101,0,7,0,4,7,0,1,1561993200,4102444799
1004,300,5,#524ead,#2e64b7,2,2,18,102,0,102,0,4,102,0,1,1762207200,4102444799
1005,3,1,#f89892,#ffda7e,2,2,18,101,0,7,1,4,7,1,1,1561993200,4102444799
1006,1,1,#0269f6,#001b82,2,1,18,101,0,7,2,4,7,2,1,1561993200,4102444799
1007,2,1,#88df26,#d5e799,2,2,18,101,0,7,3,4,7,3,1,1561993200,4102444799
1008,7,1,#ff2500,#ff7a00,2,2,18,101,0,7,0,4,7,0,1,1561993200,4102444799
1009,6,1,#acddff,#0d2452,2,2,18,101,0,7,0,4,7,0,1,1561993200,4102444799
1010,8,1,#ff9551,#211cac,2,2,18,101,0,7,1,5,7,1,1,1561993200,4102444799
1012,401,1,#53c01a,#0e5b1e,2,2,18,101,0,7,3,4,7,3,1,1774303200,4102444799
1023,912,5,#18d7ff,#c7f7ff,2,2,18,101,0,7,0,4,5,0,0,1629806400,4102444799
1025,100,2,#88ffff,#004552,2,2,1,101,0,7,0,2,7,0,1,1561993200,4102444799
1026,101,2,#88a5ff,#24154d,2,2,1,101,0,7,0,2,7,0,1,1561993200,4102444799
1027,5,1,#4ffbff,#1500cb,2,2,18,101,0,7,0,4,7,0,1,1561993200,4102444799
1028,4,1,#ffc139,#ff4b00,2,2,18,101,0,7,0,4,7,0,1,1561993200,4102444799
1030,102,2,#42c3ff,#1773ff,2,2,3,101,0,7,2,4,7,2,1,1754258400,4102444799
1031,103,2,#7434a4,#0e0318,2,2,1,101,0,7,0,2,7,0,1,1759874400,4102444799
1032,200,3,#4066ff,#002eff,2,2,15,101,0,7,1,4,7,1,1,1752703200,4102444799
1034,400,1,#a8ff99,#4ac00c,2,2,5,101,0,7,3,6,7,3,1,1774303200,4102444799
1035,10,1,#77daff,#205cff,2,2,10,101,0,7,2,11,7,2,1,1762466400,4102444799
1037,104,2,#29b583,#d2c718,2,2,2,101,0,7,1,3,7,1,1,1769119200,4102444799
1040,914,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1774303200,4102444799
1042,911,5,#18d6ff,#c7f6ff,2,2,18,101,0,7,0,4,5,0,0,1629806400,4102444799
1043,913,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1629806400,4102444799
1044,916,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1775858400,4102444799
1048,11,1,#21d8b7,#c74316,2,2,18,101,0,7,0,4,7,0,1,1773352800,4102444799
1049,905,5,#18d5ff,#c7f5ff,2,2,18,101,0,7,0,4,5,0,0,1629806400,4102444799
1050,301,5,#ff6982,#aa0030,2,2,18,104,0,104,0,7,104,0,1,1773352800,4102444799
1051,105,2,#e45dbf,#eedaea,2,2,7,101,0,7,1,8,7,1,1,1782424800,4102444799
1052,915,99,#cccccc,#cccccc,2,2,2,101,0,7,0,3,7,1,0,1775426400,4102444799
1054,201,5,#ffcf52,#481690,2,1,9,101,0,7,0,4,7,0,1,1784584800,4102444799
1055,919,5,#18d5ff,#c7f5ff,2,2,18,101,0,7,0,4,5,0,0,1777240800,4102444799
1056,918,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1775516400,4102444799
8501,920,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782424800,4102444799
8502,921,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782424800,4102444799
8503,922,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782424800,4102444799
8504,923,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782424800,4102444799
8505,924,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782424800,4102444799
9051,917,99,#cccccc,#cccccc,2,2,7,101,0,7,1,8,7,1,0,1782424800,4102444799
