id,type,scenario_id,disp_order,group_id,rank,chara_data_id,user_show,receive_condition_type,start_date,end_date
1,0,0,15,15,1,0,1,3,1483228800,2524608000
2,0,0,16,16,1,0,1,3,1483228800,2524608000
3,0,0,14,14,1,0,1,3,1483228800,2524608000
4,0,0,22,22,1,0,1,1,1483228800,2524608000
5,0,0,3052,3052,3,1052,1,3,1483228800,2524608000
6,0,0,41,41,1,0,1,1,1763330400,2524608000
7,0,0,42,42,1,0,1,1,1483228800,2524608000
8,0,0,31,31,1,0,1,3,1483228800,2524608000
9,0,0,23,23,1,0,1,3,1483228800,2524608000
10,0,0,2035,2035,2,0,1,3,1483228800,2524608000
12,0,0,4,4,1,0,1,3,1483228800,2524608000
13,0,0,9,9,1,0,1,3,1483228800,2524608000
14,0,0,7,7,1,0,1,3,1483228800,2524608000
15,0,0,8,8,1,0,1,3,1483228800,2524608000
16,0,0,10,10,1,0,1,3,1483228800,2524608000
17,0,0,17,17,1,0,1,3,1483228800,2524608000
18,0,0,29,29,1,0,1,3,1483228800,2524608000
19,0,0,6,6,1,0,1,3,1483228800,2524608000
20,0,0,40,40,1,0,1,1,1483228800,2524608000
21,0,0,33,33,1,0,1,3,1483228800,2524608000
22,0,0,13,13,1,0,1,3,1483228800,2524608000
23,0,0,3,3,1,0,1,3,1483228800,2524608000
24,0,0,34,34,1,0,1,3,1483228800,2524608000
25,0,0,35,35,1,0,1,3,1483228800,2524608000
26,0,0,2026,2026,2,0,1,3,1483228800,2524608000
27,0,0,2028,2028,2,0,1,3,1483228800,2524608000
28,0,0,2023,2023,2,0,1,3,1483228800,2524608000
29,0,0,2024,2024,2,0,1,3,1483228800,2524608000
30,0,0,2029,2029,2,0,1,3,1483228800,2524608000
31,0,0,2033,2033,2,0,1,3,1483228800,2524608000
32,0,0,2021,2021,2,0,1,3,1483228800,2524608000
33,0,0,18,18,1,0,1,3,1483228800,2524608000
34,0,0,38,38,1,0,1,3,1483228800,2524608000
35,0,0,32,32,1,0,1,3,1483228800,2524608000
36,0,0,20,20,1,0,1,3,1483228800,2524608000
37,0,0,2032,2032,2,0,1,3,1483228800,2524608000
38,0,0,2012,2012,2,0,1,3,1483228800,2524608000
39,0,0,2034,2034,2,0,1,3,1483228800,2524608000
40,0,0,43,43,1,0,1,3,1483228800,2524608000
41,0,0,2010,2010,2,0,1,3,1483228800,2524608000
42,0,0,37,37,1,0,1,1,1483228800,2524608000
43,0,0,3018,3018,3,1018,1,3,1483228800,2524608000
44,0,0,3040,3040,3,1040,1,1,1759874400,2524608000
45,0,0,3030,3030,3,1030,1,1,1483228800,2524608000
46,0,0,3037,3037,3,1037,1,1,1761861600,2524608000
47,0,0,3035,3035,3,1035,1,3,1483228800,2524608000
48,0,0,3032,3032,3,1032,1,3,1483228800,2524608000
49,0,0,5023,5023,3,0,1,3,1483228800,2524608000
50,0,0,2015,2015,2,0,1,3,1483228800,2524608000
51,0,0,2037,2037,2,0,1,3,1483228800,2524608000
52,0,0,2025,2025,2,0,1,3,1483228800,2524608000
54,0,0,5024,5024,3,0,1,2,1483228800,2524608000
55,0,0,5022,5022,3,0,1,3,1483228800,2524608000
56,0,0,2013,2013,2,0,1,3,1483228800,2524608000
57,0,0,5008,5008,3,0,1,3,1483228800,2524608000
58,0,0,5011,5011,3,0,1,3,1483228800,2524608000
59,0,0,2036,2036,2,0,1,3,1483228800,2524608000
60,0,0,5010,5010,3,0,1,3,1483228800,2524608000
61,0,0,5020,5020,3,0,1,2,1483228800,2524608000
62,0,0,36,36,1,0,1,3,1483228800,2524608000
