id,group_id,message,voice,per,comment_group,reuse,omit_tag
1,100000,Not a cloud in sight here at %course\nfor the %distance-meter %ground %race.\n%h_num_no runners take the field.,1000101|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
2,100001,It's cloudy here at %course\nfor the %distance-meter %ground %race.\n%h_num_no runners take the field.,1000201|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
3,100002,Rain is making for poor conditions here at\n%course for the %distance-meter\n%ground %race. %h_num_no\nrunners take the field.,1000301|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
5,100004,"We've got clear, blue skies here at\n%course for the %distance-meter\n%ground %race. %h_num_no\nrunners take the field.",1000501|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
6,100005,We've got a storm brewing here at\n%course for the %distance-meter\n%ground %race. %h_num_no\nrunners take the field.,1000601|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
7,100006,"This rain will certainly be a test here at\n%course for the %distance-meter\n%ground %race, but\nwe're finally set to begin.",1000701|%course|%ground|%distance|%race|1000702,100,0,0,0
8,100007,Snow is falling here at %course\nfor the %distance-meter %ground\n%race. Which\nUmamusume will prove victorious?!,1000801|%course|1000802|%c_0.02|%race|%ground|%distance|1000803,100,0,0,0
9,100008,We've got beautiful blue skies here at the\n%course. The turf should be nice\nand firm for today's race!,1001101|%course|1001102,100,100000,0,0
10,100009,The sun is shining bright over\n%course. Dust dances in the air\nover the firm track.,1001201|%course|1001202,100,100001,0,0
11,100010,A few lazy clouds roll over\n%course. Track conditions have\nbeen downgraded since the rain yesterday.,1001301|%c_0.02|%course|1001302,100,100002,0,0
12,100011,"The skies have cleared over\n%course. With the on-and-off\nrain we've had, track conditions are good but\nnot the best.",1001401|%c_0.02|%course|1001402,100,100003,0,0
13,100012,"We've got gray skies over\n%course. The weather is still\nholding out, though, and the track is firm.",1001501|%course|1001502,100,100004,0,0
15,100014,"The skies are gloomy and overcast here at\n%course. It's not all bad though,\nthe turf is still in good condition.",1001701|%c_0.02|%course|1001702,100,100006,0,0
16,100015,"Occasional rainfall is taunting us here at\n%course. However, the track has\nbeen confirmed to be in good condition.",1001801|%course|1001802,100,100007,0,0
17,100016,"The rain has soaked into the turf at\n%course. Unfortunately, this has\nmade for soft track conditions.",1001901|%course|1001902,100,100008,0,0
18,100017,Rain is pouring down here at\n%course. This will be a grueling\nrace on a soft dirt track.,1002001|%course|1002002,100,100009,0,0
19,100018,The continuing rain has worsened at\n%course. The track condition has\nbeen downgraded to heavy.,1002101|%course|1002102,100,100010,0,0
20,100019,"We've got heavy rainfall here at\n%course. The track is wet and\nslippery, rendering its condition heavy.",1002201|%course|1002202,100,100011,0,0
