id,initial_lane_type,enable_half_gate,horse_num_gate_variation,turf_vision_type,footsmoke_color_type,area,flag_type,gate_panel_type,gate_lamp_type,board_condition_type,result_board_type
10001,1,1,0,1,1,0,0,1,1,2,0
10002,1,1,0,1,1,0,0,1,1,2,0
10003,1,1,0,1,1,1,0,1,1,2,0
10004,1,1,0,1,1,1,0,1,1,2,0
10005,1,1,0,1,1,2,0,1,1,2,0
10006,1,1,0,1,1,2,0,1,1,2,0
10007,1,1,0,1,1,3,0,1,1,2,0
10008,1,1,0,1,1,3,0,1,1,2,0
10009,1,1,0,1,1,3,0,1,1,2,0
10010,1,1,0,1,1,4,0,1,1,2,0
10101,2,0,1,2,2,2,1,1,1,3,0
10201,3,1,0,1,1,5,0,2,2,1,0
