id,scenario_id,need_record_min,reward_item_category,reward_item_id,reward_num
1,1,4000,30,110,10000
2,1,5000,91,59,20000
3,1,6000,40,41,1
4,1,7000,40,111,1
5,1,8000,97,115,10
6,1,10000,90,43,300
7,1,12000,40,136,1
8,1,14000,93,44,6
9,1,16000,55,501101,1
10,2,4000,30,110,10000
11,2,5000,91,59,20000
12,2,6000,40,41,1
13,2,7000,40,111,1
14,2,8000,97,115,10
15,2,10000,90,43,300
16,2,12000,40,136,1
17,2,14000,93,44,6
18,2,16000,55,502101,1
19,4,4000,30,110,10000
20,4,5000,91,59,20000
21,4,6000,40,41,1
22,4,7000,40,111,1
23,4,8000,97,115,10
24,4,10000,90,43,300
25,4,12000,40,136,1
26,4,14000,93,44,6
27,4,16000,55,504101,1
