id,month,bg_id,bg_sub_id,scenario_id,bg_progress,bg_effect,bgm_cue_name,bgm_cuesheet,env_cue_name,env_cuesheet_name,max_placement
1,1,5,4110,1,0,,,,,,0
2,2,5,4110,1,0,,,,,,0
3,3,5,5110,1,0,pfb_eff_single_scenario_01,,,,,0
4,4,5,5110,1,0,pfb_eff_single_scenario_01,,,,,0
5,5,5,110,1,0,,,,,,0
6,6,5,110,1,0,,,,,,0
7,7,5,110,1,0,,,,,,0
8,8,5,110,1,0,,,,,,0
9,9,5,110,1,0,,,,,,0
10,10,5,3110,1,0,,,,,,0
11,11,5,3110,1,0,,,,,,0
12,12,5,4110,1,0,,,,,,0
13,0,42,2110,1,0,,,,,,0
14,1,124,4110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
15,2,124,4110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
16,3,124,1110,2,1,pfb_eff_single_scenario_01,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
17,4,124,1110,2,1,pfb_eff_single_scenario_01,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
18,5,124,2110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
19,6,124,2110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
20,7,124,2110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
21,8,124,2110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
22,9,124,2110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
23,10,124,3110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
24,11,124,3110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
25,12,124,4110,2,1,,snd_bgm_GM123_single,snd_bgm_GM123,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
26,1,124,4111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
27,2,124,4111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
28,3,124,1111,2,2,pfb_eff_single_scenario_01,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
29,4,124,1111,2,2,pfb_eff_single_scenario_01,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
30,5,124,2111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
31,6,124,2111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
32,7,124,2111,2,2,,,,,,3
33,8,124,2111,2,2,,,,,,3
34,9,124,2111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
35,10,124,3111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
36,11,124,3111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
37,12,124,4111,2,2,,snd_bgm_GM124_single,snd_bgm_GM124,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
38,1,124,4112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
39,2,124,4112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
40,3,124,1112,2,3,pfb_eff_single_scenario_01,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
41,4,124,1112,2,3,pfb_eff_single_scenario_01,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
42,5,124,2112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
43,6,124,2112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
44,7,124,2112,2,3,,,,,,3
45,8,124,2112,2,3,,,,,,3
46,9,124,2112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
47,10,124,3112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
48,11,124,3112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
49,12,124,4112,2,3,,snd_bgm_GM125_single,snd_bgm_GM125,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d,3
50,1,1,9111,4,0,,,,,,0
51,2,1,4111,4,0,,,,,,0
52,3,1,5111,4,0,,,,,,0
53,4,1,5111,4,0,,,,,,0
54,5,1,2111,4,0,,,,,,0
55,6,1,2111,4,0,,,,,,0
56,7,1,2111,4,0,,,,,,0
57,8,1,2111,4,0,,,,,,0
58,9,1,2111,4,0,,,,,,0
59,10,1,7131,4,0,,,,,,0
60,11,1,12111,4,0,,,,,,0
61,12,1,6131,4,0,,,,,,0
62,0,42,2110,4,0,,,,,,0
