id,partner_id,scenario_id,chara_id,period,training_placement,gain_flag_id,is_support_featured_stock,gain_role_id
1,101,1,9001,0,1,0,0,109001
2,102,1,9002,2,0,0,0,109002
3,103,1,9003,2,0,0,0,109003
4,104,1,9004,0,0,0,0,109004
5,106,1,9006,0,1,9006,0,109006
201,101,2,9001,0,1,0,0,209001
203,103,2,9003,2,0,0,0,209003
204,104,2,9004,0,1,9004,0,209004
205,106,2,9006,2,0,0,1,209006
401,101,4,9001,0,1,0,0,409001
402,102,4,9002,2,0,0,0,409002
403,103,4,9003,2,0,0,0,409003
404,104,4,9004,0,1,9004,0,409004
405,106,4,9006,0,1,9006,0,409006
