tbl,idx,stat
fan_raid_all_reward,fan_raid_all_reward_0_fan_raid_id,7 7
single_mode_free_shop,,11
story_live_position,story_live_position_0_music_id,116 10
story_live_position,story_live_position_0_set_id,116 9
succession_rental,succession_rental_0_rental_rank_1_rental_num,490 5 1
story_event_announce_detail,story_event_announce_detail_0_announce_id,173 13
story_event_announce_detail,sqlite_autoindex_story_event_announce_detail_1,173 13 1
story_wipe_dictionary,story_wipe_dictionary_0_wipe_id_1_sub_id,49 2 2
story_wipe_dictionary,sqlite_autoindex_story_wipe_dictionary_1,49 2 2 1 1 1
single_mode_unique_chara,single_mode_unique_chara_0_chara_id_1_scenario_id,14 3 1
single_mode_unique_chara,single_mode_unique_chara_0_partner_id_1_scenario_id,14 3 1
single_mode_route_announce,single_mode_route_announce_0_route_race_type_1_route_race_id,18 18 1
audience_impostor,audience_impostor_0_season_1_weather,32 7 2
story_event_data,,16
race_proper_ground_rate,,9
mission_data,mission_data_0_item_category,3123 142
mission_data,mission_data_0_mission_type,3123 224
training_challenge_score,training_challenge_score_0_score_group_id,140 18
challenge_match_race,challenge_match_race_0_race_instance_id,12 1
challenge_match_race,challenge_match_race_0_challenge_match_id,12 6
single_mode_scenario,,3
succession_factor_effect,succession_factor_effect_0_factor_group_id_1_effect_id,2684 8 2
succession_factor_effect,succession_factor_effect_0_factor_group_id,2684 8
race_course_set_status,,11
legend_race_billing,,1
legend_race,legend_race_0_legend_race_boss_npc_id,40 1
legend_race,legend_race_0_race_instance_id,40 1
legend_race,legend_race_0_group_id,40 1
crane_game_catch_result,sqlite_autoindex_crane_game_catch_result_1,68 3 1
name_card_bg,,150
story_event_top_chara,story_event_top_chara_0_story_event_id,188 12
single_mode_wins_saddle,,155
home_eat,home_eat_0_chara_id,56 4
team_building_collection_set,team_building_collection_set_0_team_building_event_id,3 3
team_stadium_race_result_motion,team_stadium_race_result_motion_0_character_id,75 1
jukebox_comment,jukebox_comment_0_chara_id_1_comment_type,159 3 2
jukebox_comment,jukebox_comment_0_comment_id,159 1
text_data,sqlite_autoindex_text_data_1,54035 225 1
single_mode_turn,single_mode_turn_0_turn_set_id,234 78
single_mode_top_bg_chara,single_mode_top_bg_chara_0_bg_id_1_scenario_id,12 12 12
home_env_setting,home_env_setting_0_home_set_id_1_home_event_type_2_season_3_weather_4_timezone,112 112 28 12 4 1
fan_raid_top_chara,fan_raid_top_chara_0_top_data_id,10 3
training_cutt_data,training_cutt_data_0_command_id_1_sub_id,82 7 6
timezone_data,,4
audio_story_effect,audio_story_effect_0_effect_name,12 1
single_mode_free_shop_item,single_mode_free_shop_item_0_item_id,53 1
race_jikkyo_trigger,,1833
limited_exchange_reward,,221
home_poster_data,home_poster_data_0_pos_index,9 3
home_poster_data,home_poster_data_0_priority,9 3
campaign_single_race_add_data,campaign_single_race_add_data_0_race_additional_id,20 1
single_mode_event_cr_priority,single_mode_event_cr_priority_0_display_id,58 2
single_mode_free_shop_effect,single_mode_free_shop_effect_0_effect_group_id,64 2
succession_relation,,1043
live_extra_data,live_extra_data_0_music_id,1 1
home_story_trigger,home_story_trigger_0_home_event_type,331 331
home_story_trigger,home_story_trigger_0_gallery_chara_id,331 6
home_story_trigger,home_story_trigger_0_pos_id,331 28
home_story_trigger,home_story_trigger_0_home_event_type_1_story_id,331 331 2
home_story_trigger,sqlite_autoindex_home_story_trigger_1,331 6 1
event_motion_plus_data,event_motion_plus_data_0_layer_index,151 76
event_motion_plus_data,event_motion_plus_data_0_base_state_name,151 1
single_mode_event_conclusion,sqlite_autoindex_single_mode_event_conclusion_1,244 61 1
single_mode_rival,single_mode_rival_0_race_program_id,2001 15
single_mode_rival,sqlite_autoindex_single_mode_rival_1,2001 33 2 2 1 1
succession_relation_member,succession_relation_member_0_chara_id,2599 36
item_place,item_place_0_id,165 2
item_place,sqlite_autoindex_item_place_1,165 2 1 1
home_walk_group,,61
team_building_win_reward,,2
mini_face_type_data,sqlite_autoindex_mini_face_type_data_1,35 1
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_chara_type_1_cutt_type,24 4 2
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_chara_type,24 4
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_cutt_type,24 12
fan_raid_top_data,fan_raid_top_data_0_fan_raid_id,4 4
single_mode_story_data,single_mode_story_data_0_short_story_id,7541 4
single_mode_story_data,single_mode_story_data_0_gallery_main_scenario,7541 1886
single_mode_story_data,single_mode_story_data_0_support_chara_id,7541 95
single_mode_story_data,single_mode_story_data_0_support_card_id,7541 52
single_mode_story_data,single_mode_story_data_0_card_chara_id,7541 122
single_mode_story_data,single_mode_story_data_0_card_id,7541 82
single_mode_story_data,single_mode_story_data_0_story_id,7541 1
race_instance,race_instance_0_race_id,1688 2
team_building_race_npc,,286
team_building_chara_group,team_building_chara_group_0_chara_group_id,6 2
team_stadium_score_bonus,team_stadium_score_bonus_0_condition_type,7 2
gift_message,,108
gacha_top_bg,gacha_top_bg_0_gacha_id,126 1
crane_game_extra_odds_condition,,1
story_event_bingo_reward,story_event_bingo_reward_0_reward_set_id,264 8
story_event_bingo_reward,sqlite_autoindex_story_event_bingo_reward_1,264 8 1
single_mode_special_chara,single_mode_special_chara_0_scenario_id_1_chara_id,6 3 1
single_mode_special_chara,single_mode_special_chara_0_scenario_id,6 3
gacha_free_campaign,,20
team_stadium_support_text,team_stadium_support_text_0_type,10 5
single_mode_evaluation,single_mode_evaluation_0_chara_id,12 4
race_env_define,race_env_define_0_race_track_id,960 80
gacha_data,,126
main_story_race_bonus,main_story_race_bonus_0_group_id,24 2
single_mode_event_choice_reward,,35
single_mode_reward_set,single_mode_reward_set_0_reward_set_id,734 15
race_jikkyo_race,,620
race_jikkyo_base,race_jikkyo_base_0_mode,3952 304
note_profile,note_profile_0_chara_id,40 2
team_stadium_class_reward,team_stadium_class_reward_0_team_stadium_id_1_class_reward_type,17 17 5
single_mode_venus_training_plate,,3
single_mode_outing_set,,2
succession_initial_factor,succession_initial_factor_0_factor_type,13 5
succession_initial_factor,succession_initial_factor_0_factor_type_1_value_1,13 5 2
team_stadium_raw_score,team_stadium_raw_score_0_race_score_name_id,95 14
team_stadium_raw_score,team_stadium_raw_score_0_condition_type,95 9
story_event_bonus_card,story_event_bonus_card_0_story_event_id,103 7
story_event_bonus_card,sqlite_autoindex_story_event_bonus_card_1,103 7 2 1
single_mode_restrict_support,single_mode_restrict_support_0_support_card_id,1 1
single_mode_restrict_support,single_mode_restrict_support_0_scenario_id,1 1
single_mode_scout_chara,single_mode_scout_chara_0_chara_id,219 3
single_mode_training,single_mode_training_0_command_id_1_command_level,36 3 1
single_mode_training,single_mode_training_0_cutin_file_id,36 1
single_mode_training,single_mode_training_0_command_type,36 12
single_mode_training,single_mode_training_0_command_id,36 3
jukebox_music_data,jukebox_music_data_0_version_type,34 12
jukebox_music_data,sqlite_autoindex_jukebox_music_data_1,34 1
fan_raid_individual_reward,fan_raid_individual_reward_0_fan_raid_id,7 7
event_motion_data,event_motion_data_0_type,1223 612
event_motion_data,sqlite_autoindex_event_motion_data_1,1223 1
single_mode_difficulty_box,single_mode_difficulty_box_0_box_step,5 3
single_mode_difficulty_box,single_mode_difficulty_box_0_box_id,5 1
single_mode_difficulty_box,single_mode_difficulty_box_0_reward_set_id,5 2
single_mode_difficulty_box,sqlite_autoindex_single_mode_difficulty_box_1,5 2 1
single_mode_chara_effect,,22
