id,story_event_id,ending_flag,character_id,dress_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
1,1001,0,9001,900101,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
2,1001,1,9001,900101,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
3,1002,0,1062,5,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
4,1002,1,1062,5,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
5,1003,0,1059,3,51,110,snd_bgm_AM028_sys_02,snd_bgm_AM028,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
6,1003,1,1059,3,126,110,snd_bgm_AM028_sys_02,snd_bgm_AM028,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
7,1004,0,1007,100701,113,110,snd_bgm_GM095_Lp01_sys,snd_bgm_GM095_Lp01,snd_sfx_atmos_aozora_d,snd_sfx_atmos_aozora_d
8,1004,1,1007,100701,113,110,snd_bgm_GM095_Lp01_sys,snd_bgm_GM095_Lp01,snd_sfx_atmos_aozora_d,snd_sfx_atmos_aozora_d
9,1005,0,1004,100430,132,1,snd_bgm_GM116_sys,snd_bgm_GM116,snd_sfx_atmos_zawazawa_e,snd_sfx_atmos_zawazawa_e
10,1005,1,1004,901004,135,111,snd_bgm_AM028_sys_02,snd_bgm_AM028,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
11,1006,0,1045,104540,146,130,snd_bgm_GM129_sys_02,snd_bgm_GM129,snd_sfx_atmos_aozora_n,snd_sfx_atmos_aozora_n
12,1006,1,1045,104540,34,7131,snd_bgm_GM129_sys_02,snd_bgm_GM129,snd_sfx_atmos_yuuenti_n,snd_sfx_atmos_yuuenti_n
13,1007,0,1029,5,67,110,snd_bgm_GM138_sys,snd_bgm_GM138,snd_sfx_atmos_inn_d,snd_sfx_atmos_inn_d
14,1007,1,1029,5,67,110,snd_bgm_GM138_sys,snd_bgm_GM138,snd_sfx_atmos_inn_d,snd_sfx_atmos_inn_d
15,1008,0,1055,901055,157,6310,snd_bgm_DM014_Winter_Short_sys,snd_bgm_DM014_Winter_Short,snd_sfx_atmos_namiki_winter_d,snd_sfx_atmos_namiki_winter_d
16,1008,1,1055,901055,51,310,snd_bgm_DM014_Winter_Short_sys,snd_bgm_DM014_Winter_Short,snd_sfx_atmos_namiki_winter_d,snd_sfx_atmos_namiki_winter_d
17,1009,0,1052,6,162,110,snd_bgm_GM162_sys,snd_bgm_GM162,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
18,1009,1,1052,105210,160,111,snd_bgm_GM162_sys,snd_bgm_GM162,snd_sfx_atmos_wide_room_quiet,snd_sfx_atmos_wide_room_quiet
19,1010,0,1037,103713,90,13000,snd_bgm_DM014_Feb_sys_02,snd_bgm_DM014_Feb,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
20,1010,1,1037,103713,90,13000,snd_bgm_DM014_Feb_sys_02,snd_bgm_DM014_Feb,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
21,1011,0,1074,5,27,10,snd_bgm_GM176_sys,snd_bgm_GM176,snd_sfx_atmos_room_n_noext,snd_sfx_atmos_room_n_noext
22,1011,1,1074,5,8,111,snd_bgm_GM176_sys,snd_bgm_GM176,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
23,1012,0,1036,5,52,110,snd_bgm_AM044_sys,snd_bgm_AM044,snd_sfx_atmos_kousyaura_d,snd_sfx_atmos_kousyaura_d
24,1012,1,1036,5,170,131,snd_bgm_AM044_sys,snd_bgm_AM044,snd_sfx_atmos_hall_party_mob,snd_sfx_atmos_hall_party_mob
25,1013,0,1039,103901,2,110,snd_bgm_GM192_ver1_sys,snd_bgm_GM192_ver1,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
26,1013,1,1039,103901,2,120,snd_bgm_GM192_ver1_sys,snd_bgm_GM192_ver1,snd_sfx_atmos_hiroba_e,snd_sfx_atmos_hiroba_e
27,1014,0,1030,901030,183,0,snd_bgm_GM194_sys,snd_bgm_GM194,snd_sfx_atmos_room_n_noext,snd_sfx_atmos_room_n_noext
28,1014,1,1030,2,11,110,snd_bgm_GM194_sys,snd_bgm_GM194,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
29,1015,0,1047,901047,27,10,snd_bgm_GM206_sys,snd_bgm_GM206,snd_sfx_atmos_room_n_noext,snd_sfx_atmos_room_n_noext
30,1015,1,1047,901047,190,111,snd_bgm_GM206_sys,snd_bgm_GM206,snd_sfx_atmos_gassyuku_d,snd_sfx_atmos_gassyuku_d
31,1016,0,1069,3,193,110,snd_bgm_DM018B_02_sys,snd_bgm_DM018,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
32,1016,1,1069,2,7,110,snd_bgm_DM027_sys,snd_bgm_DM027,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
