type,group_id,sort_id,start_date
1,1,10,1614124800
2,1,20,1614124800
3,1,80,1614124800
4,1,90,1614124800
5,1,100,1614124800
6,1,110,1614124800
7,1,120,1614124800
8,1,30,1614124800
9,2,10,1614124800
10,2,20,1614124800
11,2,30,1614124800
12,2,40,1614124800
13,2,50,1614124800
14,2,60,1614124800
15,3,10,1614124800
16,3,20,1614124800
17,4,10,1614124800
18,4,20,1614124800
19,1,40,1614124800
25,4,30,1614124800
26,4,40,1614124800
27,1,50,1614124800
28,1,60,1614124800
30,1,130,1614124800
31,1,70,1614124800
