id,team_rank,team_min_value,team_max_value,reward_group_id
1,1,1,39999,0
2,2,40000,42999,2
3,3,43000,45999,3
4,4,46000,48999,4
5,5,49000,51999,5
6,6,52000,55499,6
7,7,55500,58999,7
8,8,59000,62499,8
9,9,62500,65999,9
10,10,66000,69999,10
11,11,70000,73999,11
12,12,74000,77999,12
13,13,78000,81999,13
14,14,82000,86499,14
15,15,86500,90999,15
16,16,91000,95499,16
17,17,95500,99999,17
18,18,100000,104999,18
19,19,105000,109999,19
20,20,110000,119999,20
21,21,120000,129999,21
22,22,130000,139999,22
23,23,140000,149999,23
24,24,150000,99999999,24
