id,category,index,text
211,211,3,Story Event Coming Soon!
211,211,4,Story Event Coming Soon!
211,211,5,Story Event Coming Soon!
211,211,6,Story Event Coming Soon!
211,211,9,Story Event Coming Soon!
211,211,10,Story Event Coming Soon!
211,211,11,Story Event Coming Soon!
211,211,12,Story Event Coming Soon!
211,211,13,Story Event Coming Soon!
211,211,14,Story Event Coming Soon!
211,211,15,Story Event Coming Soon!
211,211,16,Story Event Coming Soon!
211,211,17,Story Event Coming Soon!
211,211,18,Story Event Coming Soon!
211,211,19,Story Event Coming Soon!
211,211,20,Story Event Coming Soon!
211,211,21,Story Event Coming Soon!
211,211,22,Story Event Coming Soon!
211,211,23,Story Event Coming Soon!
211,211,24,Story Event Coming Soon!
211,211,25,Story Event Coming Soon!
211,211,26,Story Event Coming Soon!
211,211,27,Story Event Coming Soon!
211,211,28,Story Event Coming Soon!
212,212,3,"<caption = ''>The story event ""Beaches, Bathing Suits & Blazing Trails"" will start on Oct 14 at 22:00 (UTC) !\n\nDuring the event, you can train Umamusume to obtain Event Points and Prize Coins, which let you unlock story episodes, event-exclusive Support Cards, and more!\n\nEvent previews now come with voice lines!\nOnce the event reward collection period ends, preview voice recordings can be played by going to Story > Extras from the Home screen.</caption>\n\n<caption = 'Event Period'>Available: 22:00 Oct 14 - 21:59 Oct 27 (UTC)</caption>\n\n<caption = 'Important Information'>1. For more information, check the notice posted after the start of the event or the Help button at the top-right of the event page.\n2. Event duration and content are subject to change without prior notice.</caption>"
266,266,2,The video will open in YouTube.
266,266,266,You will be redirected to an external website.
266,266,274,The video will open in YouTube.
266,266,330,Road to the Top Ep. 1 now streaming!
266,266,331,Road to the Top Ep. 2 now streaming!
266,266,332,Road to the Top Ep. 3 now streaming!
266,266,333,Road to the Top Ep. 4 now streaming!
266,266,381,Paka Live TV is off to the races today!
266,266,382,Paka Live TV is now live!
266,266,383,Paka Live TV is off to the races today!
266,266,384,Paka Live TV is now live!
266,266,90001,Umayuru Eps. 1-3 now streaming!
266,266,90002,Umayuru Ep. 4 now streaming!
266,266,90003,Umayuru Ep. 5 now streaming!
266,266,90004,Umayuru Ep. 6 now streaming!
266,266,90005,Umayuru Ep. 7 now streaming!
266,266,90006,Umayuru Ep. 8 now streaming!
266,266,90007,Umayuru Ep. 9 now streaming!
266,266,90008,Umayuru Ep. 10 now streaming!
266,266,90009,Umayuru Ep. 11 now streaming!
266,266,90010,Umayuru Ep. 12 now streaming!
266,266,90011,Umayuru Ep. 13 now streaming!
266,266,90012,Umayuru Ep. 14 now streaming!
266,266,90013,Umayuru Ep. 15 now streaming!
266,266,90014,Umayuru Ep. 16 now streaming!
266,266,90015,Umayuru Ep. 17 now streaming!
266,266,90016,Umayuru Ep. 18 now streaming!
266,266,90017,Umayuru Ep. 19 now streaming!
266,266,90018,Umayuru Ep. 20 now streaming!
266,266,90019,Umayuru Ep. 21 now streaming!
266,266,90020,Umayuru Ep. 22 now streaming!
266,266,90021,Umayuru Ep. 23 now streaming!
266,266,90022,Umayuru Ep. 24 now streaming!
269,269,330,The video will open in YouTube.
269,269,331,The video will open in YouTube.
269,269,332,The video will open in YouTube.
269,269,333,The video will open in YouTube.
269,269,381,The video will open in YouTube.
269,269,382,The video will open in YouTube.
269,269,383,The video will open in YouTube.
269,269,384,The video will open in YouTube.
269,269,90001,The video will open in YouTube.
269,269,90002,The video will open in YouTube.
269,269,90003,The video will open in YouTube.
269,269,90004,The video will open in YouTube.
269,269,90005,The video will open in YouTube.
269,269,90006,The video will open in YouTube.
269,269,90007,The video will open in YouTube.
