transfer_event_id,logo_id,bg_id,bg_sub_id,tutorial_guide_id,bgm_cue_name,bgm_cuesheet_name,top_trigger,finish_trigger,clear_trigger,pre_start_date,start_date,end_date
1,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1759417200,1759442400,1760133599
2,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1761058800,1761084000,1761429599
3,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1762873200,1762898400,1763243999
4,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1764601200,1764626400,1764971999
5,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1766070000,1766095200,1766440799
6,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1769551200,1769551200,1769896799
7,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1770674400,1770674400,1771019999
8,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1772748000,1772748000,1773093599
9,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1774216800,1774216800,1774562399
10,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1776006000,1776031200,1776376799
11,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1778166000,1778191200,1778536799
12,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1780585200,1780610400,1780955999
13,2,205,110,80002,snd_bgm_SH014_sys,snd_bgm_SH014_cb,5403,5405,5404,1782399600,1782424800,1784239199
