transfer_detail_id,transfer_event_id,trainer_type,difficulty,limited_type,start_date,end_date,cool_time,condition1_type,condition1_value1,condition1_value2,condition2_type,condition2_value1,condition2_value2,condition3_type,condition3_value1,condition3_value2,condition4_type,condition4_value1,condition4_value2,condition5_type,condition5_value1,condition5_value2
1001,1,133,3,1,1759442400,1759615199,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1002,1,123,3,1,1759615200,1759787999,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1003,1,213,3,1,1759788000,1759960799,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1004,1,113,3,1,1759960800,1760133599,0,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1005,1,102,2,3,1759442400,1759615199,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,1,202,2,3,1759615200,1759787999,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,1,102,2,3,1759788000,1759960799,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,1,202,2,3,1759960800,1760133599,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,1,201,1,5,1759442400,1759615199,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,1,101,1,5,1759615200,1759787999,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,1,201,1,5,1759788000,1759960799,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,1,101,1,5,1759960800,1760133599,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,113,3,1,1761084000,1761256799,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
2002,2,123,3,1,1761256800,1761429599,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
2003,2,102,2,3,1761084000,1761256799,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,202,2,3,1761256800,1761429599,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,201,1,5,1761084000,1761256799,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,101,1,5,1761256800,1761429599,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,3,223,3,1,1762898400,1763071199,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
3002,3,213,3,1,1763071200,1763243999,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
3003,3,102,2,3,1762898400,1763071199,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,3,202,2,3,1763071200,1763243999,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,3,201,1,5,1762898400,1763071199,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,3,101,1,5,1763071200,1763243999,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,4,133,3,1,1764626400,1764799199,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
4002,4,113,3,1,1764799200,1764971999,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
4003,4,202,2,3,1764626400,1764799199,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,4,102,2,3,1764799200,1764971999,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,4,101,1,5,1764626400,1764799199,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,4,201,1,5,1764799200,1764971999,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
5001,5,123,3,1,1766095200,1766267999,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
5002,5,223,3,1,1766268000,1766440799,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
5003,5,202,2,3,1766095200,1766267999,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
5004,5,102,2,3,1766268000,1766440799,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
5005,5,101,1,5,1766095200,1766267999,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,5,201,1,5,1766268000,1766440799,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,6,113,3,1,1769551200,1769723999,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
6002,6,213,3,1,1769724000,1769896799,0,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
6003,6,202,2,3,1769551200,1769723999,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,6,102,2,3,1769724000,1769896799,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,6,201,1,5,1769551200,1769723999,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,6,101,1,5,1769724000,1769896799,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
7001,7,123,3,1,1770674400,1770847199,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
7002,7,133,3,1,1770847200,1771019999,0,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
7003,7,202,2,3,1770674400,1770847199,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
7004,7,102,2,3,1770847200,1771019999,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
7005,7,201,1,5,1770674400,1770847199,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
7006,7,101,1,5,1770847200,1771019999,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,8,223,3,1,1772748000,1772920799,0,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
8002,8,113,3,1,1772920800,1773093599,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
8003,8,202,2,3,1772748000,1772920799,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
8004,8,102,2,3,1772920800,1773093599,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,8,101,1,5,1772748000,1772920799,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
8006,8,201,1,5,1772920800,1773093599,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
9001,9,133,3,1,1774216800,1774389599,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
9002,9,123,3,1,1774389600,1774562399,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
9003,9,102,2,3,1774216800,1774389599,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
9004,9,202,2,3,1774389600,1774562399,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
9005,9,201,1,5,1774216800,1774389599,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
9006,9,101,1,5,1774389600,1774562399,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,10,223,3,1,1776031200,1776203999,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
10002,10,123,3,1,1776204000,1776376799,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
10003,10,102,2,3,1776031200,1776203999,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,10,202,2,3,1776204000,1776376799,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,10,201,1,5,1776031200,1776203999,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,10,101,1,5,1776204000,1776376799,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,11,113,3,1,1778191200,1778363999,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
11002,11,213,3,1,1778364000,1778536799,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
11003,11,102,2,3,1778191200,1778363999,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
11004,11,202,2,3,1778364000,1778536799,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
11005,11,201,1,5,1778191200,1778363999,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
11006,11,101,1,5,1778364000,1778536799,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,12,133,3,1,1780610400,1780783199,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
12002,12,223,3,1,1780783200,1780955999,0,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
12003,12,102,2,3,1780610400,1780783199,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
12004,12,202,2,3,1780783200,1780955999,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
12005,12,201,1,5,1780610400,1780783199,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
12006,12,101,1,5,1780783200,1780955999,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
13001,13,304,4,1,1782424800,1783029599,0,900,26,0,0,0,0,0,0,0,0,0,0,0,0,0
13002,13,263,3,1,1782424800,1783029599,0,410,6,0,900,131,0,0,0,0,0,0,0,0,0,0
13003,13,293,3,1,1782424800,1783029599,0,400,6,0,900,7,0,0,0,0,0,0,0,0,0,0
13004,13,242,2,3,1782424800,1783029599,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13005,13,252,2,3,1782424800,1783029599,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13006,13,304,4,1,1783029600,1783634399,0,900,27,0,0,0,0,0,0,0,0,0,0,0,0,0
13007,13,283,3,1,1783029600,1783634399,0,320,6,0,900,130,0,0,0,0,0,0,0,0,0,0
13008,13,273,3,1,1783029600,1783634399,0,420,6,0,900,129,0,0,0,0,0,0,0,0,0,0
13009,13,262,2,3,1783029600,1783634399,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13010,13,292,2,3,1783029600,1783634399,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13011,13,304,4,1,1783634400,1784239199,0,900,49,0,0,0,0,0,0,0,0,0,0,0,0,0
13012,13,243,3,1,1783634400,1784239199,0,140,400,0,900,24,0,0,0,0,0,0,0,0,0,0
13013,13,253,3,1,1783634400,1784239199,0,420,6,0,900,42,0,0,0,0,0,0,0,0,0,0
13014,13,282,2,3,1783634400,1784239199,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13015,13,272,2,3,1783634400,1784239199,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
