transfer_reward_id,transfer_detail_id,reward_rank,item_category,item_id,item_num,odds
10010101,1001,1,102,0,5,1000000
10010102,1001,1,30,110,1000,1000000
10010103,1001,1,91,59,5000,1000000
10020101,1002,1,102,0,5,1000000
10020102,1002,1,30,110,1000,1000000
10020103,1002,1,91,59,5000,1000000
10030101,1003,1,102,0,5,1000000
10030102,1003,1,30,110,1000,1000000
10030103,1003,1,91,59,5000,1000000
10040101,1004,1,102,0,5,1000000
10040102,1004,1,30,110,1000,1000000
10040103,1004,1,91,59,5000,1000000
10050101,1005,1,30,110,500,1000000
10050102,1005,1,91,59,3000,1000000
10060101,1006,1,30,110,500,1000000
10060102,1006,1,91,59,3000,1000000
10070101,1007,1,30,110,500,1000000
10070102,1007,1,91,59,3000,1000000
10080101,1008,1,30,110,500,1000000
10080102,1008,1,91,59,3000,1000000
10090101,1009,1,30,110,300,1000000
10090102,1009,1,91,59,1500,1000000
10100101,1010,1,30,110,300,1000000
10100102,1010,1,91,59,1500,1000000
10110101,1011,1,30,110,300,1000000
10110102,1011,1,91,59,1500,1000000
10120101,1012,1,30,110,300,1000000
10120102,1012,1,91,59,1500,1000000
20010101,2001,1,102,0,5,1000000
20010102,2001,1,30,110,1000,1000000
20010103,2001,1,91,59,5000,1000000
20020101,2002,1,102,0,5,1000000
20020102,2002,1,30,110,1000,1000000
20020103,2002,1,91,59,5000,1000000
20030101,2003,1,30,110,500,1000000
20030102,2003,1,91,59,3000,1000000
20040101,2004,1,30,110,500,1000000
20040102,2004,1,91,59,3000,1000000
20050101,2005,1,30,110,300,1000000
20050102,2005,1,91,59,1500,1000000
20060101,2006,1,30,110,300,1000000
20060102,2006,1,91,59,1500,1000000
30010101,3001,1,102,0,5,1000000
30010102,3001,1,30,110,1000,1000000
30010103,3001,1,91,59,5000,1000000
30020101,3002,1,102,0,5,1000000
30020102,3002,1,30,110,1000,1000000
30020103,3002,1,91,59,5000,1000000
30030101,3003,1,30,110,500,1000000
30030102,3003,1,91,59,3000,1000000
30040101,3004,1,30,110,500,1000000
30040102,3004,1,91,59,3000,1000000
30050101,3005,1,30,110,300,1000000
30050102,3005,1,91,59,1500,1000000
30060101,3006,1,30,110,300,1000000
30060102,3006,1,91,59,1500,1000000
40010101,4001,1,102,0,5,1000000
40010102,4001,1,30,110,1000,1000000
40010103,4001,1,91,59,5000,1000000
40020101,4002,1,102,0,5,1000000
40020102,4002,1,30,110,1000,1000000
40020103,4002,1,91,59,5000,1000000
40030101,4003,1,30,110,500,1000000
40030102,4003,1,91,59,3000,1000000
40040101,4004,1,30,110,500,1000000
40040102,4004,1,91,59,3000,1000000
40050101,4005,1,30,110,300,1000000
40050102,4005,1,91,59,1500,1000000
40060101,4006,1,30,110,300,1000000
40060102,4006,1,91,59,1500,1000000
50010101,5001,1,102,0,5,1000000
50010102,5001,1,30,110,1000,1000000
50010103,5001,1,91,59,5000,1000000
50020101,5002,1,102,0,5,1000000
50020102,5002,1,30,110,1000,1000000
50020103,5002,1,91,59,5000,1000000
50030101,5003,1,30,110,500,1000000
50030102,5003,1,91,59,3000,1000000
50040101,5004,1,30,110,500,1000000
50040102,5004,1,91,59,3000,1000000
50050101,5005,1,30,110,300,1000000
50050102,5005,1,91,59,1500,1000000
50060101,5006,1,30,110,300,1000000
50060102,5006,1,91,59,1500,1000000
60010101,6001,1,102,0,5,1000000
60010102,6001,1,30,110,1000,1000000
60010103,6001,1,91,59,5000,1000000
60020101,6002,1,102,0,5,1000000
60020102,6002,1,30,110,1000,1000000
60020103,6002,1,91,59,5000,1000000
60030101,6003,1,30,110,500,1000000
60030102,6003,1,91,59,3000,1000000
60040101,6004,1,30,110,500,1000000
60040102,6004,1,91,59,3000,1000000
60050101,6005,1,30,110,300,1000000
60050102,6005,1,91,59,1500,1000000
60060101,6006,1,30,110,300,1000000
60060102,6006,1,91,59,1500,1000000
70010101,7001,1,102,0,5,1000000
70010102,7001,1,30,110,1000,1000000
70010103,7001,1,91,59,5000,1000000
70020101,7002,1,102,0,5,1000000
70020102,7002,1,30,110,1000,1000000
70020103,7002,1,91,59,5000,1000000
70030101,7003,1,30,110,500,1000000
70030102,7003,1,91,59,3000,1000000
70040101,7004,1,30,110,500,1000000
70040102,7004,1,91,59,3000,1000000
70050101,7005,1,30,110,300,1000000
70050102,7005,1,91,59,1500,1000000
70060101,7006,1,30,110,300,1000000
70060102,7006,1,91,59,1500,1000000
80010101,8001,1,102,0,5,1000000
80010102,8001,1,30,110,1000,1000000
80010103,8001,1,91,59,5000,1000000
80020101,8002,1,102,0,5,1000000
80020102,8002,1,30,110,1000,1000000
80020103,8002,1,91,59,5000,1000000
80030101,8003,1,30,110,500,1000000
