id,movie_id,can_end_second
101,30004,6000
102,30006,6000
103,30008,6000
104,30010,11800
105,30012,6000
106,30014,6000
107,30016,6000
108,30018,6000
109,30020,17400
110,30022,8400
111,30024,6000
112,30026,16433
113,30028,6000
114,30030,7800
115,30032,18000
116,30034,9200
117,30036,7400
118,30038,7100
119,30040,8300
120,30042,6000
121,30044,18900
122,30046,8600
123,30048,8633
124,30050,21600
125,30052,9000
126,30054,9500
127,30056,21400
128,30058,9700
129,30060,9700
130,30062,18500
131,30066,9800
132,30068,22200
133,30070,10000
134,30072,9400
135,30074,11500
136,30076,11000
137,30078,8700
138,30080,20000
139,30082,7400
140,30084,7700
141,30086,21000
142,30088,13500
143,30090,10500
144,30092,23400
145,30094,10500
146,30096,10000
147,30098,19000
148,30100,9500
149,30104,21000
150,30106,10000
151,30108,12000
152,30110,11000
153,30112,26500
154,30114,12500
155,30116,9900
156,30118,17800
157,30120,13500
158,30122,11500
159,30124,21000
160,30126,12500
161,30128,14500
162,30132,21000
163,30134,9800
164,30136,8600
165,30138,26100
166,30140,12230
167,30142,11660
168,30146,23500
169,30148,12000
170,30150,14600
171,30152,9000
172,30154,8800
173,30156,23000
174,30158,11600
175,30160,12500
176,30162,23500
177,30166,11500
178,30168,9300
179,30170,21700
180,30174,13000
181,30176,26000
182,30178,11400
183,30180,11400
184,30182,23800
185,30186,10600
186,30188,11500
187,30190,11000
188,30192,12400
189,30194,22800
190,30198,11200
191,30200,22600
192,30204,12400
193,30206,27500
194,30208,12000
195,30210,10600
196,30212,11200
197,30214,10800
198,30216,14500
199,30218,21400
200,30220,5400
201,30222,17000
202,30226,13000
203,30224,14500
204,30228,24000
205,30232,12400
206,30234,13400
207,30236,24000
208,30242,9600
209,30244,12400
210,30246,24500
211,30250,12500
212,30252,9600
213,30256,9400
214,30258,11400
215,30260,27400
216,30268,14000
217,30270,25500
218,30274,13000
219,30276,13000
220,30278,27000
221,30282,12400
222,30284,14000
223,30288,13000
224,30290,14300
225,30292,24500
226,30296,14000
227,30298,13400
228,30300,22600
229,30304,10400
230,30306,11400
231,30308,24600
232,30312,4400
233,30314,12600
234,30318,12400
235,30320,12400
236,30322,24400
237,30326,12500
238,30328,12400
239,30330,22600
240,30336,10400
241,30340,10600
242,30342,22400
243,30346,12400
244,30348,10600
245,30352,11400
246,30354,11000
247,30356,21400
248,30360,11400
249,30362,10600
250,30364,21400
251,30368,10400
252,30370,12400
253,30372,22000
254,30380,10400
255,30376,13000
256,30382,11400
257,30386,10676
258,30388,14000
259,30390,26500
260,30394,11400
261,30396,12400
262,30398,23000
263,30406,10600
264,30408,13600
265,30410,23600
266,30414,2500
267,30416,11500
268,30420,12500
269,30422,10600
270,30424,24400
271,30428,15000
272,30430,12500
273,30432,23600
274,30438,12500
275,30440,11600
276,30442,23600
277,30446,9400
278,30448,13000
