id,announce_type,announce_id,priority,start_date,end_date
30004,1,101,1,1614654000,1615258799
30005,2,501,2,1614654000,1615258799
30006,1,102,1,1615258800,1616036399
30007,2,502,2,1615258800,1616036399
30008,1,103,1,1616036400,1617073199
30009,2,503,2,1616036400,1617073199
30010,1,104,1,1617073200,1618455599
30011,2,504,2,1617073200,1618455599
30012,1,105,1,1618455600,1619405999
30013,2,505,2,1618455600,1619405999
30014,1,106,1,1619406000,1620269999
30015,2,506,2,1619406000,1620269999
30016,1,107,1,1620270000,1621220399
30018,1,108,1,1621220400,1622170799
30019,2,507,2,1621220400,1622170799
30020,1,109,1,1622170800,1623293999
30021,2,508,2,1622170800,1623293999
30022,1,110,1,1623294000,1624244399
30024,1,111,1,1624244400,1624935599
30025,2,509,1,1624244400,1624935599
30026,1,112,1,1624935600,1626058799
30027,2,510,2,1624935600,1626058799
30028,1,113,1,1626058800,1626749999
30029,2,511,2,1626058800,1626749999
30030,1,114,1,1626750000,1627527599
30032,1,115,1,1627527600,1628650799
30033,2,512,2,1627527600,1628650799
30034,1,116,1,1628650800,1629428399
30036,1,117,1,1629428400,1630292399
30037,2,513,1,1629428400,1630292399
30038,1,118,1,1630292400,1631242799
30039,2,514,2,1630292400,1631242799
30040,1,119,2,1631242800,1632106799
30042,1,120,1,1632106800,1632884399
30043,2,515,2,1632106800,1632884399
30044,1,121,1,1632884400,1633921199
30045,2,516,2,1632884400,1633921199
30046,1,122,1,1633921200,1634698799
30048,1,123,1,1634698800,1635389999
30049,2,517,1,1634698800,1635389999
30050,1,124,1,1635390000,1636340399
30051,2,518,1,1635390000,1636340399
30052,1,125,1,1636340400,1637290799
30054,1,126,1,1637290800,1638154799
30055,2,519,1,1637290800,1638154799
30056,1,127,1,1638154800,1639450799
30057,2,520,1,1638154800,1639450799
30058,1,128,1,1639450800,1640141999
30059,2,521,1,1639450800,1640141999
30060,1,129,1,1640142000,1640919599
30062,1,130,1,1640919600,1641869999
