id,cue_name,cue_sheet_name,voice_text_asset,start_date,end_date
1,snd_voi_event_090004_0112,snd_voi_event_090004,1,1624158000,1627527599
2,snd_voi_event_090002_0112,snd_voi_event_090002,1,1624158000,1627527599
3,snd_voi_event_090005_0111,snd_voi_event_090005,1,1627441200,1627527599
4,snd_voi_event_090006_0113,snd_voi_event_090006,2,1632798000,1632884399
5,snd_voi_event_090007_0114,snd_voi_event_090007,3,1635303600,1635389999
6,snd_voi_event_090008_0114,snd_voi_event_090008,4,1638068400,1638154799
9,snd_voi_event_090009_0109,snd_voi_event_090009,5,1640833200,1640919599
10,snd_voi_event_090010_0116,snd_voi_event_090010,6,1643288400,1643338799
11,snd_voi_event_090011_0112,snd_voi_event_090011,11,1645585200,1645671599
12,snd_voi_event_090012_0116,snd_voi_event_090012,12,1648436400,1648522799
13,snd_voi_event_090013_0110,snd_voi_event_090013,13,1651028400,1651114799
14,snd_voi_event_090014_0112,snd_voi_event_090014,14,1653829200,1653879599
15,snd_voi_event_090015_0113,snd_voi_event_090015,15,1656507600,1656557999
16,snd_voi_event_090016_0109,snd_voi_event_090016,16,1658977200,1659063599
17,snd_voi_event_090017_0111,snd_voi_event_090017,17,1661655600,1661741999
18,snd_voi_event_090018_0112,snd_voi_event_090018,18,1664334000,1664420399
19,snd_voi_event_090019_0109,snd_voi_event_090019,19,1666875600,1666925999
20,snd_voi_event_090020_0114,snd_voi_event_090020,20,1669518000,1669604399
21,snd_voi_event_090021_0109,snd_voi_event_090021,21,1672232400,1672282799
22,snd_voi_event_090022_0113,snd_voi_event_090022,22,1674961200,1675047599
23,snd_voi_event_090023_0112,snd_voi_event_090023,23,1677121200,1677207599
24,snd_voi_event_090024_0111,snd_voi_event_090024,24,1679972400,1680058799
25,snd_voi_event_090025_0114,snd_voi_event_090025,25,1682564400,1682650799
26,snd_voi_event_090026_0110,snd_voi_event_090026,26,1685242800,1685329199
27,snd_voi_event_090027_0118,snd_voi_event_090027,27,1687921200,1688007599
28,snd_voi_event_090028_0112,snd_voi_event_090028,28,1690722000,1690772399
29,snd_voi_event_090029_0116,snd_voi_event_090029,29,1695906000,1695956399
30,snd_voi_event_090030_0114,snd_voi_event_090030,30,1698548400,1698634799
31,snd_voi_event_090031_0116,snd_voi_event_090031,31,1701262800,1701313199
32,snd_voi_event_090032_0112,snd_voi_event_090032,32,1703693700,1703732399
33,snd_voi_event_090033_0116,snd_voi_event_090033,33,1706583600,1706669999
34,snd_voi_event_090034_0113,snd_voi_event_090034,34,1711630800,1711681199
35,snd_voi_event_090035_0110,snd_voi_event_090035,35,1714359600,1714445999
36,snd_voi_event_090036_0115,snd_voi_event_090036,36,1716951600,1717037999
37,snd_voi_event_090037_0115,snd_voi_event_090037,37,1722135600,1722221999
38,snd_voi_event_090038_0118,snd_voi_event_090038,38,1724900400,1724986799
39,snd_voi_event_090039_0110,snd_voi_event_090039,39,1727578800,1727665199
40,snd_voi_event_090040_0113,snd_voi_event_090040,40,1732712400,1732762799
41,snd_voi_event_090041_0113,snd_voi_event_090041,41,1735182000,1735268399
42,snd_voi_event_090042_0116,snd_voi_event_090042,42,1738206000,1738292399
43,snd_voi_event_090043_0112,snd_voi_event_090043,43,1743303600,1743389999
44,snd_voi_event_090044_0114,snd_voi_event_090044,44,1745895600,1745981999
45,snd_voi_event_090045_0115,snd_voi_event_090045,45,1748487600,1748573999
46,snd_voi_event_090046_0116,snd_voi_event_090046,46,1753880400,1753930799
47,snd_voi_event_090047_0115,snd_voi_event_090047,47,1756350000,1756436399
48,snd_voi_event_090048_0113,snd_voi_event_090048,48,1759064400,1759114799
49,snd_voi_event_090049_0116,snd_voi_event_090049,49,1764248400,1764298799
50,snd_voi_event_090050_0116,snd_voi_event_090050,50,1766631600,1766717999
51,snd_voi_event_090051_0116,snd_voi_event_090051,51,1769655600,1769741999
52,snd_voi_event_090052_0112,snd_voi_event_090052,52,1774753200,1774839599
53,snd_voi_event_090053_0114,snd_voi_event_090053,53,1777431600,1777517999
54,snd_voi_event_090054_0115,snd_voi_event_090054,54,1779937200,1780023599
