id,type,cuts_pattern,support_card_id_a,support_card_id_b,support_card_id_c
501,1,2,30024,20023,0
502,1,2,30026,20024,0
503,1,2,30027,20025,0
504,3,2,30028,30029,0
505,1,2,30031,20027,0
506,1,2,30032,20028,0
507,1,2,30038,20029,0
508,1,2,30039,30040,0
509,1,2,30042,20031,0
510,1,2,30055,30056,0
511,1,2,30048,20034,0
512,1,2,30045,30046,0
513,1,2,30054,20035,0
514,1,2,30034,30036,0
515,1,2,30063,20037,0
516,1,2,30064,30065,0
517,1,2,30043,20038,0
518,1,2,30068,30069,0
519,1,2,30071,20039,0
520,1,2,30072,30073,0
521,1,2,30075,20032,0
522,1,2,30077,30078,0
523,1,2,30080,20022,0
524,1,2,30082,30083,0
525,1,2,30085,20030,0
526,1,3,30086,20041,20042
527,1,2,30089,20044,0
528,1,2,30090,30091,0
529,1,2,30093,20046,0
530,1,2,30094,30095,0
531,1,2,30097,20047,0
532,1,2,30098,30099,0
533,1,2,30053,20048,0
534,1,2,30102,30103,0
535,1,2,30106,20049,0
536,1,2,30067,20033,0
537,1,2,30107,30108,0
538,3,2,30110,20050,0
539,3,2,30052,30101,0
540,3,2,30111,30112,0
541,1,2,30114,20051,0
542,1,2,30115,30116,0
543,1,2,30118,20052,0
544,1,2,30146,30120,0
545,1,2,30122,20053,0
546,1,2,30123,30124,0
547,1,2,30126,20054,0
548,1,2,30127,30128,0
549,1,2,30130,20055,0
550,1,2,30131,30132,0
551,3,3,30134,20056,20058
552,1,2,30137,20060,0
553,1,2,30138,30139,0
554,1,2,30037,20061,0
555,1,2,30141,30142,0
556,1,2,30147,20062,0
557,1,2,30148,30149,0
558,1,2,30152,20063,0
559,1,2,30151,20064,0
560,1,2,30153,30154,0
561,1,2,30156,20065,0
562,1,2,30157,30158,0
563,3,2,30160,30161,0
564,3,2,30163,20066,0
565,1,2,30164,20067,0
566,1,2,30165,30166,0
567,1,2,30168,20068,0
568,1,2,30169,30170,0
569,1,2,30172,20069,0
570,1,2,30173,20070,0
571,1,2,30174,30175,0
572,1,2,30177,20071,0
573,1,2,30178,30179,0
574,1,2,30182,20072,0
575,1,2,30183,30184,0
576,3,3,30187,30188,20073
577,1,2,30193,20075,0
578,1,2,30195,30196,0
579,1,2,30198,20076,0
580,1,2,30199,30201,0
581,1,2,30202,20077,0
582,1,2,30206,30204,0
583,3,2,30207,30208,0
584,1,2,30209,20078,0
585,1,2,30210,30211,0
586,1,2,30214,20036,0
587,3,2,30215,20079,0
588,1,2,30218,30219,0
589,1,2,30222,20080,0
590,1,2,30223,30224,0
591,3,2,30226,30227,0
592,1,2,30228,20081,0
593,1,2,30229,30230,0
594,1,2,30232,20082,0
595,1,2,30233,30234,0
596,1,2,30236,20083,0
597,1,2,30237,30238,0
598,3,3,30241,30242,20084
599,1,2,30244,20086,0
600,1,2,30245,30246,0
601,1,2,30248,20087,0
602,1,2,30249,30250,0
603,1,2,30252,20088,0
604,1,2,30253,30254,0
605,3,2,30257,30256,0
606,1,2,30258,20089,0
607,1,2,30261,30262,0
608,3,2,30264,30265,0
609,1,2,30267,30268,0
610,1,2,30270,20090,0
611,1,2,30271,30272,0
612,1,2,30274,20091,0
613,3,2,30276,30275,0
614,1,2,30277,20092,0
615,1,2,30278,30279,0
616,1,2,30281,20093,0
617,1,2,30282,30283,0
618,1,2,30285,20094,0
619,1,2,30286,30287,0
620,3,3,30289,30290,20095
621,1,2,30292,20097,0
622,1,2,30293,30294,0
623,1,2,30296,20098,0
624,1,2,30297,30298,0
625,1,2,30300,20099,0
626,1,2,30301,30302,0
627,3,2,30304,30305,0
