id,bg_id,bg_sub,offset_id,pos_x,pos_y,width,height
1,33,110,1,-8280000,0,10000,10000
2,33,110,2,14130000,0,10000,10000
3,33,150,1,-8280000,0,10000,10000
4,33,150,2,14130000,0,10000,10000
5,90,13000,1,-14990000,0,10000,10000
6,119,150,1,-5035000,0,10009,10000
7,163,111,1,7705000,0,10009,10000
8,164,1,1,-13330000,0,10000,10000
9,166,110,1,-7710000,0,10000,10000
10,166,110,2,5450000,0,10000,10000
11,166,110,3,15060000,0,10000,10000
12,167,1,1,15310000,0,10000,10000
13,167,1,2,-14410000,0,10000,10000
14,169,131,1,15830000,0,10000,10000
15,168,1,1,7795000,0,10009,10000
16,69,4311,1,-10390000,0,10000,10000
17,169,132,1,14630000,0,10000,10000
18,69,4321,1,-10390000,0,10000,10000
19,172,1,1,-12135000,0,10009,10000
20,171,0,1,10265000,0,10009,10000
21,20,10111,1,-15650000,0,10000,10000
22,173,111,1,4070000,0,10000,10000
23,173,111,2,15120000,0,10000,10000
24,175,110,1,11575000,0,10009,10000
25,176,110,1,15630000,0,10000,10000
26,177,111,1,-14660000,0,10000,10000
27,177,111,2,15850000,0,10000,10000
28,70,10111,1,15010000,0,10000,10000
29,70,10111,2,-14400000,0,10000,10000
30,181,110,1,-10610000,0,10000,10000
31,183,0,1,-12695000,0,10009,10000
32,183,0,2,1065000,10000,10009,10000
33,185,112,1,-15850000,-20000,10000,10000
34,184,0,1,15790000,0,10000,10000
35,184,0,2,-7070000,0,10000,10000
36,186,0,1,-14820000,0,10000,10000
37,186,0,2,11970000,0,10000,10000
38,186,1,1,14840000,0,10000,10000
39,186,1,2,-11970000,0,10000,10000
40,186,2,1,-14820000,0,10000,10000
41,186,2,2,11970000,0,10000,10000
42,186,3,1,14840000,0,10000,10000
43,186,3,2,-11970000,0,10000,10000
44,190,111,1,15990000,0,10000,10000
45,188,110,1,-7170000,0,10000,10000
46,191,111,1,-6150000,0,10000,10000
47,191,111,2,-15810000,0,10000,10000
48,191,111,3,15810000,0,10000,10000
49,189,111,1,-15340000,0,10000,10000
50,189,111,2,10400000,0,10000,10000
51,190,131,1,15990000,0,10000,10000
53,10,5110,1,-13800000,0,10000,10000
54,189,130,1,-15340000,0,10000,10000
55,189,130,2,10400000,0,10000,10000
56,10,4110,1,-13800000,0,10000,10000
57,192,111,1,7720000,0,10000,10000
58,192,120,1,7720000,0,10000,10000
59,193,110,1,-14590000,0,10000,10000
60,200,0,1,170000,0,10000,10000
61,200,0,2,-5370000,0,10000,10000
62,195,111,1,-13920000,0,10000,10000
63,197,110,1,14630000,0,10000,10000
64,198,111,1,-10070000,0,10000,10000
65,199,0,1,-15290000,0,10000,10000
66,203,110,1,15750000,0,10000,10000
67,6,8113,1,-15670000,0,10000,10000
68,6,8113,2,4390000,0,10000,10000
69,10,8123,1,-15805000,0,10009,10000
70,10,8123,2,15795000,0,10009,10000
71,206,110,1,15810000,0,10000,10000
72,206,110,2,-13970000,0,10000,10000
73,207,0,1,15760000,0,10000,10000
74,207,0,2,-15820000,0,10000,10000
75,209,110,1,-12170000,0,10000,10000
76,206,130,1,15810000,0,10000,10000
77,206,130,2,-13970000,0,10000,10000
78,208,0,1,6020000,0,10000,10000
79,177,131,1,-14730000,0,10000,10000
80,177,131,2,15750000,0,10000,10000
81,210,111,1,12990000,0,10000,10000
82,210,111,2,-15350000,0,10000,10000
83,211,6112,1,-15810000,0,10000,10000
84,211,6112,2,15080000,0,10000,10000
85,210,410,1,12990000,0,10000,10000
86,210,410,2,-15350000,0,10000,10000
87,211,6132,1,-15810000,0,10000,10000
88,211,6132,2,15080000,0,10000,10000
89,213,130,1,5620000,0,10000,10000
90,215,112,1,-13300000,0,10000,10000
91,215,112,2,4380000,0,10000,10000
94,216,133,1,15080000,0,10000,10000
95,216,133,2,-12260000,0,10000,10000
96,217,132,1,12310000,0,10000,10000
97,217,132,2,-15750000,0,10000,10000
98,214,110,1,-13300000,0,10000,10000
99,214,110,2,4380000,0,10000,10000
100,215,131,1,-13300000,0,10000,10000
101,215,131,2,4380000,0,10000,10000
102,119,410,1,-5040000,0,10000,10000
103,219,110,1,-15360000,0,10000,10000
104,219,110,2,12680000,0,10000,10000
105,220,111,1,11930000,0,10000,10000
106,220,111,2,-15740000,0,10000,10000
107,218,110,1,-9310000,0,10000,10000
108,218,110,2,14260000,0,10000,10000
109,218,110,3,-14610000,0,10000,10000
110,218,111,1,-9310000,0,10000,10000
111,218,111,2,14260000,0,10000,10000
112,218,111,3,-14610000,0,10000,10000
113,218,120,1,-9310000,0,10000,10000
114,218,120,2,14260000,0,10000,10000
115,218,120,3,-14610000,0,10000,10000
116,218,121,1,-9310000,0,10000,10000
117,218,121,2,14260000,0,10000,10000
118,218,121,3,-14610000,0,10000,10000
119,223,110,1,-8820000,0,10000,10000
120,224,0,1,8940000,0,10000,10000
121,222,110,1,-11290000,0,10000,10000
122,222,110,2,11700000,0,10000,10000
123,122,120,1,11370000,0,10000,10000
124,122,120,2,-12600000,0,10000,10000
125,221,1,1,-10190000,0,10000,10000
126,221,1,2,14260000,0,10000,10000
127,134,110,1,15170000,0,10000,10000
128,166,130,1,-7710000,0,10000,10000
129,166,130,2,5450000,0,10000,10000
130,166,130,3,15060000,0,10000,10000
131,229,110,1,11720000,0,10000,10000
132,229,110,2,-12290000,0,10000,10000
133,229,111,1,11720000,0,10000,10000
134,229,111,2,-12290000,0,10000,10000
135,227,0,1,-12330000,0,10000,10000
136,227,0,2,14190000,0,10000,10000
137,229,121,1,11720000,0,10000,10000
138,229,121,2,-12290000,0,10000,10000
139,228,111,1,13620000,0,10000,10000
140,228,131,1,13620000,0,10000,10000
141,230,110,1,-12090000,0,10000,10000
142,234,0,1,-13980000,0,10000,10000
143,234,0,2,15770000,0,10000,10000
144,232,110,1,7305000,0,10000,10000
145,232,110,2,13915000,0,10000,10000
146,232,112,1,7305000,0,10000,10000
147,232,112,2,13915000,0,10000,10000
148,232,410,1,7305000,0,10000,10000
149,232,410,2,13915000,0,10000,10000
150,232,412,1,7305000,0,10000,10000
151,232,412,2,13915000,0,10000,10000
152,230,10112,1,-12090000,0,10000,10000
153,232,120,1,7305000,0,10000,10000
154,232,120,2,13915000,0,10000,10000
157,236,110,1,-11030000,0,10000,10000
158,237,111,1,-13600000,0,10000,10000
159,237,111,2,-890000,0,10000,10000
160,239,111,1,-15040000,0,10000,10000
161,239,112,1,-15040000,0,10000,10000
162,239,411,1,-15040000,0,10000,10000
163,239,412,1,-15040000,0,10000,10000
164,236,120,1,-11030000,0,10000,10000
165,236,130,1,-11030000,0,10000,10000
166,236,140,1,-11030000,0,10000,10000
167,240,110,1,-10070000,0,10000,10000
168,243,2110,1,-14500000,0,10000,10000
169,243,2110,2,14260000,0,10000,10000
170,244,112,1,14055000,0,10000,10000
171,244,112,2,-12110000,0,10000,10000
172,240,120,1,-10070000,0,10000,10000
173,242,110,1,9910000,0,10000,10000
174,242,110,2,-15820000,0,10000,10000
175,243,3110,1,-14500000,0,10000,10000
176,243,3110,2,14260000,0,10000,10000
