id,chara_id,campaign_id,dress_id,color_type,chara_no_change,trainer_gender_type,cut_id,cut_sub_id,motion_type,motion_rate
1,1001,226,-1,0,0,0,1,1,2,10000
2,1002,226,-1,0,0,0,1,1,6,10000
3,1003,226,-1,0,0,0,1,1,2,10000
4,1004,226,-1,0,0,0,1,1,1,10000
5,1005,226,-1,0,0,0,1,1,5,10000
6,1006,226,-1,0,0,0,1,1,5,10000
7,1007,226,-1,0,0,0,1,1,4,10000
8,1008,226,-1,0,0,0,1,1,5,10000
9,1009,226,-1,0,0,0,1,1,5,10000
10,1010,226,-1,0,0,0,1,1,4,10000
11,1011,226,-1,0,0,0,1,1,6,10000
12,1012,226,-1,0,0,0,1,1,2,10000
13,1013,226,-1,0,0,0,1,1,6,10000
14,1014,226,-1,0,0,0,1,1,4,10000
15,1015,226,-1,0,0,0,1,1,5,10000
16,1016,226,-1,0,0,0,1,1,5,10000
17,1017,226,-1,0,0,0,1,1,5,10000
18,1018,226,-1,0,0,0,1,1,5,10000
19,1019,226,-1,0,0,0,1,1,4,10000
20,1020,226,-1,0,0,0,1,1,5,10000
21,1021,226,-1,0,0,0,1,1,2,10000
22,1022,226,-1,0,0,0,1,1,1,10000
23,1023,226,-1,0,0,0,1,1,5,10000
24,1024,226,-1,0,0,0,1,1,4,10000
25,1025,226,-1,0,0,0,1,1,6,10000
26,1026,226,-1,0,0,0,1,1,5,10000
27,1027,226,-1,0,0,0,1,1,2,10000
28,1028,226,-1,0,0,0,1,1,4,10000
29,1029,226,-1,0,0,0,1,1,2,10000
30,1030,226,-1,0,0,0,1,1,6,10000
31,1031,226,-1,0,0,0,1,1,2,10000
32,1032,226,-1,0,0,0,1,1,5,10000
33,1033,226,-1,0,0,0,1,1,5,10000
34,1034,226,-1,0,0,0,1,1,2,10000
35,1035,226,-1,0,0,0,1,1,4,10000
36,1036,226,-1,0,0,0,1,1,5,10000
37,1037,226,-1,0,0,0,1,1,6,10000
38,1038,226,-1,0,0,0,1,1,1,10000
39,1039,226,-1,0,0,0,1,1,3,10000
40,1040,226,-1,0,0,0,1,1,5,10000
41,1041,226,-1,0,0,0,1,1,4,10000
42,1042,226,-1,0,0,0,1,1,5,10000
43,1044,226,-1,0,0,0,1,1,1,10000
44,1045,226,-1,0,0,0,1,1,3,10000
45,1046,226,-1,0,0,0,1,1,1,10000
46,1048,226,-1,0,0,0,1,1,3,10000
47,1050,226,-1,0,0,0,1,1,5,10000
48,1051,226,-1,0,0,0,1,1,3,10000
49,1052,226,-1,0,0,0,1,1,4,10000
50,1053,226,-1,0,0,0,1,1,2,10000
51,1056,226,-1,0,0,0,1,1,1,10000
52,1058,226,-1,0,0,0,1,1,6,10000
53,1059,226,-1,0,0,0,1,1,6,10000
54,1060,226,-1,0,0,0,1,1,5,10000
55,1061,226,-1,0,0,0,1,1,5,10000
56,1062,226,-1,0,0,0,1,1,1,10000
57,1064,226,-1,0,0,0,1,1,2,10000
58,1067,226,-1,0,0,0,1,1,3,10000
59,1068,226,-1,0,0,0,1,1,2,10000
60,1069,226,-1,0,0,0,1,1,1,10000
61,1071,226,-1,0,0,0,1,1,6,10000
62,1072,226,-1,0,0,0,1,1,5,10000
63,1074,226,-1,0,0,0,1,1,3,10000
64,1078,226,-1,0,0,0,1,1,5,10000
65,1087,226,-1,0,0,0,1,1,1,10000
66,1098,226,-1,0,0,0,1,1,4,10000
67,1001,226,-1,0,0,0,2,1,1,10000
68,1002,226,-1,0,0,0,2,1,4,10000
69,1003,226,-1,0,0,0,2,1,5,10000
70,1004,226,-1,0,0,0,2,1,6,10000
71,1005,226,-1,0,0,0,2,1,7,10000
72,1006,226,-1,0,0,0,2,1,4,10000
73,1007,226,-1,0,0,0,2,1,3,10000
74,1008,226,-1,0,0,0,2,1,5,10000
75,1009,226,-1,0,0,0,2,1,1,10000
76,1010,226,-1,0,0,0,2,1,3,10000
77,1011,226,-1,0,0,0,2,1,2,10000
78,1012,226,-1,0,0,0,2,1,5,10000
79,1013,226,-1,0,0,0,2,1,6,10000
80,1014,226,-1,0,0,0,2,1,3,10000
81,1015,226,-1,0,0,0,2,1,7,10000
82,1016,226,-1,0,0,0,2,1,4,10000
83,1017,226,-1,0,0,0,2,1,7,10000
84,1018,226,-1,0,0,0,2,1,7,10000
85,1019,226,-1,0,0,0,2,1,1,10000
86,1020,226,-1,0,0,0,2,1,5,10000
87,1021,226,-1,0,0,0,2,1,5,10000
88,1022,226,-1,0,0,0,2,1,6,10000
89,1023,226,-1,0,0,0,2,1,6,10000
90,1024,226,-1,0,0,0,2,1,1,10000
91,1025,226,-1,0,0,0,2,1,4,10000
92,1026,226,-1,0,0,0,2,1,4,10000
93,1027,226,-1,0,0,0,2,1,1,10000
94,1028,226,-1,0,0,0,2,1,1,10000
95,1029,226,-1,0,0,0,2,1,2,10000
96,1030,226,-1,0,0,0,2,1,2,10000
97,1031,226,-1,0,0,0,2,1,5,10000
98,1032,226,-1,0,0,0,2,1,7,10000
99,1033,226,-1,0,0,0,2,1,4,10000
100,1034,226,-1,0,0,0,2,1,5,10000
101,1035,226,-1,0,0,0,2,1,3,10000
102,1036,226,-1,0,0,0,2,1,4,10000
103,1037,226,-1,0,0,0,2,1,6,10000
104,1038,226,-1,0,0,0,2,1,1,10000
105,1039,226,-1,0,0,0,2,1,3,10000
106,1040,226,-1,0,0,0,2,1,4,10000
107,1041,226,-1,0,0,0,2,1,3,10000
108,1042,226,-1,0,0,0,2,1,7,10000
