campaign_id,target_type,target_id,effect_type_1,effect_value_1,open_flag_id,user_show,disp_order,image_icon_id,transition_type,image_change,logo_type,start_time,end_time
1,1,0,1,200,0,1,0,1,10001,0,0,1614110400,1632884399
2,2,0,2,3,0,1,0,2,20003,0,0,1615492800,1616529599
3,4,0,0,0,0,0,0,0,0,0,0,1616382000,1617159599
4,6,0,0,0,0,0,500,0,0,0,1,1614110400,2556043199
5,6,0,0,0,0,0,501,0,0,0,1,1615431600,2556043199
6,5,0,0,0,0,0,0,0,0,0,0,1614654000,1615258799
7,5,0,0,0,0,0,0,0,0,0,0,1615258800,1616036399
8,5,0,0,0,0,0,0,0,0,0,0,1616036400,1617073199
9,5,0,0,0,0,0,0,0,0,0,0,1617073200,1618455599
10,5,0,0,0,0,0,0,0,0,0,0,1617073200,1618455599
11,4,0,0,0,0,0,0,0,0,0,0,1620010800,1620590399
12,5,0,0,0,0,0,0,0,0,0,0,1618455600,1619405999
13,4,0,0,0,0,0,0,0,0,0,0,1617678000,1618171199
15,2,0,2,3,0,1,0,2,20003,0,0,1618776000,1619380799
16,4,0,0,0,0,0,0,0,0,0,0,1618171200,1618775999
17,4,0,0,0,0,0,0,0,0,0,0,1619751600,1621022399
18,4,0,0,0,0,0,0,0,0,0,0,1619380800,1619985599
19,5,0,0,0,0,0,0,0,0,0,0,1619406000,1620269999
20,5,0,0,0,0,0,0,0,0,0,0,1620270000,1621220399
21,5,0,0,0,0,0,0,0,0,0,0,1621220400,1622170799
23,1,0,5,5,0,1,0,7,10001,0,0,1632193200,1632772799
24,2,0,2,3,0,1,0,2,20003,0,0,1623355200,1624219199
26,2,0,2,3,0,1,0,2,20003,0,0,1629835200,1630612799
27,2,0,2,3,0,1,0,2,20003,0,0,1632254400,1632772799
28,6,0,0,0,0,0,100000,0,0,0,1,1693796400,2539367999
30,4,0,0,0,0,0,0,0,0,0,0,1620590400,1621195199
35,4,0,0,0,0,0,0,0,0,0,0,1621195200,1621799999
40,4,0,0,0,0,0,0,0,0,0,0,1621800000,1622404799
45,4,0,0,0,0,0,503,0,0,0,0,1622404800,1623009599
47,4,0,0,0,0,0,504,0,0,0,1,1624219200,1624823999
49,6,0,0,0,0,0,502,0,0,0,1,1626058800,2539367999
50,4,0,0,0,0,0,0,0,0,0,1,1615431600,1615492799
61,1,1,3,1000,0,1,0,4,10001,1,0,1619751600,1620615599
62,1,0,3,1001,0,1,0,6,10001,1,0,1636945200,1637895599
63,1,0,3,1002,0,0,0,6,10001,0,0,1651114800,1652065199
64,1,0,3,1003,0,0,0,6,10001,0,0,1655694000,1656557999
70,5,0,0,0,0,0,0,0,0,0,0,1622170800,1623293999
71,5,0,0,0,0,0,0,0,0,0,0,1622170800,1623293999
72,5,0,0,0,0,0,0,0,0,0,0,1623294000,1624244399
73,5,0,0,0,0,0,0,0,0,0,0,1624244400,1624935599
74,5,0,0,0,0,0,0,0,0,0,0,1624935600,1626058799
75,5,0,0,0,0,0,0,0,0,0,0,1624935600,1626058799
76,5,0,0,0,0,0,0,0,0,0,0,1626058800,1626749999
77,5,0,0,0,0,0,0,0,0,0,0,1626750000,1627527599
78,5,0,0,0,0,0,0,0,0,0,0,1627527600,1628650799
79,5,0,0,0,0,0,0,0,0,0,0,1627527600,1628650799
80,5,0,0,0,0,0,0,0,0,0,0,1628650800,1629428399
81,5,0,0,0,0,0,0,0,0,0,0,1629428400,1630292399
82,5,0,0,0,0,0,0,0,0,0,0,1630292400,1631242799
83,5,0,0,0,0,0,0,0,0,0,0,1631242800,1632106799
84,5,0,0,0,0,0,0,0,0,0,0,1632106800,1632884399
85,5,0,0,0,0,0,0,0,0,0,0,1632884400,1633921199
86,5,0,0,0,0,0,0,0,0,0,0,1632884400,1633921199
87,5,0,0,0,0,0,0,0,0,0,0,1633921200,1634698799
88,5,0,0,0,0,0,0,0,0,0,0,1634698800,1635389999
89,5,0,0,0,0,0,0,0,0,0,0,1635390000,1636340399
90,4,0,0,0,0,0,600,0,0,0,1,1626750000,1627588799
91,2,0,2,3,0,1,0,2,20003,0,0,1626811200,1627588799
92,5,0,0,0,0,0,0,0,0,0,0,1635390000,1636340399
93,5,0,0,0,0,0,0,0,0,0,0,1636340400,1637290799
94,5,0,0,0,0,0,0,0,0,0,0,1637290800,1638154799
95,5,0,0,0,0,0,0,0,0,0,0,1638154800,1639450799
96,5,0,0,0,0,0,0,0,0,0,0,1638154800,1639450799
97,1,0,9,1,0,1,0,10,10001,0,0,1639166400,1639339199
98,5,0,0,0,0,0,0,0,0,0,0,1639450800,1640141999
100,4,0,0,0,0,0,700,0,0,1,1,1629082800,1632945599
101,4,0,0,0,0,0,701,0,0,0,1,1629774000,1632945599
102,4,0,0,0,0,0,702,0,0,0,1,1630292400,1632945599
103,1,0,9,2,0,1,0,10,10001,0,0,1639771200,1639943999
104,5,0,0,0,0,0,0,0,0,0,0,1640142000,1640919599
105,4,0,0,0,0,0,705,0,0,0,1,1632711600,1633291199
106,4,0,0,0,0,0,706,0,0,0,1,1633921200,1634500799
107,4,0,0,0,0,0,707,0,0,0,1,1634500800,1635105599
108,4,0,0,0,0,0,708,0,0,0,1,1635105600,1635710399
109,4,0,0,0,0,0,709,0,0,0,1,1636340400,1636919999
110,4,0,0,0,0,0,710,0,0,0,1,1636920000,1637524799
111,4,0,0,0,0,0,711,0,0,0,1,1637524800,1638129599
112,4,0,0,0,0,0,712,0,0,0,1,1638129600,1638734399
113,4,0,0,0,0,0,713,0,0,0,1,1638734400,1639339199
114,4,0,0,0,0,0,714,0,0,0,1,1639339200,1639943999
115,4,0,0,0,0,0,715,0,0,0,1,1639944000,1640548799
116,4,0,0,0,0,0,716,0,0,0,1,1640548800,1640721599
117,2,0,2,3,0,1,0,2,20003,0,0,1634587200,1635451199
118,2,0,2,3,0,1,0,2,20003,0,0,1637352000,1638215999
119,2,0,2,3,0,1,0,2,20003,0,0,1639771200,1640635199
120,6,0,0,0,0,0,503,0,0,0,1,1634698800,2539367999
121,1,0,9,3,0,1,0,10,10001,0,0,1640376000,1640548799
122,1,0,9,4,0,1,0,10,10001,0,0,1640548800,1640721599
123,1,0,7,1,0,1,0,9,10001,0,0,1640574000,1641868199
124,1,0,4,15,0,1,0,5,10001,0,0,1640574000,1641351599
125,7,0,8,0,0,1,0,8,20001,0,0,1641931200,1643313599
126,2,0,2,3,0,1,0,2,20003,0,0,1641931200,1643313599
128,5,0,0,0,0,0,0,0,0,0,0,1640919600,1641869999
129,5,0,0,0,0,0,0,0,0,0,0,1642647600,1643338799
130,1,0,1,200,0,1,0,1,10001,0,0,1644807600,1648522799
131,2,0,2,3,0,1,0,2,20003,0,0,1644868800,1648583999
132,1,0,4,15,0,1,0,5,10001,0,0,1644807600,1648522799
133,1,0,9,5,0,1,0,10,10001,0,0,1645214400,1645387199
134,4,0,0,0,0,0,705,0,0,0,1,1644807600,1645387199
135,5,0,0,0,0,0,0,0,0,0,0,1643338800,1644289199
136,5,0,0,0,0,0,0,0,0,0,0,1643338800,1644289199
137,4,0,0,0,0,0,717,0,0,1,1,1644807600,1648583999
138,4,0,0,0,0,0,718,0,0,0,1,1645671600,1648583999
139,4,0,0,0,0,0,719,0,0,0,1,1646622000,1648583999
140,5,0,0,0,0,0,0,0,0,0,0,1644289200,1644980399
141,6,0,0,0,0,0,720,0,0,0,1,1647572400,2556043199
142,5,0,0,0,0,0,0,0,0,0,0,1644980400,1645671599
143,5,0,0,0,0,0,0,0,0,0,0,1645671600,1646621999
144,5,0,0,0,0,0,0,0,0,0,0,1645671600,1646621999
145,5,0,0,0,0,0,0,0,0,0,0,1646622000,1647572399
146,4,0,0,0,0,0,721,0,0,0,1,1647806400,1648411199
147,4,0,0,0,0,0,722,0,0,0,1,1648411200,1649015999
148,4,0,0,0,0,0,723,0,0,0,1,1649016000,1649620799
149,4,0,0,0,0,0,724,0,0,0,1,1649620800,1650225599
150,1,0,9,6,0,1,0,10,10001,0,0,1648238400,1648411199
151,1,0,9,7,0,1,0,10,10001,0,0,1648843200,1649015999
152,1,0,9,8,0,1,0,10,10001,0,0,1649448000,1649620799
153,1,0,9,9,0,1,0,10,10001,0,0,1650052800,1650225599
154,5,0,0,0,0,0,0,0,0,0,0,1647572400,1648522799
155,4,0,0,0,0,0,725,0,0,0,1,1650855600,1651435199
156,4,0,0,0,0,0,726,0,0,0,1,1651435200,1652039999
157,4,0,0,0,0,0,727,0,0,0,1,1652040000,1652644799
158,4,0,0,0,0,0,728,0,0,0,1,1652644800,1653249599
159,4,0,0,0,0,0,729,0,0,0,1,1653249600,1653854399
160,4,0,0,0,0,0,730,0,0,0,1,1653854400,1654459199
161,4,0,0,0,0,0,731,0,0,0,1,1655668800,1656273599
