id,race_additional_id,race_program_id,race_additional_reward_id,reward_limit
1,1,623,1,1
2,2,624,2,1
3,3,81,3,1
4,4,625,4,1
5,5,1,5,1
6,6,2,6,1
7,7,3,7,1
8,8,162,8,1
9,9,163,9,1
10,10,4,10,1
11,11,164,11,1
12,12,5,12,1
13,13,165,13,1
14,14,166,14,1
15,15,73,15,1
16,16,74,16,1
17,17,1022,17,1
18,18,1023,18,1
19,19,75,19,1
20,20,1109,20,1
21,21,167,21,1
22,22,168,22,1
23,23,76,23,1
24,24,1026,24,1
25,25,1025,25,1
26,26,1024,26,1
27,27,77,27,1
28,28,78,28,1
29,29,79,29,1
39,30,80,30,1
40,40,623,40,1
41,41,1107,41,1
42,42,624,42,1
43,43,81,43,1
44,44,625,44,1
45,45,1027,45,1
46,46,18,46,1
47,47,178,47,1
48,48,6,48,1
49,49,180,49,1
50,50,8,50,1
51,51,1106,51,1
52,52,1,52,1
53,53,2,53,1
54,54,3,54,1
55,55,162,55,1
56,56,163,56,1
57,57,4,57,1
58,58,1108,58,1
59,59,164,59,1
60,60,5,60,1
61,61,165,61,1
62,62,166,62,1
63,63,73,63,1
64,64,74,64,1
65,65,1022,65,1
66,66,1023,66,1
67,67,167,67,1
68,68,168,68,1
69,69,76,69,1
70,70,1026,70,1
71,71,1025,71,1
72,72,1024,72,1
73,73,77,73,1
74,74,78,74,1
75,75,79,75,1
76,76,80,76,1
77,77,623,77,1
78,78,1107,78,1
79,79,624,79,1
80,80,81,80,1
81,81,625,81,1
82,82,1027,82,1
83,83,19,83,1
84,84,162,84,1
85,85,164,85,1
86,86,5,86,1
87,87,73,87,1
88,88,74,88,1
89,89,1022,89,1
90,90,75,90,1
91,91,1023,91,1
92,92,167,92,1
93,93,168,93,1
94,94,76,94,1
95,95,77,95,1
96,96,78,96,1
97,97,79,97,1
98,98,80,98,1
99,99,623,99,1
100,100,624,100,1
101,101,81,101,1
102,102,625,102,1
103,103,1027,103,1
104,104,178,104,1
105,105,6,105,1
106,106,8,106,1
107,107,1,107,1
108,108,2,108,1
109,109,3,109,1
110,110,1106,110,1
111,111,162,111,1
112,112,163,112,1
113,113,4,113,1
114,114,164,114,1
115,115,165,115,1
116,116,166,116,1
117,117,73,117,1
118,118,74,118,1
119,119,1109,119,1
120,120,1026,120,1
121,121,180,121,1
