id,race_additional_reward_id,item_category,item_id,reward_type,reward_value,reward_rate
1,1,102,104001,1,5,10000
2,1,102,104001,2,1,5000
3,1,102,104001,2,2,5000
4,2,102,100401,1,5,10000
5,2,102,100401,2,1,5000
6,2,102,100401,2,2,5000
7,3,102,100302,1,5,10000
8,3,102,100302,2,1,5000
9,3,102,100302,2,2,5000
10,4,102,105001,1,5,10000
11,4,102,105001,2,1,5000
12,4,102,105001,2,2,5000
13,5,102,101901,1,5,10000
14,5,102,101901,2,1,5000
15,5,102,101901,2,2,5000
16,6,102,103801,1,5,10000
17,6,102,103801,2,1,5000
18,6,102,103801,2,2,5000
19,7,102,101302,1,5,10000
20,7,102,101302,2,1,5000
21,7,102,101302,2,2,5000
22,8,102,100901,1,5,10000
23,8,102,100901,2,1,5000
24,8,102,100901,2,2,5000
25,9,102,102001,1,5,10000
26,9,102,102001,2,1,5000
27,9,102,102001,2,2,5000
28,10,102,102501,1,5,10000
29,10,102,102501,2,1,5000
30,10,102,102501,2,2,5000
31,11,102,101401,1,5,10000
32,11,102,101401,2,1,5000
33,11,102,101401,2,2,5000
34,12,102,100801,1,5,10000
35,12,102,100801,2,1,5000
36,12,102,100801,2,2,5000
37,13,102,103901,1,5,10000
38,13,102,103901,2,1,5000
39,13,102,103901,2,2,5000
40,14,102,101601,1,5,10000
41,14,102,101601,2,1,5000
42,14,102,101601,2,2,5000
43,15,102,101001,1,5,10000
44,15,102,101001,2,1,5000
45,15,102,101001,2,2,5000
46,16,102,102301,1,5,10000
47,16,102,102301,2,1,5000
48,16,102,102301,2,2,5000
49,17,102,104601,1,5,10000
50,17,102,104601,2,1,5000
51,17,102,104601,2,2,5000
52,18,102,100501,1,5,10000
53,18,102,100501,2,1,5000
54,18,102,100501,2,2,5000
55,19,102,102801,1,5,10000
56,19,102,102801,2,1,5000
57,19,102,102801,2,2,5000
58,20,102,109801,1,5,10000
59,20,102,109801,2,1,5000
60,20,102,109801,2,2,5000
61,21,102,105901,1,5,10000
62,21,102,105901,2,1,5000
63,21,102,105901,2,2,5000
64,22,102,106701,1,5,10000
65,22,102,106701,2,1,5000
66,22,102,106701,2,2,5000
67,23,102,102101,1,5,10000
