id,reward_set_id,limit_num,item_category,item_id,item_num
1,1,1,90,43,50
2,1,1,164,150,1
3,1,1,20,32,5
4,1,1,21,34,5
5,1,1,91,59,40000
6,2,1,90,43,50
7,2,1,11,162,1
8,2,1,11,161,1
9,2,1,11,160,1
10,2,1,30,110,20000
11,3,1,90,43,50
12,3,1,93,44,3
13,3,1,97,115,3
14,3,1,34,95,5
15,3,1,103,98,1000
16,4,1,90,43,50
17,4,1,93,44,2
18,4,1,97,115,3
19,4,1,91,59,40000
20,4,1,30,110,20000
21,4,1,103,98,1000
22,5,1,90,43,50
23,5,1,93,44,2
24,5,1,164,150,1
25,5,1,20,32,5
26,5,1,21,34,5
27,5,1,34,95,5
28,6,1,90,43,50
29,6,1,93,44,2
30,6,1,11,163,1
31,6,1,11,162,1
32,6,1,11,161,1
33,6,1,11,160,1
34,7,1,90,43,50
35,7,1,11,163,1
36,7,1,11,162,1
37,7,1,11,161,1
38,7,1,11,160,1
39,8,1,90,43,50
40,8,1,97,115,3
41,8,1,91,59,40000
42,8,1,30,110,20000
43,8,1,103,98,1000
44,9,1,90,43,50
45,9,1,93,44,5
46,9,1,164,150,1
47,9,1,20,32,5
48,9,1,21,34,5
49,10,1,90,43,50
50,10,1,20,223,1
51,10,1,11,163,1
52,10,1,11,162,1
53,10,1,11,161,1
54,10,1,11,160,1
55,11,1,90,43,50
56,11,1,20,223,1
57,11,1,97,115,3
58,11,1,91,59,40000
59,11,1,30,110,20000
60,11,1,103,98,1000
61,12,1,90,43,50
62,12,1,21,233,1
63,12,1,93,44,5
64,12,1,164,150,1
65,12,1,20,32,5
66,12,1,21,34,5
