id,chara_id,default_rarity,limited_chara,available_skill_set_id,talent_speed,talent_stamina,talent_pow,talent_guts,talent_wiz,talent_group_id,bg_id,get_piece_id,running_style
100101,1001,3,0,100101,0,20,0,0,10,100101,8,100101,3
100102,1001,3,0,100102,0,10,10,10,0,100102,317,100102,3
100103,1001,3,1,100103,10,10,0,0,10,100103,428,100103,3
100201,1002,3,0,100201,20,0,0,10,0,100201,30,100201,1
100202,1002,3,0,100202,15,15,0,0,0,100202,236,100202,1
100301,1003,3,0,100301,20,10,0,0,0,100301,21,100301,2
100302,1003,3,0,100302,10,10,0,10,0,100302,132,100302,2
100303,1003,3,0,100303,10,10,0,0,10,100303,588,100303,2
100401,1004,3,0,100401,10,0,0,0,20,100401,12,100401,1
100402,1004,3,0,100402,15,0,0,0,15,100402,322,100402,1
100403,1004,3,0,100403,15,0,15,0,0,100403,749,100403,1
100501,1005,3,0,100501,0,0,20,0,10,100501,17,100501,2
100502,1005,3,0,100502,8,0,14,0,8,100502,404,100502,2
100503,1005,3,0,100503,0,10,0,13,7,100503,926,100503,2
100601,1006,3,0,100601,20,0,10,0,0,100601,21,100601,3
100602,1006,3,0,100602,15,15,0,0,0,100602,366,100602,3
100603,1006,3,0,100603,8,0,8,14,0,100603,859,100603,2
100701,1007,2,0,100701,0,20,10,0,0,100701,55,100701,4
100702,1007,3,0,100702,0,0,20,0,10,100702,454,100702,4
100703,1007,3,0,100703,8,14,8,0,0,100703,544,100703,4
100801,1008,2,0,100801,10,0,20,0,0,100801,55,100801,3
100802,1008,3,0,100802,20,0,0,10,0,100802,486,100802,3
100901,1009,2,0,100901,10,0,0,20,0,100901,1,100901,2
100902,1009,3,0,100902,20,0,0,0,10,100902,484,100902,1
101001,1010,3,0,101001,20,0,0,0,10,101001,8,101001,2
101002,1010,3,0,101002,0,0,30,0,0,101002,441,101002,2
101003,1010,3,0,101003,0,0,10,20,0,101003,868,101003,2
101101,1011,2,0,101101,20,0,10,0,0,101101,21,101101,3
101102,1011,3,0,101102,0,15,0,0,15,101102,270,101102,3
101103,1011,3,0,101103,0,0,0,20,10,101103,507,101103,3
101201,1012,3,0,101201,0,0,20,10,0,101201,17,101201,4
101202,1012,3,0,101202,10,0,10,0,10,101202,293,101202,4
101301,1013,3,0,101301,0,20,0,0,10,101301,30,101301,2
101302,1013,3,0,101302,0,10,10,0,10,101302,132,101302,2
101303,1013,3,0,101303,8,8,0,0,14,101303,452,101303,2
101401,1014,2,0,101401,20,0,0,0,10,101401,8,101401,2
101402,1014,3,0,101402,15,0,0,15,0,101402,271,101402,3
101501,1015,3,0,101501,0,20,0,0,10,101501,55,101501,2
101502,1015,3,0,101502,14,8,0,0,8,101502,383,101502,2
101601,1016,3,0,101601,10,20,0,0,0,101601,152,101601,2
101602,1016,3,0,101602,10,10,0,10,0,101602,275,101602,2
101701,1017,3,0,101701,0,20,0,10,0,101701,69,101701,2
101702,1017,3,0,101702,8,14,0,0,8,101702,363,101702,2
101801,1018,2,0,101801,10,0,20,0,0,101801,69,101801,2
101802,1018,3,0,101802,10,0,10,10,0,101802,295,101802,2
101901,1019,3,0,101901,8,8,7,0,7,101901,125,101901,3
101902,1019,3,0,101902,7,7,8,8,0,101902,470,101902,3
102001,1020,3,0,102001,0,10,0,0,20,102001,127,102001,1
102002,1020,3,0,102002,8,0,8,14,0,102002,413,102002,1
102101,1021,3,0,102101,0,20,10,0,0,102101,21,102101,4
102102,1021,3,0,102102,14,8,0,8,0,102102,475,102102,2
102201,1022,3,0,102201,0,0,15,0,15,102201,127,102201,2
102202,1022,3,0,102202,0,0,0,10,20,102202,437,102202,2
102301,1023,3,0,102301,0,0,0,10,20,102301,155,102301,2
102302,1023,3,0,102302,0,12,12,0,6,102302,369,102302,2
102303,1023,3,0,102303,0,10,10,10,0,102303,694,102303,2
102401,1024,2,0,102401,0,20,0,10,0,102401,12,102401,1
102402,1024,3,0,102402,10,10,0,0,10,102402,291,102402,2
102403,1024,3,0,102403,8,15,0,0,7,102403,712,102403,1
102501,1025,3,0,102501,0,30,0,0,0,102501,125,102501,3
102502,1025,3,0,102502,0,20,10,0,0,102502,615,102502,4
102503,1025,3,0,102503,0,5,10,5,10,102503,940,102503,3
102601,1026,3,0,102601,0,20,10,0,0,102601,53,102601,1
102602,1026,3,0,102602,10,10,10,0,0,102602,405,102602,1
102701,1027,1,0,102701,0,0,20,0,10,102701,53,102701,3
102702,1027,3,0,102702,20,0,0,0,10,102702,496,102702,2
102801,1028,3,0,102801,0,0,20,10,0,102801,44,102801,2
102802,1028,3,0,102802,0,0,30,0,0,102802,836,102802,2
102901,1029,3,0,102901,10,0,0,20,0,102901,12,102901,2
102902,1029,3,0,102902,8,0,8,14,0,102902,282,102902,2
103001,1030,3,0,103001,0,10,0,20,0,103001,30,103001,2
103002,1030,3,0,103002,0,15,15,0,0,103002,349,103002,2
103003,1030,3,0,103003,0,20,0,10,0,103003,651,103003,2
103101,1031,3,0,103101,15,0,0,15,0,103101,8,103101,1
103102,1031,3,0,103102,14,0,0,8,8,103102,499,103102,1
103103,1031,3,0,103103,12,0,10,8,0,103103,785,103103,1
103201,1032,1,0,103201,20,0,0,10,0,103201,61,103201,2
103202,1032,3,0,103202,8,0,8,0,14,103202,569,103202,2
103203,1032,3,0,103203,14,0,8,0,8,103203,531,103203,2
103301,1033,3,0,103301,10,0,20,0,0,103301,57,103301,4
103302,1033,3,0,103302,10,0,20,0,0,103302,728,103302,4
103401,1034,3,0,103401,0,10,20,0,0,103401,21,103401,4
103402,1034,3,0,103402,14,0,8,0,8,103402,471,103402,4
103501,1035,1,0,103501,0,10,20,0,0,103501,8,103501,3
103502,1035,3,0,103502,8,0,14,8,0,103502,458,103502,3
103503,1035,3,0,103503,10,10,10,0,0,103503,596,103503,3
103601,1036,3,0,103601,0,0,0,0,30,103601,55,103601,4
103602,1036,3,0,103602,0,14,8,0,8,103602,575,103602,3
103701,1037,3,0,103701,0,0,10,0,20,103701,8,103701,3
103702,1037,3,0,103702,0,8,8,0,14,103702,403,103702,3
103703,1037,3,0,103703,0,10,0,10,10,103703,682,103703,3
103801,1038,3,0,103801,10,0,20,0,0,103801,1,103801,2
103802,1038,3,0,103802,10,0,10,0,10,103802,431,103802,2
103901,1039,3,0,103901,0,0,10,20,0,103901,51,103901,3
103902,1039,3,0,103902,0,8,8,14,0,103902,590,103902,3
104001,1040,3,0,104001,0,0,10,20,0,104001,12,104001,3
104002,1040,3,0,104002,8,0,8,0,14,104002,364,104002,3
104003,1040,3,0,104003,0,10,0,15,5,104003,783,104003,3
104101,1041,1,0,104101,20,0,0,0,10,104101,30,104101,2
104102,1041,3,0,104102,14,0,8,0,8,104102,530,104102,1
104103,1041,3,0,104103,10,0,15,0,5,104103,901,104103,2
104201,1042,3,0,104201,10,0,0,0,20,104201,41,104201,2
104202,1042,3,0,104202,10,0,13,0,7,104202,713,104202,2
104301,1043,3,0,104301,10,0,10,10,0,104301,127,104301,2
104401,1044,3,0,104401,10,0,20,0,0,104401,75,104401,4
104402,1044,3,0,104402,10,0,10,10,0,104402,521,104402,4
104501,1045,2,0,104501,0,10,0,0,20,104501,21,104501,2
104502,1045,3,0,104502,14,8,0,8,0,104502,357,104502,2
104503,1045,3,0,104503,10,13,0,0,7,104503,658,104503,2
104601,1046,3,0,104601,20,0,10,0,0,104601,41,104601,1
104602,1046,3,0,104602,20,0,0,10,0,104602,324,104602,1
104603,1046,3,0,104603,0,10,10,10,0,104603,774,104603,1
104701,1047,3,0,104701,0,10,0,0,20,104701,75,104701,2
104702,1047,3,0,104702,10,0,10,0,10,104702,695,104702,2
104801,1048,3,0,104801,10,0,10,10,0,104801,44,104801,2
104802,1048,3,0,104802,8,8,14,0,0,104802,543,104802,3
104803,1048,3,0,104803,0,10,10,10,0,104803,310,104803,3
104901,1049,3,0,104901,10,10,10,0,0,104901,125,104901,3
104902,1049,3,0,104902,10,0,10,10,0,104902,844,104902,3
105001,1050,3,0,105001,10,0,0,20,0,105001,55,105001,4
105002,1050,3,0,105002,0,8,0,8,14,105002,460,105002,4
105003,1050,3,0,105003,0,0,20,0,10,105003,696,105003,4
105101,1051,3,0,105101,15,0,15,0,0,105101,30,105101,2
105102,1051,3,0,105102,10,0,0,0,20,105102,291,105102,2
105201,1052,1,0,105201,0,0,10,20,0,105201,8,105201,3
105202,1052,3,0,105202,0,0,20,10,0,105202,375,105202,3
105301,1053,3,0,105301,10,0,10,10,0,105301,12,105301,3
105302,1053,3,0,105302,14,0,8,8,0,105302,549,105302,3
105401,1054,2,0,105401,10,0,10,10,0,105401,127,105401,3
105501,1055,3,0,105501,0,0,15,0,15,105501,12,105501,3
105502,1055,3,0,105502,0,16,7,7,0,105502,834,105502,3
105601,1056,1,0,105601,0,20,10,0,0,105601,30,105601,3
105602,1056,3,0,105602,0,10,0,10,10,105602,105,105602,3
105701,1057,3,0,105701,10,10,0,0,10,105701,154,105701,4
105702,1057,3,0,105702,20,0,10,0,0,105702,748,105702,4
105801,1058,3,0,105801,0,20,0,10,0,105801,125,105801,2
105802,1058,3,0,105802,0,0,15,0,15,105802,467,105802,2
105901,1059,3,0,105901,10,0,0,0,20,105901,55,105901,3
105902,1059,3,0,105902,20,0,0,0,10,105902,448,105902,3
