id,card_id,rarity,race_dress_id,skill_set,speed,stamina,pow,guts,wiz,max_speed,max_stamina,max_pow,max_guts,max_wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,get_dress_id_1,get_dress_id_2
10010103,100101,3,100101,10010103,83,88,98,90,91,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100101
10010104,100101,4,100101,10010104,92,98,109,100,101,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100101
10010105,100101,5,100101,10010105,102,108,120,110,110,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100101
10010203,100102,3,100130,11010103,77,90,103,98,82,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100130
10010204,100102,4,100130,11010104,86,100,114,109,91,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100130
10010205,100102,5,100130,11010105,94,110,125,119,102,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100130
10010303,100103,3,100102,12010103,96,82,94,82,96,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100102
10010304,100103,4,100102,12010104,107,91,105,91,106,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100102
10010305,100103,5,100102,12010105,117,100,115,100,118,1200,1200,1200,1200,1200,2,5,7,7,1,7,7,5,7,1,101,100102
10020103,100201,3,100201,10020103,101,84,77,100,88,1200,1200,1200,1200,1200,4,7,7,3,7,5,3,1,7,1,101,100201
10020104,100201,4,100201,10020104,112,93,85,111,99,1200,1200,1200,1200,1200,4,7,7,3,7,5,3,1,7,1,101,100201
10020105,100201,5,100201,10020105,124,102,94,122,108,1200,1200,1200,1200,1200,4,7,7,3,7,5,3,1,7,1,101,100201
10020203,100202,3,100230,11020103,101,101,79,85,84,1200,1200,1200,1200,1200,4,7,7,3,7,5,3,1,7,1,101,100230
10020204,100202,4,100230,11020104,112,112,88,95,93,1200,1200,1200,1200,1200,4,7,7,3,7,5,3,1,7,1,101,100230
10020205,100202,5,100230,11020105,123,123,97,104,103,1200,1200,1200,1200,1200,4,7,7,3,7,5,3,1,7,1,101,100230
10030103,100301,3,100301,10030103,90,89,83,92,96,1200,1200,1200,1200,1200,2,3,7,6,4,7,5,3,7,1,101,100301
10030104,100301,4,100301,10030104,99,99,92,102,108,1200,1200,1200,1200,1200,2,3,7,6,4,7,5,3,7,1,101,100301
10030105,100301,5,100301,10030105,109,109,102,112,118,1200,1200,1200,1200,1200,2,3,7,6,4,7,5,3,7,1,101,100301
10030203,100302,3,100302,11030103,89,102,80,86,93,1200,1200,1200,1200,1200,2,3,7,6,4,7,5,3,7,1,101,100302
