id,card_id,rarity,talent_level,item_category_1,item_id_1,item_disp_order_1,item_num_1,item_category_2,item_id_2,item_disp_order_2,item_num_2,item_category_3,item_id_3,item_disp_order_3,item_num_3,item_category_4,item_id_4,item_disp_order_4,item_num_4,item_category_5,item_id_5,item_disp_order_5,item_num_5,item_category_6,item_id_6,item_disp_order_6,item_num_6,money_num
1001,0,1,1,11,160,1,4,93,44,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
1002,0,1,2,11,160,1,8,93,44,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
1003,0,1,3,11,161,2,6,93,44,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
2001,0,2,1,11,162,11,8,93,44,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
2002,0,2,2,11,162,11,16,93,44,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
2003,0,2,3,11,163,12,12,93,44,100,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
1004100101,100101,1,4,11,161,2,9,93,44,100,20,11,319,111,5,0,0,0,0,0,0,0,0,0,0,0,0,75000
1004100301,100301,1,4,11,161,2,9,93,44,100,20,11,319,111,5,0,0,0,0,0,0,0,0,0,0,0,0,75000
1005100101,100101,1,5,11,161,2,12,93,44,100,25,11,319,111,20,0,0,0,0,0,0,0,0,0,0,0,0,100000
1005100301,100301,1,5,11,161,2,12,93,44,100,25,11,319,111,20,0,0,0,0,0,0,0,0,0,0,0,0,100000
2004100101,100101,2,4,11,163,12,18,93,44,100,80,11,319,111,10,0,0,0,0,0,0,0,0,0,0,0,0,750000
2004100301,100301,2,4,11,163,12,18,93,44,100,80,11,319,111,10,0,0,0,0,0,0,0,0,0,0,0,0,750000
2005100101,100101,2,5,11,163,12,24,93,44,100,100,11,319,111,40,0,0,0,0,0,0,0,0,0,0,0,0,1000000
2005100301,100301,2,5,11,163,12,24,93,44,100,100,11,319,111,40,0,0,0,0,0,0,0,0,0,0,0,0,1000000
