id,chara_id,race_dress_id,nickname_id,card_rarity_data_id,post,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
1,1011,101101,73,10110103,2,581,535,562,598,614,1,7,6,7,2,6,7,2,7,1,51101122
2,1061,106101,126,10610103,2,694,538,660,507,575,7,7,6,5,1,6,7,4,7,1,51106122
3,1020,102001,164,10200103,0,658,696,658,418,437,1,5,7,7,7,6,4,3,7,1,51102032
4,1001,100101,66,10010103,2,587,619,570,490,529,2,5,7,7,1,6,7,5,7,1,51100132
5,1014,101401,68,10140103,0,731,687,687,742,708,2,7,7,6,3,7,6,5,7,6,52101422
6,1014,101416,68,10140203,2,969,766,988,762,903,2,7,7,6,3,6,7,5,7,6,53101423
7,1035,103501,47,10350103,2,635,588,635,568,493,1,2,7,6,1,6,7,1,7,1,51103531
8,1032,103201,48,10320103,2,575,658,643,388,645,1,4,7,6,3,7,6,2,7,1,51103231
9,1005,100501,80,10050103,0,624,601,650,673,569,6,7,7,3,5,7,5,1,7,2,51100531
10,1003,100301,76,10030103,2,640,655,629,582,629,2,3,7,6,1,7,4,2,7,1,51100331
11,1017,101701,78,10170103,0,906,778,810,666,784,3,5,7,7,6,7,6,5,7,1,52101732
12,1017,101743,78,10170203,0,991,851,886,728,858,3,5,7,7,6,7,6,5,7,1,53101732
13,1028,102801,166,10280103,0,783,508,759,597,686,7,6,2,1,6,7,5,1,7,2,52102821
14,1051,105101,223,10510103,2,744,530,735,658,678,7,7,3,1,2,6,7,1,7,2,52105121
15,1010,101001,83,10100103,0,699,595,686,684,679,7,7,3,1,5,7,3,1,7,6,52101021
16,1053,105301,230,10530103,2,792,573,792,660,594,7,7,5,1,5,6,7,5,7,4,52105321
17,1038,103801,89,10380103,0,756,622,750,708,796,7,4,1,1,6,7,3,1,7,2,52103836
18,1038,103826,89,10380203,0,877,626,870,789,887,7,4,1,1,6,7,3,1,7,2,52103846
19,1006,100601,84,10060103,0,692,588,732,659,667,3,7,7,6,2,7,6,4,7,6,52100623
20,1071,107101,175,10710103,0,702,716,687,641,711,3,6,7,4,5,7,4,1,7,2,52107123
21,1065,106501,265,10650103,0,943,785,619,760,497,5,7,7,3,7,6,1,1,7,1,52106523
22,1062,106201,177,10620103,2,927,673,902,667,654,1,4,7,7,2,6,7,3,7,1,52106223
23,1060,106001,81,10600103,2,858,736,700,710,779,1,5,7,7,2,6,7,4,7,1,52106036
24,1060,106050,81,10600203,2,936,731,763,774,850,1,5,7,7,2,6,7,4,7,1,52106046
25,1023,102301,151,10230103,0,689,677,648,680,677,2,5,7,7,3,7,6,3,7,2,52102321
26,1083,108301,279,10830103,2,767,614,767,611,612,1,3,7,7,1,6,7,4,7,1,52108321
27,1047,104701,263,10470103,0,632,678,652,703,707,1,3,7,5,1,7,6,2,7,1,52104721
28,1007,100701,77,10070103,2,758,642,801,588,698,1,5,7,7,1,6,6,7,7,1,52100721
29,1056,105601,79,10560103,2,821,805,791,729,755,2,5,7,7,1,6,7,2,7,2,52105636
30,1056,105623,79,10562303,2,901,808,821,748,802,2,5,7,7,1,6,7,2,7,2,52105646
31,1078,107801,260,10780103,0,777,655,698,799,768,6,7,7,1,3,7,5,1,7,4,52107821
32,1022,102201,172,10220103,0,794,650,749,688,702,2,7,7,5,4,7,3,5,7,1,52102221
33,1104,110401,286,11040103,0,848,847,722,801,706,3,6,7,6,7,6,3,1,7,1,52110421
34,1033,103301,176,10330103,2,773,693,793,636,648,2,5,7,5,1,1,6,7,7,1,52103321
35,1009,100901,75,10090103,0,1057,852,789,588,610,2,7,7,7,7,6,3,1,7,1,52100931
36,1009,100946,75,10090203,0,957,859,762,738,810,2,7,7,7,7,6,3,1,7,1,52100941
37,1004,100401,69,10040103,0,605,667,717,708,688,7,7,6,5,7,5,1,1,7,7,52100427
38,1031,103101,225,10310103,0,794,624,717,655,636,2,7,7,2,7,6,1,1,7,1,52103127
39,1059,105901,171,10590103,2,720,566,705,703,728,3,7,7,2,5,6,7,1,7,1,52105927
40,1019,101901,167,10190103,2,741,586,724,653,686,2,7,7,1,1,6,7,6,7,7,52101927
41,1040,104001,44,10400103,2,720,613,690,756,628,2,7,6,6,2,6,7,2,7,4,52104037
42,1040,104043,44,10400203,2,820,649,905,882,616,2,7,6,6,2,6,7,2,7,4,52104047
