id,champions_id,league_type,round_id,round,tier,round_number,breakthrough_number_1,breakthrough_number_2,entry_number,free_entry_number
1,1,1,0,0,0,0,0,0,0,0
2,1,1,1,1,2,5,3,0,3,1
3,1,1,2,2,1,5,3,0,3,1
4,1,1,3,2,2,5,3,2,3,1
5,1,1,4,3,1,1,0,0,0,1
6,1,1,5,3,2,1,0,0,0,1
7,1,1,6,3,0,0,0,0,0,0
8,1,2,0,0,0,0,0,0,0,0
9,1,2,1,1,2,5,3,0,3,1
10,1,2,2,2,1,5,3,0,3,1
11,1,2,3,2,2,5,3,2,3,1
12,1,2,4,3,1,1,0,0,0,1
13,1,2,5,3,2,1,0,0,0,1
14,1,2,6,3,0,0,0,0,0,0
15,2,1,0,0,0,0,0,0,0,0
16,2,1,1,1,2,5,3,0,3,1
17,2,1,2,2,1,5,1,0,3,1
18,2,1,3,2,2,5,3,1,3,1
19,2,1,4,3,1,1,0,0,0,1
20,2,1,5,3,2,1,0,0,0,1
21,2,1,6,3,0,0,0,0,0,0
22,2,2,0,0,0,0,0,0,0,0
23,2,2,1,1,2,5,3,0,3,1
24,2,2,2,2,1,5,1,0,3,1
25,2,2,3,2,2,5,3,1,3,1
26,2,2,4,3,1,1,0,0,0,1
27,2,2,5,3,2,1,0,0,0,1
28,2,2,6,3,0,0,0,0,0,0
29,3,1,0,0,0,0,0,0,0,0
30,3,1,1,1,2,5,3,0,3,1
31,3,1,2,2,1,5,1,0,3,1
32,3,1,3,2,2,5,3,1,3,1
33,3,1,4,3,1,1,0,0,0,1
34,3,1,5,3,2,1,0,0,0,1
35,3,1,6,3,0,0,0,0,0,0
36,3,2,0,0,0,0,0,0,0,0
37,3,2,1,1,2,5,3,0,3,1
38,3,2,2,2,1,5,1,0,3,1
39,3,2,3,2,2,5,3,1,3,1
40,3,2,4,3,1,1,0,0,0,1
41,3,2,5,3,2,1,0,0,0,1
42,3,2,6,3,0,0,0,0,0,0
43,4,1,0,0,0,0,0,0,0,0
44,4,1,1,1,2,5,3,0,3,1
45,4,1,2,2,1,5,1,0,3,1
46,4,1,3,2,2,5,3,1,3,1
47,4,1,4,3,1,1,0,0,0,1
48,4,1,5,3,2,1,0,0,0,1
49,4,1,6,3,0,0,0,0,0,0
50,4,2,0,0,0,0,0,0,0,0
51,4,2,1,1,2,5,3,0,3,1
52,4,2,2,2,1,5,1,0,3,1
53,4,2,3,2,2,5,3,1,3,1
54,4,2,4,3,1,1,0,0,0,1
55,4,2,5,3,2,1,0,0,0,1
56,4,2,6,3,0,0,0,0,0,0
57,5,1,0,0,0,0,0,0,0,0
58,5,1,1,1,2,5,3,0,3,1
59,5,1,2,2,1,5,1,0,3,1
60,5,1,3,2,2,5,3,1,3,1
61,5,1,4,3,1,1,0,0,0,1
62,5,1,5,3,2,1,0,0,0,1
63,5,1,6,3,0,0,0,0,0,0
64,5,2,0,0,0,0,0,0,0,0
65,5,2,1,1,2,5,3,0,3,1
66,5,2,2,2,1,5,1,0,3,1
67,5,2,3,2,2,5,3,1,3,1
68,5,2,4,3,1,1,0,0,0,1
69,5,2,5,3,2,1,0,0,0,1
70,5,2,6,3,0,0,0,0,0,0
71,6,1,0,0,0,0,0,0,0,0
72,6,1,1,1,2,5,3,0,3,1
73,6,1,2,2,1,5,1,0,3,1
74,6,1,3,2,2,5,3,1,3,1
75,6,1,4,3,1,1,0,0,0,1
76,6,1,5,3,2,1,0,0,0,1
77,6,1,6,3,0,0,0,0,0,0
78,6,2,0,0,0,0,0,0,0,0
79,6,2,1,1,2,5,3,0,3,1
80,6,2,2,2,1,5,1,0,3,1
81,6,2,3,2,2,5,3,1,3,1
82,6,2,4,3,1,1,0,0,0,1
83,6,2,5,3,2,1,0,0,0,1
84,6,2,6,3,0,0,0,0,0,0
85,7,1,0,0,0,0,0,0,0,0
86,7,1,1,1,2,5,3,0,3,1
87,7,1,2,2,1,5,1,0,3,1
88,7,1,3,2,2,5,3,1,3,1
89,7,1,4,3,1,1,0,0,0,1
90,7,1,5,3,2,1,0,0,0,1
91,7,1,6,3,0,0,0,0,0,0
92,7,2,0,0,0,0,0,0,0,0
93,7,2,1,1,2,5,3,0,3,1
94,7,2,2,2,1,5,1,0,3,1
95,7,2,3,2,2,5,3,1,3,1
96,7,2,4,3,1,1,0,0,0,1
97,7,2,5,3,2,1,0,0,0,1
98,7,2,6,3,0,0,0,0,0,0
99,8,1,0,0,0,0,0,0,0,0
100,8,1,1,1,2,5,3,0,3,1
101,8,1,2,2,1,5,1,0,3,1
102,8,1,3,2,2,5,3,1,3,1
103,8,1,4,3,1,1,0,0,0,1
104,8,1,5,3,2,1,0,0,0,1
105,8,1,6,3,0,0,0,0,0,0
106,8,2,0,0,0,0,0,0,0,0
107,8,2,1,1,2,5,3,0,3,1
108,8,2,2,2,1,5,1,0,3,1
109,8,2,3,2,2,5,3,1,3,1
110,8,2,4,3,1,1,0,0,0,1
111,8,2,5,3,2,1,0,0,0,1
112,8,2,6,3,0,0,0,0,0,0
113,9,1,0,0,0,0,0,0,0,0
114,9,1,1,1,2,5,3,0,3,1
115,9,1,2,2,1,5,1,0,3,1
116,9,1,3,2,2,5,3,1,3,1
117,9,1,4,3,1,1,0,0,0,1
118,9,1,5,3,2,1,0,0,0,1
119,9,1,6,3,0,0,0,0,0,0
120,9,2,0,0,0,0,0,0,0,0
121,9,2,1,1,2,5,3,0,3,1
122,9,2,2,2,1,5,1,0,3,1
123,9,2,3,2,2,5,3,1,3,1
124,9,2,4,3,1,1,0,0,0,1
125,9,2,5,3,2,1,0,0,0,1
126,9,2,6,3,0,0,0,0,0,0
127,10,1,0,0,0,0,0,0,0,0
128,10,1,1,1,2,5,3,0,3,1
129,10,1,2,2,1,5,1,0,3,1
130,10,1,3,2,2,5,3,1,3,1
131,10,1,4,3,1,1,0,0,0,1
132,10,1,5,3,2,1,0,0,0,1
133,10,1,6,3,0,0,0,0,0,0
134,10,2,0,0,0,0,0,0,0,0
135,10,2,1,1,2,5,3,0,3,1
136,10,2,2,2,1,5,1,0,3,1
137,10,2,3,2,2,5,3,1,3,1
138,10,2,4,3,1,1,0,0,0,1
139,10,2,5,3,2,1,0,0,0,1
140,10,2,6,3,0,0,0,0,0,0
141,11,1,0,0,0,0,0,0,0,0
142,11,1,1,1,2,5,3,0,3,1
143,11,1,2,2,1,5,1,0,3,1
144,11,1,3,2,2,5,3,1,3,1
145,11,1,4,3,1,1,0,0,0,1
146,11,1,5,3,2,1,0,0,0,1
147,11,1,6,3,0,0,0,0,0,0
148,11,2,0,0,0,0,0,0,0,0
149,11,2,1,1,2,5,3,0,3,1
150,11,2,2,2,1,5,1,0,3,1
151,11,2,3,2,2,5,3,1,3,1
152,11,2,4,3,1,1,0,0,0,1
153,11,2,5,3,2,1,0,0,0,1
154,11,2,6,3,0,0,0,0,0,0
155,12,1,0,0,0,0,0,0,0,0
156,12,1,1,1,2,5,3,0,3,1
157,12,1,2,2,1,5,1,0,3,1
158,12,1,3,2,2,5,3,1,3,1
159,12,1,4,3,1,1,0,0,0,1
160,12,1,5,3,2,1,0,0,0,1
161,12,1,6,3,0,0,0,0,0,0
162,12,2,0,0,0,0,0,0,0,0
163,12,2,1,1,2,5,3,0,3,1
164,12,2,2,2,1,5,1,0,3,1
165,12,2,3,2,2,5,3,1,3,1
166,12,2,4,3,1,1,0,0,0,1
167,12,2,5,3,2,1,0,0,0,1
168,12,2,6,3,0,0,0,0,0,0
169,13,1,0,0,0,0,0,0,0,0
170,13,1,1,1,2,5,3,0,3,1
171,13,1,2,2,1,5,1,0,3,1
172,13,1,3,2,2,5,3,1,3,1
173,13,1,4,3,1,1,0,0,0,1
174,13,1,5,3,2,1,0,0,0,1
175,13,1,6,3,0,0,0,0,0,0
176,13,2,0,0,0,0,0,0,0,0
177,13,2,1,1,2,5,3,0,3,1
178,13,2,2,2,1,5,1,0,3,1
179,13,2,3,2,2,5,3,1,3,1
180,13,2,4,3,1,1,0,0,0,1
181,13,2,5,3,2,1,0,0,0,1
182,13,2,6,3,0,0,0,0,0,0
183,14,1,0,0,0,0,0,0,0,0
184,14,1,1,1,2,5,3,0,3,1
185,14,1,2,2,1,5,1,0,3,1
186,14,1,3,2,2,5,3,1,3,1
187,14,1,4,3,1,1,0,0,0,1
188,14,1,5,3,2,1,0,0,0,1
189,14,1,6,3,0,0,0,0,0,0
190,14,2,0,0,0,0,0,0,0,0
191,14,2,1,1,2,5,3,0,3,1
192,14,2,2,2,1,5,1,0,3,1
193,14,2,3,2,2,5,3,1,3,1
194,14,2,4,3,1,1,0,0,0,1
195,14,2,5,3,2,1,0,0,0,1
196,14,2,6,3,0,0,0,0,0,0
197,15,1,0,0,0,0,0,0,0,0
198,15,1,1,1,2,5,3,0,3,1
199,15,1,2,2,1,5,1,0,3,1
200,15,1,3,2,2,5,3,1,3,1
201,15,1,4,3,1,1,0,0,0,1
202,15,1,5,3,2,1,0,0,0,1
203,15,1,6,3,0,0,0,0,0,0
204,15,2,0,0,0,0,0,0,0,0
205,15,2,1,1,2,5,3,0,3,1
206,15,2,2,2,1,5,1,0,3,1
207,15,2,3,2,2,5,3,1,3,1
208,15,2,4,3,1,1,0,0,0,1
209,15,2,5,3,2,1,0,0,0,1
210,15,2,6,3,0,0,0,0,0,0
211,16,1,0,0,0,0,0,0,0,0
212,16,1,1,1,2,5,3,0,3,1
213,16,1,2,2,1,5,1,0,3,1
214,16,1,3,2,2,5,3,1,3,1
215,16,1,4,3,1,1,0,0,0,1
216,16,1,5,3,2,1,0,0,0,1
217,16,1,6,3,0,0,0,0,0,0
218,16,2,0,0,0,0,0,0,0,0
219,16,2,1,1,2,5,3,0,3,1
220,16,2,2,2,1,5,1,0,3,1
221,16,2,3,2,2,5,3,1,3,1
222,16,2,4,3,1,1,0,0,0,1
223,16,2,5,3,2,1,0,0,0,1
224,16,2,6,3,0,0,0,0,0,0
225,17,1,0,0,0,0,0,0,0,0
226,17,1,1,1,2,5,3,0,3,1
227,17,1,2,2,1,5,1,0,3,1
228,17,1,3,2,2,5,3,1,3,1
229,17,1,4,3,1,1,0,0,0,1
230,17,1,5,3,2,1,0,0,0,1
231,17,1,6,3,0,0,0,0,0,0
232,17,2,0,0,0,0,0,0,0,0
233,17,2,1,1,2,5,3,0,3,1
234,17,2,2,2,1,5,1,0,3,1
235,17,2,3,2,2,5,3,1,3,1
236,17,2,4,3,1,1,0,0,0,1
237,17,2,5,3,2,1,0,0,0,1
238,17,2,6,3,0,0,0,0,0,0
239,18,1,0,0,0,0,0,0,0,0
240,18,1,1,1,2,5,3,0,3,1
241,18,1,2,2,1,5,1,0,3,1
242,18,1,3,2,2,5,3,1,3,1
243,18,1,4,3,1,1,0,0,0,1
244,18,1,5,3,2,1,0,0,0,1
245,18,1,6,3,0,0,0,0,0,0
246,18,2,0,0,0,0,0,0,0,0
247,18,2,1,1,2,5,3,0,3,1
248,18,2,2,2,1,5,1,0,3,1
249,18,2,3,2,2,5,3,1,3,1
250,18,2,4,3,1,1,0,0,0,1
251,18,2,5,3,2,1,0,0,0,1
252,18,2,6,3,0,0,0,0,0,0
253,19,1,0,0,0,0,0,0,0,0
254,19,1,1,1,2,5,3,0,3,1
255,19,1,2,2,1,5,1,0,3,1
256,19,1,3,2,2,5,3,1,3,1
257,19,1,4,3,1,1,0,0,0,1
258,19,1,5,3,2,1,0,0,0,1
259,19,1,6,3,0,0,0,0,0,0
260,19,2,0,0,0,0,0,0,0,0
261,19,2,1,1,2,5,3,0,3,1
262,19,2,2,2,1,5,1,0,3,1
263,19,2,3,2,2,5,3,1,3,1
264,19,2,4,3,1,1,0,0,0,1
265,19,2,5,3,2,1,0,0,0,1
266,19,2,6,3,0,0,0,0,0,0
267,20,1,0,0,0,0,0,0,0,0
268,20,1,1,1,2,5,3,0,3,1
269,20,1,2,2,1,5,1,0,3,1
270,20,1,3,2,2,5,3,1,3,1
271,20,1,4,3,1,1,0,0,0,1
272,20,1,5,3,2,1,0,0,0,1
273,20,1,6,3,0,0,0,0,0,0
274,20,2,0,0,0,0,0,0,0,0
275,20,2,1,1,2,5,3,0,3,1
276,20,2,2,2,1,5,1,0,3,1
277,20,2,3,2,2,5,3,1,3,1
278,20,2,4,3,1,1,0,0,0,1
279,20,2,5,3,2,1,0,0,0,1
280,20,2,6,3,0,0,0,0,0,0
281,21,1,0,0,0,0,0,0,0,0
282,21,1,1,1,2,5,3,0,3,1
283,21,1,2,2,1,5,1,0,3,1
284,21,1,3,2,2,5,3,1,3,1
285,21,1,4,3,1,1,0,0,0,1
286,21,1,5,3,2,1,0,0,0,1
287,21,1,6,3,0,0,0,0,0,0
288,21,2,0,0,0,0,0,0,0,0
289,21,2,1,1,2,5,3,0,3,1
290,21,2,2,2,1,5,1,0,3,1
291,21,2,3,2,2,5,3,1,3,1
292,21,2,4,3,1,1,0,0,0,1
293,21,2,5,3,2,1,0,0,0,1
294,21,2,6,3,0,0,0,0,0,0
295,22,1,0,0,0,0,0,0,0,0
296,22,1,1,1,2,5,3,0,3,1
297,22,1,2,2,1,5,1,0,3,1
298,22,1,3,2,2,5,3,1,3,1
299,22,1,4,3,1,1,0,0,0,1
300,22,1,5,3,2,1,0,0,0,1
301,22,1,6,3,0,0,0,0,0,0
302,22,2,0,0,0,0,0,0,0,0
303,22,2,1,1,2,5,3,0,3,1
304,22,2,2,2,1,5,1,0,3,1
305,22,2,3,2,2,5,3,1,3,1
306,22,2,4,3,1,1,0,0,0,1
307,22,2,5,3,2,1,0,0,0,1
308,22,2,6,3,0,0,0,0,0,0
309,23,1,0,0,0,0,0,0,0,0
310,23,1,1,1,2,5,3,0,3,1
311,23,1,2,2,1,5,1,0,3,1
312,23,1,3,2,2,5,3,1,3,1
313,23,1,4,3,1,1,0,0,0,1
314,23,1,5,3,2,1,0,0,0,1
315,23,1,6,3,0,0,0,0,0,0
316,23,2,0,0,0,0,0,0,0,0
317,23,2,1,1,2,5,3,0,3,1
318,23,2,2,2,1,5,1,0,3,1
319,23,2,3,2,2,5,3,1,3,1
320,23,2,4,3,1,1,0,0,0,1
321,23,2,5,3,2,1,0,0,0,1
322,23,2,6,3,0,0,0,0,0,0
323,24,1,0,0,0,0,0,0,0,0
324,24,1,1,1,2,5,3,0,3,1
325,24,1,2,2,1,5,1,0,3,1
326,24,1,3,2,2,5,3,1,3,1
327,24,1,4,3,1,1,0,0,0,1
328,24,1,5,3,2,1,0,0,0,1
329,24,1,6,3,0,0,0,0,0,0
330,24,2,0,0,0,0,0,0,0,0
331,24,2,1,1,2,5,3,0,3,1
332,24,2,2,2,1,5,1,0,3,1
333,24,2,3,2,2,5,3,1,3,1
334,24,2,4,3,1,1,0,0,0,1
335,24,2,5,3,2,1,0,0,0,1
336,24,2,6,3,0,0,0,0,0,0
337,25,1,0,0,0,0,0,0,0,0
338,25,1,1,1,2,5,3,0,3,1
339,25,1,2,2,1,5,1,0,3,1
340,25,1,3,2,2,5,3,1,3,1
341,25,1,4,3,1,1,0,0,0,1
342,25,1,5,3,2,1,0,0,0,1
343,25,1,6,3,0,0,0,0,0,0
344,25,2,0,0,0,0,0,0,0,0
345,25,2,1,1,2,5,3,0,3,1
346,25,2,2,2,1,5,1,0,3,1
347,25,2,3,2,2,5,3,1,3,1
348,25,2,4,3,1,1,0,0,0,1
349,25,2,5,3,2,1,0,0,0,1
350,25,2,6,3,0,0,0,0,0,0
351,26,1,0,0,0,0,0,0,0,0
352,26,1,1,1,2,5,3,0,3,1
353,26,1,2,2,1,5,1,0,3,1
354,26,1,3,2,2,5,3,1,3,1
355,26,1,4,3,1,1,0,0,0,1
356,26,1,5,3,2,1,0,0,0,1
357,26,1,6,3,0,0,0,0,0,0
358,26,2,0,0,0,0,0,0,0,0
359,26,2,1,1,2,5,3,0,3,1
360,26,2,2,2,1,5,1,0,3,1
361,26,2,3,2,2,5,3,1,3,1
362,26,2,4,3,1,1,0,0,0,1
363,26,2,5,3,2,1,0,0,0,1
364,26,2,6,3,0,0,0,0,0,0
365,27,1,0,0,0,0,0,0,0,0
366,27,1,1,1,2,5,3,0,3,1
367,27,1,2,2,1,5,1,0,3,1
368,27,1,3,2,2,5,3,1,3,1
369,27,1,4,3,1,1,0,0,0,1
370,27,1,5,3,2,1,0,0,0,1
371,27,1,6,3,0,0,0,0,0,0
372,27,2,0,0,0,0,0,0,0,0
373,27,2,1,1,2,5,3,0,3,1
374,27,2,2,2,1,5,1,0,3,1
375,27,2,3,2,2,5,3,1,3,1
376,27,2,4,3,1,1,0,0,0,1
377,27,2,5,3,2,1,0,0,0,1
378,27,2,6,3,0,0,0,0,0,0
