id,resource_id,info_detail_1,info_detail_2,champions_bg_id,champions_league_select_bg_sub_id,champions_bg_sub_id,champions_finish_bg_sub_id,champions_bg_position_x,champions_chara_select_bg_id,champions_chara_select_bg_sub_id,start_date,end_date,info_detail,champions_finish_bg_id,champions_finish_bg_position_x,notice_date
1,5,100006,100002,24,110,111,130,5500000,76,110,1620615600,1621479599,0,0,0,-32400
2,6,100007,100008,79,110,111,134,-6000000,76,110,1623294000,1624157999,0,0,0,-32400
3,7,500001,500002,24,110,111,130,5500000,76,110,1626750000,1627527599,0,0,0,-32400
4,8,500003,500004,78,110,111,130,-6000000,76,110,1629428400,1630292399,0,0,0,-32400
5,9,500005,500006,78,110,111,130,-6000000,76,110,1631847600,1632711599,0,0,0,-32400
6,10,500007,500008,79,110,111,134,-6000000,76,110,1634526000,1635389999,0,0,0,-32400
7,11,500009,500010,24,410,411,130,5500000,76,410,1637290800,1638154799,0,0,0,-32400
8,12,500011,500012,77,110,111,130,-6000000,76,110,1639710000,1640573999,0,0,0,-32400
9,1,500013,500014,88,410,411,130,5500000,76,410,1642474800,1643338799,0,0,0,-32400
10,2,500015,500016,24,110,111,130,5500000,110,110,1644807600,1645671599,0,0,0,-32400
11,3,500017,500018,78,410,411,130,-6000000,76,410,1647572400,1648436399,0,0,0,-32400
12,4,500019,500020,77,110,111,130,-6000000,76,110,1650337200,1651114799,0,0,0,-32400
13,5,500021,500022,24,110,111,130,5500000,76,110,1653015600,1653879599,0,0,0,-32400
14,6,500023,500024,24,110,111,130,5500000,76,110,1654830000,1655693999,0,0,0,-32400
15,7,500025,500026,78,410,411,130,-6000000,76,410,1657508400,1658285999,0,0,0,-32400
16,8,500027,500028,77,110,111,130,-6000000,76,110,1660100400,1660877999,0,0,0,-32400
17,9,500029,500030,114,120,121,132,-6000000,110,120,1662951600,1663729199,0,0,0,-32400
18,10,500031,500032,78,410,411,130,-6000000,76,410,1665457200,1666234799,0,0,0,-32400
19,11,500033,500034,79,110,111,134,-6000000,76,110,1667962800,1668826799,0,0,0,-32400
20,12,500035,500036,77,410,411,130,-6000000,76,410,1670814000,1671591599,0,0,0,-32400
21,1,500037,500038,88,110,111,130,5500000,76,110,1673319600,1674183599,0,0,0,-32400
22,2,500039,500040,24,410,411,130,5500000,110,410,1676257200,1677121199,0,0,0,-32400
23,3,500041,500042,77,110,111,130,-6000000,76,110,1678417200,1679281199,0,0,0,-32400
24,4,500043,500044,79,110,111,134,-6000000,76,110,1681095600,1681873199,0,0,0,-32400
25,14,500045,500046,24,410,411,130,5500000,76,410,1686279600,1687143599,0,0,0,-32400
26,17,500047,500048,212,110,111,130,3000000,110,110,1691982000,1692845999,0,0,0,-32400
27,15,500049,500050,245,410,411,130,-4500000,76,410,1696906800,1697684399,0,0,0,-32400
28,16,500051,500052,77,410,411,130,-6000000,76,410,1702263600,1703041199,0,0,0,-32400
29,13,500053,500054,78,410,411,130,-6000000,76,410,1707879600,1708743599,0,0,0,-32400
30,14,500055,500056,78,110,111,130,-6000000,76,110,1712631600,1713495599,0,0,0,-32400
31,15,500057,500058,24,410,411,130,5500000,76,410,1718593200,1719370799,0,0,0,-32400
32,17,500059,500060,88,110,111,130,5500000,110,110,1724295600,1725073199,0,0,0,-32400
33,15,500061,500062,24,110,111,130,5500000,76,110,1729393200,1730170799,0,0,0,-32400
34,16,500063,500064,77,410,411,130,-6000000,76,410,1734577200,1735354799,0,0,0,-32400
35,15,500065,500066,78,410,411,130,-6000000,76,410,1737342000,1738205999,0,0,0,-32400
36,14,500067,500068,78,110,111,130,-6000000,76,110,1742526000,1743389999,0,0,0,-32400
37,16,500069,500070,79,110,111,134,-6000000,76,110,1745031600,1745895599,0,0,0,-32400
38,15,500071,500072,24,110,111,130,5500000,76,110,1750129200,1750993199,0,0,0,-32400
39,15,500073,500074,78,410,411,130,-6000000,76,410,1753153200,1753930799,0,0,0,-32400
40,15,500075,500076,79,110,111,134,-6000000,76,110,1758250800,1759028399,0,0,0,-32400
41,13,500077,500078,300,410,411,130,-4500000,76,410,1760929200,1761706799,0,0,0,-32400
42,14,500079,500080,78,110,111,130,-6000000,76,110,1766026800,1766804399,0,0,0,-32400
43,16,500081,500082,77,110,111,130,-6000000,76,110,1768791600,1769569199,0,0,0,-32400
44,15,500083,500084,372,110,111,130,5500000,76,110,1773889200,1774666799,0,0,0,-32400
45,17,500085,500086,372,110,111,130,5500000,110,110,1776654000,1777431599,0,0,0,-32400
46,15,500087,500088,24,410,411,130,5500000,76,410,1781924400,1782701999,0,0,0,-32400
