chara_id,standby_motion_1,standby_motion_2,standby_motion_3,standby_motion_4,standby_motion_5,standby_motion_6
1001,1001002,1001020,2001,0,0,0
1002,1002005,2013,3001,0,0,0
1003,2001,1003001,1003006,0,0,0
1004,4002,3001,1004006,0,0,0
1005,2001,1005001,1005000,0,0,0
1006,2001,1006007,1006000,0,0,0
1007,2001,3002,1007000,0,0,0
1008,3009,1008006,1008001,0,0,0
1009,2001,4009,1009000,0,0,0
1010,1001,1010007,1010019,0,0,0
1011,1001,1011007,1011019,0,0,0
1012,1001,1012000,1012007,0,0,0
1013,2001,4001,5001,0,0,0
1014,2009,1014001,1014001,0,0,0
1015,2009,3002,1015006,0,0,0
1016,3000,1016015,1016001,0,0,0
1017,3001,2009,1017022,0,0,0
1018,2001,1009,1018001,0,0,0
1019,2015,1019016,1019001,0,0,0
1020,1020006,1001,1020016,0,0,0
1021,3003,1021801,1021007,0,0,0
1022,1022000,2002,1022019,0,0,0
1023,1023006,1001,1023015,0,0,0
1024,2002,3009,1024007,0,0,0
1025,2000,1025016,4000,0,0,0
1026,1001,2001,1026001,0,0,0
1027,2009,4001,1027006,0,0,0
1028,4002,1028016,1028000,0,0,0
1029,1029807,1029001,1029021,0,0,0
1030,3001,1030000,1030006,0,0,0
1031,1009,3001,1031006,0,0,0
1032,3009,4009,1032006,0,0,0
1033,3003,1033019,1033006,0,0,0
1034,7009,3009,4001,0,0,0
1035,4002,1035017,1035000,0,0,0
1036,26003,1036016,1036001,0,0,0
1037,1001,3001,1037016,0,0,0
1038,5001,3001,1038006,0,0,0
1039,1039000,1039001,1039022,0,0,0
1040,1001,1040016,1040006,0,0,0
1041,2009,1041007,4009,0,0,0
1042,2009,1001,1042016,0,0,0
1043,2009,4009,1043000,0,0,0
1044,3001,1044000,1001002,0,0,0
1045,1001000,1001001,1001002,0,0,0
1046,1046001,1046006,4002,0,0,0
1047,2001,1047805,1047000,0,0,0
1048,1048000,5002,1001002,0,0,0
1049,2009,3019,1049019,0,0,0
1050,1050000,1050019,1050011,0,0,0
1051,2002,1051011,1051001,0,0,0
1052,2002,3009,4001,0,0,0
1053,4009,1053016,1053000,0,0,0
1054,1009,2002,1054006,0,0,0
1055,4001,5002,1055007,0,0,0
1056,1009,2001,1056001,0,0,0
1057,4001,5001,2001,0,0,0
1058,1058019,1058006,1058012,0,0,0
1059,1001,3000,1059005,0,0,0
1060,4001,3014,1060006,0,0,0
1061,1061005,3009,1061006,0,0,0
1062,3014,1062000,1062005,0,0,0
1063,2000,1063013,1063006,0,0,0
1064,2001,3002,4002,0,0,0
1065,4009,5002,1065000,0,0,0
1066,2002,1066006,1066017,0,0,0
1067,2001,10001,1067004,0,0,0
1068,2001,1068014,1068000,0,0,0
1069,2009,4003,1069000,0,0,0
1070,2009,4009,1070001,0,0,0
1071,2002,1071000,1071015,0,0,0
1072,2000,1072001,1072013,0,0,0
1073,2009,4001,1073000,0,0,0
1074,2001,3002,1074013,0,0,0
1076,1001,2001,1076000,0,0,0
1077,2009,1077005,1077000,0,0,0
1078,3018,1078004,1078001,0,0,0
1079,3003,1079011,1079000,0,0,0
1080,3001,2000,1080001,0,0,0
1081,3009,4009,1081000,0,0,0
1082,2000,3001,1082001,0,0,0
1083,2017,3017,1083001,0,0,0
1084,2009,3003,1084000,0,0,0
1085,1017,2019,1085005,0,0,0
1086,1086011,2013,1086806,0,0,0
1087,2013,4002,1087000,0,0,0
1088,3000,4009,1088001,0,0,0
1089,1089012,1089005,1089013,0,0,0
1090,1000,2000,1090000,0,0,0
1091,2002,1091017,1091001,0,0,0
1092,2001,3001,1092000,0,0,0
1093,2013,4013,1093001,0,0,0
1094,2000,4009,1094000,0,0,0
1095,1017,2020,1095000,0,0,0
1096,2009,1096832,1096000,0,0,0
1097,1097014,2016,1097000,0,0,0
1098,1098014,3002,1098001,0,0,0
1099,1099000,2009,1099014,0,0,0
1100,2002,4001,1100003,0,0,0
1102,2018,1102018,1102001,0,0,0
1103,2000,4001,1103000,0,0,0
1104,2009,4009,1104000,0,0,0
1105,3017,4017,1105000,0,0,0
1106,2001,4001,1106000,0,0,0
1107,2009,4009,1107006,0,0,0
1108,1108008,4017,1108000,0,0,0
1109,3009,1109013,1109000,0,0,0
1110,1001,2003,1110009,0,0,0
1111,2000,1111000,1111003,0,0,0
1112,26000,4001,1112000,0,0,0
1113,1113813,3001,1113000,0,0,0
1114,4001,1114013,1114000,0,0,0
1115,2017,3017,1115000,0,0,0
1116,2013,3001,1116000,0,0,0
1117,2000,1117011,1117000,0,0,0
1118,1118800,11017,1118000,0,0,0
1119,4001,2001,1119000,0,0,0
1120,1120820,4017,1120001,0,0,0
1121,1017,2017,1121000,0,0,0
1124,26000,28000,1124000,0,0,0
1127,2017,1127800,1127000,0,0,0
1129,26009,1129019,1129000,0,0,0
1130,2000,1130015,1130000,0,0,0
1131,3009,4001,1131000,0,0,0
1132,2001,3013,1132000,0,0,0
1133,1133840,3018,1133000,0,0,0
1134,2013,3001,1134000,0,0,0
1135,1135016,3000,1135000,0,0,0
1136,1136015,2001,1136000,0,0,0
1137,2001,3009,1137000,0,0,0
1143,2000,1143014,1143000,0,0,0
