id,birth_year,birth_month,birth_day,last_year,sex,image_color_main,image_color_sub,ui_color_main,ui_color_sub,ui_training_color_1,ui_training_color_2,ui_border_color,ui_num_color_1,ui_num_color_2,ui_turn_color,ui_wipe_color_1,ui_wipe_color_2,ui_wipe_color_3,ui_speech_color_1,ui_speech_color_2,ui_nameplate_color_1,ui_nameplate_color_2,height,bust,scale,skin,shape,socks,personal_dress,tail_model_id,race_running_type,ear_random_time_min,ear_random_time_max,tail_random_time_min,tail_random_time_max,story_ear_random_time_min,story_ear_random_time_max,story_tail_random_time_min,story_tail_random_time_max,attachment_model_id,mini_mayu_shader_type,start_date,chara_category,love_rank_limit
1001,1995,5,2,1999,1,FCA7FF,FF58D9,EE6DCB,FFDEF9,FF7FDD,F759CD,F759CD,FF7FDD,FA50CD,FA50CD,FCCAEE,FCE3F5,FDEDFE,FF7FDD,FF7FDD,FF7CDC,FEB4EA,1,2,158,1,0,3,0,1,1,110,220,30,90,275,425,130,250,-1,0,1483196400,0,12
1002,1994,5,1,1998,1,8FE78D,FBFF3B,29BD70,FFCE48,4BD18C,27B36B,27B36B,4BD18C,27B36B,27B36B,BDF2D6,D4F2E2,FFF5CC,4BD18C,4BD18C,43C883,82ECB5,1,0,161,1,1,6,0,1,1,170,270,180,310,275,425,180,310,-1,0,1483196400,0,12
1003,1988,4,20,1993,1,A8C6FD,5277D6,3376D2,FF99D0,4C91F1,2B75DD,2B75DD,71ADFF,1667D9,1667D9,BCD5F5,D6E4F6,FFEBF6,4C91F1,4C91F1,4C91F1,8DBCFD,1,1,150,1,0,1,0,1,3,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1004,1974,5,19,1977,1,F84B40,FFCA3B,EA504A,FFCD00,FF8269,EB654B,EB654B,FF8E66,F76C51,F76C51,FFD0C4,FFE4DE,FFF5CC,FF7D63,FF7D63,FF7559,FFA18E,2,3,164,1,0,4,0,1,1,110,220,30,90,275,425,130,250,-1,0,1483196400,0,12
1005,1992,4,15,1995,1,6C6C6C,181818,444745,33B839,41CC70,28A853,28A853,4BDB7B,2BB258,28A853,BEFAD2,E0FFEB,F0FFF0,41CC70,41CC70,41CC70,7AF5A3,2,2,168,1,0,0,0,1,1,130,210,110,210,275,425,110,210,-1,0,1626058800,0,12
1006,1985,3,27,1990,1,7991EC,293CB2,3A7AD2,ECE7E7,5992DF,3B76C4,3B76C4,71ADFF,3578D4,3578D4,BFD4F5,D8E4F6,FFE0DE,5992DF,5992DF,5992DF,87B7F8,2,2,167,0,0,6,0,1,1,160,250,220,310,275,425,220,310,-1,0,1483196400,0,12
1007,2009,3,6,2015,1,FFFFFF,F84B40,DA3C57,E9DA36,F56E85,DB4D65,DB4D65,FD8297,DD415B,DD415B,FCCAD2,FCE3E7,FAF6E1,FB758C,FB758C,FA667F,FF98AA,2,3,170,0,0,3,0,1,3,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1008,2004,4,4,2010,2,FFEF72,2CD9B4,D4C200,3DD1D7,EECF02,D2AE08,DCAB00,EDCF02,EBB600,EBB600,FAEEB1,FBF3CC,E0F4F5,F8D90D,F8D90D,F3C801,F5E15F,2,1,165,2,0,4,0,1,3,130,210,110,210,275,425,110,210,-1,1,1483196400,0,12
1009,2004,5,13,2008,2,8DA3E7,3B61FF,4F64D8,E73472,7396F5,4D75E3,4D75E3,80A1F8,5880EE,5880EE,C8CFFA,E1E5FA,FBDCE7,7C9EFC,7C9EFC,648BF9,9CB6FC,2,3,163,1,2,3,0,1,1,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1010,1994,3,23,1998,1,CBFF9E,33B042,73C032,FFAC42,83D93A,67BD1C,67BD1C,83D93A,4DBC0A,4DBC0A,D6F2BD,E3F2D6,FFEED9,82D63C,82D63C,76CC2B,A5EA6A,2,4,172,2,0,4,0,1,1,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1011,1995,2,18,2000,1,A3B2D6,3357B0,3A34AC,E3493F,8F8AF7,736DED,736DED,8F8AF7,736DE8,736DE8,CCC8FA,E3E1FA,FCDFDE,8F8AF7,8F8AF7,8F8AFB,AFABFC,1,1,152,1,1,0,0,1,2,170,270,180,310,275,425,180,310,-1,0,1483196400,0,12
1012,1991,3,26,1996,2,5BA5DD,FFFFFF,2185D0,E6453A,40a5f7,3e7dd6,3e7dd6,6eadff,1e85d4,1e85d4,cfe1ff,dbecff,fff0f0,3a9ef0,3a9ef0,3795fa,7acaff,1,3,160,3,0,0,0,1,1,130,210,110,210,275,425,110,210,-1,0,1624244400,0,12
1013,1987,4,3,1993,1,38BDC3,FFFFFF,00B5BE,DFC8E7,3CCFD7,22B7BF,22B7BF,3CCFD7,22B7BF,22B7BF,B5F2F5,CDF3F5,F3E3FC,3CCFD7,3CCFD7,36C7CF,7CE3E9,1,0,159,0,1,2,0,1,1,170,270,180,310,275,425,180,310,-1,0,1483196400,0,12
1014,1995,3,17,1999,1,D64F3E,FDCE46,DD4E31,EFDB28,FF8960,F26A3D,F26A3D,FF8960,F26A3D,F26A3D,FCD4BD,FCE1DC,FBF3CC,FE8B64,FE8B64,FF8358,FEAD91,2,3,163,1,0,4,0,1,1,130,210,110,210,275,425,110,210,-1,3,1483196400,0,12
1015,1996,3,13,2001,1,ECEB61,FF83DA,F271C4,FBE415,f87ecd,ee55b7,ee55b7,f87ecd,e951b2,e951b2,f2c7e3,f7dfef,faf7dc,f87ecd,f87ecd,f975cb,fdabe0,1,1,156,1,0,3,0,1,1,130,210,110,210,275,425,110,210,-1,0,1614654000,0,12
