id,dress_id,area_map_id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
340001,34,0,#BD6F66,#BD6F66,#FFF7EE,#BD6F66,#DA966C,#BD6F66,#A54C40,#A54C40,#E7C48F,#A54C40,#BB5F53,#A54C40
340002,34,0,#124073,#124073,#FFFFFE,#124073,#244A75,#124073,#0E255B,#0E255B,#BBD1E2,#0E255B,#1B2B4E,#0E255B
340003,34,0,#000000,#000000,#FFFEFF,#275D5B,#506043,#275D5B,#000000,#000000,#AAC0AA,#1E3E4E,#453B3A,#1E3E4E
340004,34,0,#000000,#000000,#FFFEFF,#823638,#823638,#823638,#000000,#000000,#F1CBCB,#572517,#7B1826,#572517
340005,34,0,#000000,#000000,#F8F8F8,#474749,#595149,#474749,#000000,#000000,#C4BEBA,#282629,#47231D,#282629
340006,34,0,#FCFAFD,#FCFAFD,#FDFDFB,#FFFFAF,#FFFFC4,#FFFFAF,#ECE0F0,#ECE0F0,#F6F1F3,#FFD49D,#FDDFB6,#FFD49D
340007,34,0,#FCFAFD,#FCFAFD,#FEFAFF,#8464C5,#93619F,#8464C5,#ECE0F0,#ECE0F0,#EDD7F3,#4C4185,#88469E,#4C4185
340008,34,0,#FFFFFF,#FFFFFF,#FDFEFE,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#E9DCC1,#D7EAF9,#FAF3FB,#D7EAF9
350000,35,0,#000000,#000000,#000000,#FFE3BE,#FDE4C5,#FCC185,#000000,#000000,#000000,#CB8A61,#EB9F76,#ED8A60
350001,35,0,#000000,#000000,#000000,#DAD5F0,#F3EFFC,#E8DEF9,#000000,#000000,#000000,#AFA3D1,#D1D0EC,#C0AADB
350002,35,0,#000000,#000000,#000000,#FFFFFF,#F2FFEF,#E6FAD8,#000000,#000000,#000000,#A9D7EC,#CAE9BC,#9EDBBE
350003,35,0,#000000,#000000,#000000,#FDFBF7,#FFF4FE,#FFDCEC,#000000,#000000,#000000,#DCB1A4,#F5C8E2,#FFB6B3
350004,35,0,#000000,#000000,#000000,#FFFFFF,#E9F5F8,#D7F9FF,#000000,#000000,#000000,#BABBE2,#C0D3FD,#BAD3F8
350005,35,0,#000000,#000000,#000000,#FFFFFF,#FFF4CB,#FFDA6D,#000000,#000000,#000000,#F2D8AA,#F8C782,#F5B357
350006,35,0,#000000,#000000,#000000,#FFFEFF,#736DAD,#454386,#000000,#000000,#000000,#DFC1C1,#3D407B,#1B2654
350007,35,0,#000000,#000000,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#DDC093,#FFD9BE,#FFD9BE
