id,body_motion,body_motion_type,body_motion_path_segment,body_motion_play_type,face_type,cheek,eye_default,ear_motion,tail_motion,tail_motion_type
0,idle01,2,1,2,FutuA,0,0,EarC,,0
1,idle01,2,1,2,WaraiA,0,0,EarC,,0
2,idle01,2,1,2,WaraiC,0,0,EarC,,0
3,idle01,2,1,2,IkariA,0,0,EarC,,0
4,idle01,2,1,2,IkariC,0,0,EarC,,0
5,idle01,2,1,2,KanasiA,0,0,EarC,,0
6,idle01,2,1,2,KanasiC,0,0,EarC,,0
7,idle01,2,1,2,KomariA,0,0,EarC,,0
8,idle01,2,1,2,KomariC,0,0,EarC,,0
9,idle01,2,1,2,DoyaA,0,0,EarC,,0
10,idle01,2,1,2,OdorokiA,0,0,EarC,,0
11,idle01,2,1,2,OdorokiC,0,0,EarC,,0
12,idle01,2,1,2,JitomeA,0,0,EarC,,0
13,idle01,2,1,2,DereA,0,0,EarC,,0
14,idle01,2,1,2,KusyoAL,0,0,EarC,,0
15,idle01,2,1,2,KusyoCL,0,0,EarC,,0
16,idle01,2,1,2,Base,0,0,EarC,,0
17,idle01,2,1,2,KusyoEL,0,0,EarC,,0
18,idle01,2,1,2,FutuC,0,0,EarC,,0
19,idle01,2,1,2,CloseA,0,0,EarC,,0
20,idle01,2,1,2,CloseC,0,0,EarC,,0
21,idle01,2,1,2,CloseE,0,0,EarC,,0
1000,idle02,2,1,2,FutuA,0,0,EarC,,0
1001,idle02,2,1,2,WaraiA,0,0,EarC,,0
1002,idle02,2,1,2,WaraiC,0,0,EarC,,0
1003,idle02,2,1,2,IkariA,0,0,EarC,,0
1004,idle02,2,1,2,IkariC,0,0,EarC,,0
1005,idle02,2,1,2,KanasiA,0,0,EarC,,0
1006,idle02,2,1,2,KanasiC,0,0,EarC,,0
1007,idle02,2,1,2,KomariA,0,0,EarC,,0
1008,idle02,2,1,2,KomariC,0,0,EarC,,0
1009,idle02,2,1,2,DoyaA,0,0,EarC,,0
1010,idle02,2,1,2,OdorokiA,0,0,EarC,,0
1011,idle02,2,1,2,OdorokiC,0,0,EarC,,0
