id,chara_id,episode_index,story_id,lock_type_1,lock_value_1_1,lock_value_1_2,add_reward_category_1,add_reward_id_1,add_reward_num_1,exp_type
1,1001,1,41001001,0,0,0,90,43,20,1
2,1001,2,41001002,0,0,0,90,43,20,1
3,1001,3,41001003,0,0,0,90,43,20,1
4,1001,4,41001004,0,0,0,90,43,20,1
5,1001,5,41001005,6,1001,1,90,43,50,2
6,1001,6,41001006,6,1001,3,90,43,50,2
7,1001,7,41001007,6,1001,6,90,43,50,2
8,1002,1,41002001,0,0,0,90,43,20,1
9,1002,2,41002002,0,0,0,90,43,20,1
10,1002,3,41002003,0,0,0,90,43,20,1
11,1002,4,41002004,0,0,0,90,43,20,1
12,1002,5,41002005,6,1002,1,90,43,50,2
13,1002,6,41002006,6,1002,3,90,43,50,2
14,1002,7,41002007,6,1002,6,90,43,50,2
15,1003,1,41003001,0,0,0,90,43,20,1
16,1003,2,41003002,0,0,0,90,43,20,1
17,1003,3,41003003,0,0,0,90,43,20,1
18,1003,4,41003004,0,0,0,90,43,20,1
19,1003,5,41003005,6,1003,1,90,43,50,2
20,1003,6,41003006,6,1003,3,90,43,50,2
21,1003,7,41003007,6,1003,6,90,43,50,2
22,1004,1,41004001,0,0,0,90,43,20,1
23,1004,2,41004002,0,0,0,90,43,20,1
24,1004,3,41004003,0,0,0,90,43,20,1
25,1004,4,41004004,0,0,0,90,43,20,1
26,1004,5,41004005,6,1004,1,90,43,50,2
27,1004,6,41004006,6,1004,3,90,43,50,2
28,1004,7,41004007,6,1004,6,90,43,50,2
29,1005,1,41005001,0,0,0,90,43,20,1
30,1005,2,41005002,0,0,0,90,43,20,1
31,1005,3,41005003,0,0,0,90,43,20,1
32,1005,4,41005004,0,0,0,90,43,20,1
33,1005,5,41005005,6,1005,1,90,43,50,2
34,1005,6,41005006,6,1005,3,90,43,50,2
35,1005,7,41005007,6,1005,6,90,43,50,2
36,1006,1,41006001,0,0,0,90,43,20,1
37,1006,2,41006002,0,0,0,90,43,20,1
38,1006,3,41006003,0,0,0,90,43,20,1
39,1006,4,41006004,0,0,0,90,43,20,1
40,1006,5,41006005,6,1006,1,90,43,50,2
41,1006,6,41006006,6,1006,3,90,43,50,2
42,1006,7,41006007,6,1006,6,90,43,50,2
43,1007,1,41007001,0,0,0,90,43,20,1
44,1007,2,41007002,0,0,0,90,43,20,1
45,1007,3,41007003,0,0,0,90,43,20,1
46,1007,4,41007004,0,0,0,90,43,20,1
47,1007,5,41007005,6,1007,1,90,43,50,2
48,1007,6,41007006,6,1007,3,90,43,50,2
49,1007,7,41007007,6,1007,6,90,43,50,2
50,1008,1,41008001,0,0,0,90,43,20,1
51,1008,2,41008002,0,0,0,90,43,20,1
52,1008,3,41008003,0,0,0,90,43,20,1
53,1008,4,41008004,0,0,0,90,43,20,1
54,1008,5,41008005,6,1008,1,90,43,50,2
55,1008,6,41008006,6,1008,3,90,43,50,2
56,1008,7,41008007,6,1008,6,90,43,50,2
57,1009,1,41009001,0,0,0,90,43,20,1
58,1009,2,41009002,0,0,0,90,43,20,1
59,1009,3,41009003,0,0,0,90,43,20,1
60,1009,4,41009004,0,0,0,90,43,20,1
61,1009,5,41009005,6,1009,1,90,43,50,2
62,1009,6,41009006,6,1009,3,90,43,50,2
63,1009,7,41009007,6,1009,6,90,43,50,2
64,1010,1,41010001,0,0,0,90,43,20,1
65,1010,2,41010002,0,0,0,90,43,20,1
66,1010,3,41010003,0,0,0,90,43,20,1
67,1010,4,41010004,0,0,0,90,43,20,1
68,1010,5,41010005,6,1010,1,90,43,50,2
69,1010,6,41010006,6,1010,3,90,43,50,2
70,1010,7,41010007,6,1010,6,90,43,50,2
71,1011,1,41011001,0,0,0,90,43,20,1
72,1011,2,41011002,0,0,0,90,43,20,1
73,1011,3,41011003,0,0,0,90,43,20,1
74,1011,4,41011004,0,0,0,90,43,20,1
75,1011,5,41011005,6,1011,1,90,43,50,2
76,1011,6,41011006,6,1011,3,90,43,50,2
77,1011,7,41011007,6,1011,6,90,43,50,2
78,1012,1,41012001,0,0,0,90,43,20,1
79,1012,2,41012002,0,0,0,90,43,20,1
80,1012,3,41012003,0,0,0,90,43,20,1
81,1012,4,41012004,0,0,0,90,43,20,1
82,1012,5,41012005,6,1012,1,90,43,50,2
83,1012,6,41012006,6,1012,3,90,43,50,2
84,1012,7,41012007,6,1012,6,90,43,50,2
85,1013,1,41013001,0,0,0,90,43,20,1
86,1013,2,41013002,0,0,0,90,43,20,1
87,1013,3,41013003,0,0,0,90,43,20,1
88,1013,4,41013004,0,0,0,90,43,20,1
89,1013,5,41013005,6,1013,1,90,43,50,2
90,1013,6,41013006,6,1013,3,90,43,50,2
91,1013,7,41013007,6,1013,6,90,43,50,2
92,1014,1,41014001,0,0,0,90,43,20,1
93,1014,2,41014002,0,0,0,90,43,20,1
94,1014,3,41014003,0,0,0,90,43,20,1
95,1014,4,41014004,0,0,0,90,43,20,1
96,1014,5,41014005,6,1014,1,90,43,50,2
97,1014,6,41014006,6,1014,3,90,43,50,2
98,1014,7,41014007,6,1014,6,90,43,50,2
99,1015,1,41015001,0,0,0,90,43,20,1
100,1015,2,41015002,0,0,0,90,43,20,1
101,1015,3,41015003,0,0,0,90,43,20,1
102,1015,4,41015004,0,0,0,90,43,20,1
103,1015,5,41015005,6,1015,1,90,43,50,2
104,1015,6,41015006,6,1015,3,90,43,50,2
105,1015,7,41015007,6,1015,6,90,43,50,2
106,1017,1,41017001,0,0,0,90,43,20,1
107,1017,2,41017002,0,0,0,90,43,20,1
108,1017,3,41017003,0,0,0,90,43,20,1
109,1017,4,41017004,0,0,0,90,43,20,1
110,1017,5,41017005,6,1017,1,90,43,50,2
111,1017,6,41017006,6,1017,3,90,43,50,2
112,1017,7,41017007,6,1017,6,90,43,50,2
113,1018,1,41018001,0,0,0,90,43,20,1
114,1018,2,41018002,0,0,0,90,43,20,1
115,1018,3,41018003,0,0,0,90,43,20,1
116,1018,4,41018004,0,0,0,90,43,20,1
117,1018,5,41018005,6,1018,1,90,43,50,2
118,1018,6,41018006,6,1018,3,90,43,50,2
119,1018,7,41018007,6,1018,6,90,43,50,2
120,1020,1,41020001,0,0,0,90,43,20,1
121,1020,2,41020002,0,0,0,90,43,20,1
122,1020,3,41020003,0,0,0,90,43,20,1
123,1020,4,41020004,0,0,0,90,43,20,1
124,1020,5,41020005,6,1020,1,90,43,50,2
125,1020,6,41020006,6,1020,3,90,43,50,2
126,1020,7,41020007,6,1020,6,90,43,50,2
141,1023,1,41023001,0,0,0,90,43,20,1
142,1023,2,41023002,0,0,0,90,43,20,1
143,1023,3,41023003,0,0,0,90,43,20,1
144,1023,4,41023004,0,0,0,90,43,20,1
145,1023,5,41023005,6,1023,1,90,43,50,2
146,1023,6,41023006,6,1023,3,90,43,50,2
147,1023,7,41023007,6,1023,6,90,43,50,2
148,1024,1,41024001,0,0,0,90,43,20,1
149,1024,2,41024002,0,0,0,90,43,20,1
150,1024,3,41024003,0,0,0,90,43,20,1
151,1024,4,41024004,0,0,0,90,43,20,1
152,1024,5,41024005,6,1024,1,90,43,50,2
153,1024,6,41024006,6,1024,3,90,43,50,2
154,1024,7,41024007,6,1024,6,90,43,50,2
162,1027,1,41027001,0,0,0,90,43,20,1
163,1027,2,41027002,0,0,0,90,43,20,1
164,1027,3,41027003,0,0,0,90,43,20,1
165,1027,4,41027004,0,0,0,90,43,20,1
166,1027,5,41027005,6,1027,1,90,43,50,2
167,1027,6,41027006,6,1027,3,90,43,50,2
168,1027,7,41027007,6,1027,6,90,43,50,2
183,1032,1,41032001,0,0,0,90,43,20,1
184,1032,2,41032002,0,0,0,90,43,20,1
185,1032,3,41032003,0,0,0,90,43,20,1
186,1032,4,41032004,0,0,0,90,43,20,1
187,1032,5,41032005,6,1032,1,90,43,50,2
188,1032,6,41032006,6,1032,3,90,43,50,2
189,1032,7,41032007,6,1032,6,90,43,50,2
190,1035,1,41035001,0,0,0,90,43,20,1
191,1035,2,41035002,0,0,0,90,43,20,1
192,1035,3,41035003,0,0,0,90,43,20,1
193,1035,4,41035004,0,0,0,90,43,20,1
194,1035,5,41035005,6,1035,1,90,43,50,2
195,1035,6,41035006,6,1035,3,90,43,50,2
196,1035,7,41035007,6,1035,6,90,43,50,2
204,1037,1,41037001,0,0,0,90,43,20,1
205,1037,2,41037002,0,0,0,90,43,20,1
206,1037,3,41037003,0,0,0,90,43,20,1
207,1037,4,41037004,0,0,0,90,43,20,1
208,1037,5,41037005,6,1037,1,90,43,50,2
209,1037,6,41037006,6,1037,3,90,43,50,2
210,1037,7,41037007,6,1037,6,90,43,50,2
211,1040,1,41040001,0,0,0,90,43,20,1
212,1040,2,41040002,0,0,0,90,43,20,1
213,1040,3,41040003,0,0,0,90,43,20,1
214,1040,4,41040004,0,0,0,90,43,20,1
215,1040,5,41040005,6,1040,1,90,43,50,2
216,1040,6,41040006,6,1040,3,90,43,50,2
217,1040,7,41040007,6,1040,6,90,43,50,2
218,1041,1,41041001,0,0,0,90,43,20,1
219,1041,2,41041002,0,0,0,90,43,20,1
220,1041,3,41041003,0,0,0,90,43,20,1
221,1041,4,41041004,0,0,0,90,43,20,1
222,1041,5,41041005,6,1041,1,90,43,50,2
223,1041,6,41041006,6,1041,3,90,43,50,2
224,1041,7,41041007,6,1041,6,90,43,50,2
225,1045,1,41045001,0,0,0,90,43,20,1
226,1045,2,41045002,0,0,0,90,43,20,1
227,1045,3,41045003,0,0,0,90,43,20,1
228,1045,4,41045004,0,0,0,90,43,20,1
229,1045,5,41045005,6,1045,1,90,43,50,2
230,1045,6,41045006,6,1045,3,90,43,50,2
231,1045,7,41045007,6,1045,6,90,43,50,2
232,1046,1,41046001,0,0,0,90,43,20,1
233,1046,2,41046002,0,0,0,90,43,20,1
234,1046,3,41046003,0,0,0,90,43,20,1
235,1046,4,41046004,0,0,0,90,43,20,1
236,1046,5,41046005,6,1046,1,90,43,50,2
237,1046,6,41046006,6,1046,3,90,43,50,2
238,1046,7,41046007,6,1046,6,90,43,50,2
