id,chara_id,target_scene,target_cut,target_type,value
1001001,1001,0,0,0,1
1001002,1001,1,0,0,1
1001003,1001,1,1,0,1
1001004,1001,1,2,0,1
1001005,1001,1,3,0,2
1001006,1001,1,4,0,1
1001007,1001,1,5,0,1
1001008,1001,4,0,0,1
1001009,1001,7,0,0,2
1001010,1001,8,0,0,1
1001011,1001,3,1,0,5
1001012,1001,6,0,1,1
1001100,1001,2,103010,0,2
1001101,1001,2,103020,0,3
1001102,1001,2,103030,0,4
1001103,1001,2,103050,0,3
1001104,1001,2,103040,0,1
1001105,1001,2,105010,0,3
1001106,1001,2,105020,0,1
1001107,1001,2,105030,0,2
1001200,1001,2,101045,1,1
1001201,1001,2,102040,1,1
1001202,1001,2,101014,0,2
1001203,1001,2,101042,0,2
1001204,1001,2,101012,0,1
1001205,1001,2,101031,0,1
1001206,1001,2,101031,1,1
1001207,1001,2,101032,0,1
1001208,1001,2,101032,1,1
1001209,1001,2,101033,0,1
1001210,1001,2,101033,1,1
1001211,1001,2,101034,0,1
1001212,1001,2,101034,1,1
1001213,1001,2,102030,0,1
1001214,1001,2,102030,1,1
1001215,1001,2,104015,0,1
1001216,1001,2,104045,0,3
1001217,1001,2,106010,0,1
1001218,1001,2,106020,0,1
1001219,1001,2,106020,1,1
1001220,1001,2,106030,0,1
1001221,1001,2,106050,0,1
1001222,1001,2,106050,1,1
1001223,1001,2,106110,0,1
1001224,1001,2,106120,0,1
1001225,1001,2,106120,1,1
1001226,1001,2,106130,0,1
1001227,1001,2,106140,0,1
1001228,1001,2,106150,0,1
1001229,1001,2,106210,0,1
1001230,1001,2,106220,0,1
1001231,1001,2,106220,1,2
1001232,1001,2,106230,0,1
1001233,1001,2,106250,0,1
1001234,1001,9,1,0,1
1001235,1001,9,2,0,1
1001236,1001,9,3,0,1
1001237,1001,9,4,0,1
1001238,1001,9,3,4,4
1001239,1001,9,5,0,1
1001240,1001,9,6,0,1
1001241,1001,9,6,1,1
1001242,1001,9,6,2,1
1001243,1001,9,7,0,1
1001244,1001,9,7,1,2
1001245,1001,9,7,2,1
1001246,1001,9,7,3,2
1001247,1001,9,7,4,1
1001248,1001,9,7,5,2
1001249,1001,9,7,6,1
1001250,1001,9,8,0,1
1001251,1001,9,9,0,1
1001252,1001,2,108010,0,1
1001253,1001,2,108020,0,1
1001254,1001,2,108030,0,1
1001255,1001,2,108040,0,1
1001256,1001,2,107011,0,1
1001257,1001,2,107012,0,1
1001258,1001,2,107013,0,1
1001259,1001,2,107021,0,1
1001260,1001,2,107022,0,1
1001261,1001,2,107023,0,1
1001262,1001,2,107031,0,1
1001263,1001,2,107032,0,1
1001264,1001,2,107033,0,1
1001265,1001,2,107041,0,1
1001266,1001,2,107042,0,1
1001267,1001,2,107043,0,1
1001268,1001,2,107051,0,1
1001269,1001,2,107052,0,1
1001270,1001,2,107053,0,1
1001271,1001,10,0,0,1
1001272,1001,2,107030,0,1
1001273,1001,2,107030,1,1
1001274,1001,2,107040,1,1
1001275,1001,10,1,0,1
1001276,1001,5,9,0,1
1001277,1001,11,0,0,1
1001278,1001,11,1,0,1
1001279,1001,11,2,0,1
1001280,1001,2,109010,0,1
1001281,1001,2,109020,0,1
1001282,1001,2,109030,0,1
1001283,1001,5,0,6,1
1001286,1001,1013,1,0,1
1001287,1001,1013,2,0,1
1001288,1001,1013,3,0,1
1001289,1001,1013,4,0,1
1001290,1001,1013,5,0,6
1001291,1001,1013,6,0,1
1001292,1001,1013,7,0,1
1001293,1001,1013,8,0,1
1001294,1001,1013,9,0,1
1001295,1001,1013,10,0,1
1001401,1001,1014,1,0,4
1001402,1001,1014,2,0,1
1001403,1001,1014,3,0,1
1001404,1001,1014,4,0,1
1001405,1001,1014,5,0,1
1001406,1001,1014,6,0,1
1001407,1001,1014,6,1,1
1001408,1001,1014,6,2,1
1001409,1001,1014,7,0,1
1001410,1001,1014,7,1,1
1001411,1001,1014,7,2,1
1001412,1001,1014,8,0,1
1001413,1001,1014,8,1,1
1001414,1001,1014,8,2,1
1001415,1001,1014,9,0,1
1001416,1001,1014,10,0,1
1001300,1001,5,0,0,3
1001301,1001,5,1,6,1
1001302,1001,5,1,7,4
1001303,1001,5,2,1,5
1001304,1001,5,0,1,1
1001305,1001,5,0,2,1
1001306,1001,5,0,3,1
1001307,1001,5,0,4,1
1001308,1001,0,2,0,1
1001309,1001,0,3,0,1
1001310,1001,0,4,0,1
1001311,1001,0,5,0,1
1001312,1001,0,6,0,0
1001313,1001,5,0,5,1
1001400,1001,5,1,8,1
1002001,1002,0,0,0,1
1002002,1002,1,0,0,3
1002003,1002,1,1,0,2
1002004,1002,1,2,0,3
1002005,1002,1,3,0,4
1002006,1002,1,4,0,3
1002007,1002,1,5,0,3
1002008,1002,4,0,0,2
1002009,1002,7,0,0,1
1002010,1002,8,0,0,1
1002011,1002,3,1,0,2
1002012,1002,6,0,1,2
1002100,1002,2,103010,0,6
1002101,1002,2,103020,0,6
1002102,1002,2,103030,0,3
1002103,1002,2,103050,0,2
1002104,1002,2,103040,0,2
1002105,1002,2,105010,0,2
1002106,1002,2,105020,0,2
1002107,1002,2,105030,0,1
1002200,1002,2,101045,1,6
1002201,1002,2,102040,1,6
1002202,1002,2,101014,0,3
1002203,1002,2,101042,0,3
1002204,1002,2,101012,0,2
1002205,1002,2,101031,0,1
1002206,1002,2,101031,1,1
1002207,1002,2,101032,0,1
1002208,1002,2,101032,1,1
1002209,1002,2,101033,0,1
1002210,1002,2,101033,1,1
1002211,1002,2,101034,0,1
1002212,1002,2,101034,1,1
1002213,1002,2,102030,0,1
1002214,1002,2,102030,1,1
1002215,1002,2,104015,0,2
1002216,1002,2,104045,0,2
1002217,1002,2,106010,0,2
1002218,1002,2,106020,0,2
1002219,1002,2,106020,1,1
