id,all_reward_set_id,all_collect_item_num,item_category,item_id,item_num
1,1,10000000,97,115,5
2,1,15000000,11,161,4
3,1,20000000,40,154,1
4,1,25000000,11,162,2
5,1,30000000,93,44,3
6,1,40000000,11,163,1
7,1,50000000,40,153,1
8,2,10000000,97,115,10
9,2,20000000,11,161,16
10,2,30000000,93,44,50
11,2,40000000,40,220,2
12,2,50000000,40,221,2
13,2,60000000,97,115,20
14,2,70000000,11,162,24
15,2,80000000,93,44,100
16,2,90000000,11,163,12
17,2,100000000,40,219,1
18,3,1000000,55,730001,1
19,3,10000000,97,115,10
20,3,10000000,55,730002,1
21,3,20000000,11,161,16
22,3,30000000,93,44,50
23,3,40000000,40,236,2
24,3,50000000,40,237,2
25,3,60000000,97,115,20
26,3,70000000,11,162,24
27,3,80000000,93,44,100
28,3,90000000,11,163,12
29,3,100000000,40,235,1
30,3,100000000,55,730003,1
31,4,10000000,97,115,10
32,4,20000000,11,161,12
33,4,30000000,93,44,40
34,4,40000000,40,236,1
35,4,50000000,40,237,1
36,4,60000000,97,115,15
37,4,70000000,11,162,20
38,4,80000000,93,44,80
39,4,90000000,11,163,10
40,4,100000000,40,235,1
41,4,100000000,55,730004,1
