id,individual_reward_set_id,individual_collect_item_num,item_category,item_id,item_num
1,1,20,91,59,50000
2,1,30,30,110,20000
3,1,40,34,95,20
4,1,50,164,150,1
5,1,65,91,59,100000
6,1,80,30,110,50000
7,1,100,164,149,1
8,2,20,91,59,100000
9,2,40,30,110,20000
10,2,60,34,95,20
11,2,80,164,150,1
12,2,100,91,59,200000
13,2,130,30,110,50000
14,2,160,90,43,300
15,2,200,164,149,1
16,3,10,91,59,100000
17,3,20,30,110,20000
18,3,40,34,95,20
19,3,60,164,150,1
20,3,80,91,59,200000
21,3,100,30,110,50000
22,3,120,90,43,300
23,3,150,164,149,1
24,4,10,103,98,1000
25,4,20,91,59,100000
26,4,40,34,95,15
27,4,70,164,150,1
28,4,100,103,98,1500
29,4,130,91,59,150000
30,4,160,90,43,250
31,4,200,164,149,1
32,4,200,55,730005,1
