id,staging_mini_chara_group_id,staging_type,chara_id,dress_id,mini_motion_id,chara_angle,chara_id_2,dress_id_2,mini_motion_id_2,chara_angle_2,chara_id_3,dress_id_3,mini_motion_id_3,chara_angle_3,chara_id_4,dress_id_4,mini_motion_id_4,chara_angle_4,rate
1,1,1,1098,109801,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
2,1,2,1098,109801,139,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
3,1,3,1098,109801,600011,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
4,1,4,1098,109801,144,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
5,1,5,1098,109801,400005,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
6,1,6,1098,109801,139,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
7,2,1,1064,50,700036,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
8,2,1,1065,50,700036,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
9,2,1,1094,50,700036,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
10,2,1,1092,50,700036,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
11,2,2,1064,50,700029,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
12,2,2,1065,50,700028,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
13,2,2,1094,50,700030,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
14,2,2,1092,50,700031,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
15,2,3,1064,50,700043,0,1065,50,700044,0,1094,50,700045,0,1092,50,700046,0,10000
16,2,4,1064,50,700041,0,1065,50,700041,0,1094,50,700041,0,1092,50,700042,0,10000
17,2,5,1064,50,700038,0,1065,50,700037,0,1094,50,700039,0,1092,50,700040,0,10000
18,2,6,1064,50,700033,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
19,2,6,1065,50,700032,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
20,2,6,1094,50,700034,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
21,2,6,1092,50,700035,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
22,3,1,1097,52,700056,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
23,3,1,1038,51,700055,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
24,3,1,1113,52,700055,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
25,3,1,1132,51,700055,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
26,3,2,1097,2,700047,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
27,3,2,1038,2,700048,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
28,3,2,1113,2,700049,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
29,3,2,1132,2,700050,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
30,3,3,1132,51,700063,0,1038,51,700064,0,1097,52,700065,0,1113,52,700066,0,10000
31,3,4,1132,51,700057,0,1038,51,700057,0,1097,52,700058,0,1113,52,700057,0,10000
32,3,5,1132,51,700060,0,1038,51,700058,0,1097,52,700061,0,1092,52,700062,0,10000
33,3,6,1097,52,700051,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
34,3,6,1038,51,700052,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
35,3,6,1113,52,700053,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
36,3,6,1132,51,700054,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
37,4,1,1006,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
38,4,1,1021,5,700030,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
39,4,1,1045,5,700081,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
40,4,1,1034,5,700076,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
41,4,2,1006,5,700071,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
42,4,2,1021,5,700038,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
43,4,2,1045,5,700073,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
44,4,2,1034,5,600010,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
45,4,3,1045,5,700069,0,1021,5,700068,0,1006,5,700067,0,1034,5,700070,0,10000
46,4,4,1045,5,700077,0,1021,5,700077,0,1006,5,32,0,1034,5,32,0,10000
47,4,5,1045,5,700048,0,1021,5,700078,0,1006,5,700079,0,1034,5,700080,0,10000
48,4,6,1006,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
49,4,6,1021,5,700072,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
50,4,6,1045,5,700017,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
51,4,6,1034,5,700033,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
