id,group_id,difficulty,race_instance_id,cost_num,unique_chara_npc_min,unique_chara_npc_max,normal_rewards_odds_id,bonus_rewards_odds_id,rare_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,start_date,end_date
1,1,1,580001,1,1,1,1100,0,1101,90,43,50,91,59,3000,0,0,0,91,59,300,0,0,0,0,0,0,1483196400,2524575600
2,1,2,580002,1,3,3,1200,0,1201,90,43,100,91,59,8000,0,0,0,91,59,400,0,0,0,0,0,0,1483196400,2524575600
3,1,3,580003,1,5,5,1300,0,1301,90,43,150,91,59,12000,0,0,0,91,59,500,0,0,0,0,0,0,1483196400,2524575600
4,1,4,580004,1,6,6,1400,0,1401,90,43,150,91,59,20000,0,0,0,91,59,800,0,0,0,0,0,0,1646683200,2524575600
5,4,1,580031,1,1,1,2100,0,2101,90,43,50,93,44,5,0,0,0,11,160,1,11,161,1,0,0,0,1759762800,2524575600
6,4,2,580032,1,3,3,2200,0,2201,90,43,100,11,160,4,0,0,0,11,160,1,11,161,1,0,0,0,1759762800,2524575600
7,4,3,580033,1,5,5,2300,0,2301,90,43,150,11,161,4,0,0,0,11,160,1,11,161,1,0,0,0,1759762800,2524575600
8,4,4,580034,1,6,6,2400,0,2401,90,43,150,11,162,4,0,0,0,11,162,1,11,163,1,0,0,0,1759762800,2524575600
9,1,5,580005,1,7,7,1500,0,1501,90,43,150,91,59,60000,0,0,0,91,59,2900,0,0,0,0,0,0,1734638400,2524575600
10,4,5,580035,1,7,7,2500,0,2501,90,43,150,11,163,4,0,0,0,11,162,1,11,163,1,0,0,0,1759762800,2524575600
