support_card_id,distribution_flag
30022,1
30023,1
30025,1
30030,1
30033,1
30041,1
30044,1
30047,1
30057,1
30058,1
30059,1
30060,1
30061,1
30062,1
30066,1
30070,1
30074,1
30076,1
30079,1
30081,1
30084,1
30087,1
30088,1
30092,1
30096,1
30100,1
30104,1
30105,1
30109,1
30113,1
30117,1
30119,1
30121,1
30125,1
30129,1
30133,1
30135,1
30136,1
30140,1
30143,1
30145,1
30150,1
30155,1
30159,1
30162,1
30167,1
30171,1
30176,1
30180,1
30181,1
30185,1
30186,1
30189,1
30190,1
30191,1
30192,1
30194,1
30197,1
30200,1
30203,1
30205,1
30212,1
30213,1
30216,1
30217,1
30220,1
30221,1
30225,1
30231,1
30235,1
30239,1
30240,1
30243,1
30247,1
30251,1
30255,1
30259,1
30260,1
30263,1
30266,1
30269,1
30273,1
30280,1
30284,1
30288,1
30291,1
30295,1
30299,1
30303,1
