id,command_name,base_state_name,pose_blend,type,state_group,category,start_blend_time,end_blend_time
1,idle00,idle00,1,-2,2,0,2300,1600
2,idle01,idle01,1,-2,2,0,2300,1600
3,idle01_SL,idle01_SL,0,-2,5,0,2300,1600
4,idle02,idle02,1,-2,2,0,2300,1600
5,idle02_SL,idle02_SL,0,-2,5,0,2300,1600
6,act01,act01,0,-2,0,0,2300,1600
7,act02,act02,0,-2,0,0,2300,1600
8,act03,act03,0,-2,0,0,2300,1600
9,act04,act04,0,-2,0,0,2300,1600
10,mot01,mot01,1,-2,2,0,2300,1600
11,mot02,mot02,1,-2,2,0,2300,1600
12,mot03,mot03,1,-2,2,0,2300,1600
13,mot04,mot04,1,-2,2,0,2300,1600
14,mot05,mot05,1,-2,2,0,2300,1600
15,mot06,mot06,1,-2,2,0,2300,1600
16,mot07,mot07,1,-2,2,0,2300,1600
17,mot08,mot08,1,-2,2,0,2300,1600
18,mot09,mot09,1,-2,2,0,2300,1600
19,advice01,advice01,1,0,2,0,2300,1600
20,advice02,advice02,1,0,2,0,2300,1600
21,advice03,advice03,1,0,2,0,2300,1600
22,advice04,advice04,1,0,2,0,2300,1600
23,akire01,akire01,1,0,2,0,2300,1600
24,akire02,akire02,1,0,2,0,2300,1600
25,akire03,akire03,1,0,2,0,2300,1600
26,akire04,akire04,1,0,2,0,2300,1600
27,akire05,akire05,1,0,2,0,2300,1600
28,akire06,akire06,1,0,2,0,2300,1600
29,angry01,angry01,1,0,2,0,2300,1600
30,angry02,angry02,1,0,2,0,2300,1600
31,angry03,angry03,1,0,2,0,2300,1600
32,angry04,angry04,1,0,2,0,2300,1600
33,angry05,angry05,1,0,2,0,2300,1600
34,angry06,angry06,1,0,2,0,2300,1600
35,angry07,angry07,1,0,2,0,2300,1600
36,angry08,angry08,1,0,2,0,2300,1600
37,appeal01,appeal01,1,0,2,0,2300,1600
38,appeal02,appeal02,1,0,2,0,2300,1600
39,appeal03,appeal03,1,0,2,0,2300,1600
40,banzai01,banzai01,0,0,0,0,2300,1600
41,bit01,bit01,1,0,2,0,2300,1600
42,bow01,bow01,1,0,2,0,2300,1600
43,bow02,bow02,1,0,2,0,2300,1600
44,bow03,bow03,1,0,2,0,2300,1600
45,bow04,bow04,1,0,2,0,2300,1600
46,bow05,bow05,1,0,2,0,2300,1600
47,bow06,bow06,1,0,2,0,2300,1600
48,bow07,bow07,1,0,2,0,2300,1600
49,bow08,bow08,1,0,2,0,2300,1600
50,byebye01,byebye01,0,0,0,0,2300,1600
51,byebye02,byebye02,0,0,0,0,2300,1600
52,byebye03,byebye03,0,0,0,0,2300,1600
53,byebye04,byebye04,0,0,0,0,2300,1600
54,byebye05,byebye05,1,0,2,0,2300,1600
55,byebye06,byebye06,1,0,2,0,2300,1600
56,byebye07,byebye07,1,0,2,0,2300,1600
57,check01,check01,0,0,0,0,2300,1600
58,check02,check02,0,0,0,0,2300,1600
59,check03,check03,0,0,0,0,2300,1600
60,check04,check04,0,0,0,0,2300,1600
61,check05,check05,0,0,0,0,2300,1600
62,check06,check06,0,0,0,0,2300,1600
63,check07,check07,0,0,0,0,2300,1600
64,check08,check08,0,0,0,0,2300,1600
65,check09,check09,0,0,0,0,2300,1600
66,check10,check10,0,0,0,0,2300,1600
67,check11,check11,1,0,2,0,2300,1600
68,clap01,clap01,1,0,2,0,2300,1600
