id,box_id,box_num,item_category,item_id,item_num,rate,prize_type
1,1,3,174,195,1,3,1
2,1,3,90,43,300,3,1
3,1,1,164,149,1,1,1
4,1,1,164,150,1,1,1
5,1,1,11,163,1,1,1
6,1,2,11,162,1,2,1
7,1,4,11,161,1,4,2
8,1,8,11,160,1,8,2
9,1,1,97,115,5,1,2
10,1,5,34,95,1,5,2
11,1,5,150,116,1,5,2
12,1,10,91,59,30000,10,2
13,1,10,30,110,15000,10,2
14,1,3,103,98,1000,3,2
15,2,3,174,203,1,3,1
16,2,3,90,43,300,3,1
17,2,1,164,149,1,1,1
18,2,1,164,150,1,1,1
19,2,1,11,163,1,1,1
20,2,2,11,162,1,2,1
21,2,4,11,161,1,4,2
22,2,8,11,160,1,8,2
23,2,1,97,115,5,1,2
24,2,5,34,95,1,5,2
25,2,5,150,116,1,5,2
26,2,10,91,59,30000,10,2
27,2,10,30,110,15000,10,2
28,2,3,103,98,1000,3,2
29,3,3,174,208,1,3,1
30,3,3,90,43,300,3,1
31,3,1,164,149,1,1,1
32,3,1,164,150,1,1,1
33,3,5,93,44,8,5,1
34,3,2,11,163,2,2,1
35,3,2,11,162,5,2,1
36,3,5,11,161,2,5,2
37,3,5,11,160,4,5,2
38,3,1,97,115,5,1,2
39,3,5,34,95,1,5,2
40,3,5,150,116,1,5,2
41,3,10,91,59,30000,10,2
42,3,10,30,110,15000,10,2
43,3,3,103,98,1000,3,2
44,4,3,174,212,1,3,1
45,4,3,90,43,300,3,1
46,4,1,164,149,1,1,1
47,4,1,164,150,1,1,1
48,4,5,93,44,8,5,1
49,4,2,11,163,2,2,1
50,4,2,11,162,5,2,1
51,4,5,11,161,2,5,2
52,4,5,11,160,4,5,2
53,4,1,97,115,5,1,2
54,4,5,34,95,1,5,2
55,4,5,150,116,1,5,2
56,4,10,91,59,30000,10,2
57,4,10,30,110,15000,10,2
58,4,3,103,98,1000,3,2
59,5,3,174,224,1,3,1
60,5,4,90,43,300,4,1
61,5,1,164,149,1,1,1
62,5,1,164,150,1,1,1
63,5,5,93,44,8,5,1
64,5,2,11,163,2,2,1
65,5,2,11,162,5,2,1
66,5,5,11,161,2,5,2
67,5,5,11,160,4,5,2
68,5,1,97,115,5,1,2
69,5,5,34,95,1,5,2
70,5,5,150,116,1,5,2
71,5,10,91,59,30000,10,2
72,5,10,30,110,15000,10,2
73,5,3,103,98,1000,3,2
74,6,5,174,225,1,5,1
75,6,4,90,43,300,4,1
76,6,1,164,149,1,1,1
77,6,1,164,150,1,1,1
78,6,5,93,44,8,5,1
79,6,2,11,163,2,2,1
80,6,2,11,162,5,2,1
81,6,5,11,161,2,5,2
82,6,5,11,160,4,5,2
83,6,1,97,115,5,1,2
84,6,5,34,95,1,5,2
85,6,5,150,116,1,5,2
86,6,10,91,59,30000,10,2
87,6,10,30,110,15000,10,2
88,6,3,103,98,1000,3,2
89,7,3,174,232,1,3,1
90,7,4,90,43,300,4,1
91,7,1,164,149,1,1,1
92,7,1,164,150,1,1,1
93,7,5,93,44,8,5,1
94,7,2,11,163,2,2,1
95,7,2,11,162,5,2,1
96,7,5,11,161,2,5,2
97,7,5,11,160,4,5,2
98,7,1,97,115,5,1,2
99,7,5,34,95,1,5,2
100,7,5,150,116,1,5,2
101,7,10,91,59,30000,10,2
102,7,10,30,110,15000,10,2
103,7,3,103,98,1000,3,2
104,8,3,174,257,1,3,1
105,8,4,90,43,300,4,1
106,8,1,164,149,1,1,1
107,8,1,164,150,1,1,1
108,8,5,93,44,20,5,1
109,8,2,11,163,3,2,1
110,8,2,11,162,6,2,1
111,8,5,11,161,2,5,2
112,8,5,11,160,4,5,2
113,8,1,97,115,5,1,2
114,8,5,34,95,1,5,2
115,8,5,150,116,1,5,2
116,8,10,91,59,60000,10,2
117,8,10,30,110,15000,10,2
118,8,3,103,98,1000,3,2
119,9,3,174,261,1,3,1
120,9,4,90,43,300,4,1
121,9,1,164,149,1,1,1
122,9,1,164,150,1,1,1
123,9,5,93,44,20,5,1
124,9,2,11,163,3,2,1
125,9,2,11,162,6,2,1
126,9,5,11,161,2,5,2
127,9,5,11,160,4,5,2
128,9,1,97,115,5,1,2
129,9,5,34,95,1,5,2
130,9,5,150,116,1,5,2
131,9,10,91,59,60000,10,2
132,9,10,30,110,15000,10,2
133,9,3,103,98,1000,3,2
134,10,3,174,263,1,3,1
135,10,4,90,43,300,4,1
136,10,1,164,149,1,1,1
137,10,1,164,150,1,1,1
138,10,5,93,44,20,5,1
139,10,2,11,163,3,2,1
140,10,2,11,162,6,2,1
141,10,5,11,161,2,5,2
142,10,5,11,160,4,5,2
143,10,1,97,115,5,1,2
144,10,5,34,95,1,5,2
145,10,5,150,116,1,5,2
146,10,10,91,59,60000,10,2
147,10,10,30,110,15000,10,2
148,10,3,103,98,1000,3,2
149,11,3,174,276,1,3,1
150,11,4,90,43,300,4,1
151,11,1,164,149,1,1,1
152,11,1,164,150,1,1,1
153,11,5,93,44,20,5,1
154,11,2,11,163,3,2,1
155,11,2,11,162,6,2,1
156,11,5,11,161,2,5,2
157,11,5,11,160,4,5,2
158,11,1,97,115,5,1,2
159,11,5,34,95,1,5,2
160,11,5,150,116,1,5,2
161,11,10,91,59,60000,10,2
162,11,10,30,110,15000,10,2
163,11,3,103,98,1000,3,2
164,12,3,174,279,1,3,1
165,12,4,90,43,300,4,1
166,12,1,164,149,1,1,1
167,12,1,164,150,1,1,1
168,12,5,93,44,20,5,1
169,12,2,11,163,3,2,1
170,12,2,11,162,6,2,1
171,12,5,11,161,2,5,2
172,12,5,11,160,4,5,2
173,12,1,97,115,5,1,2
174,12,5,34,95,1,5,2
175,12,5,150,116,1,5,2
176,12,10,91,59,60000,10,2
177,12,10,30,110,15000,10,2
178,12,3,103,98,1000,3,2
179,13,3,174,285,1,3,1
180,13,4,90,43,300,4,1
181,13,1,164,149,1,1,1
182,13,1,164,150,1,1,1
183,13,5,93,44,20,5,1
184,13,2,11,163,3,2,1
185,13,2,11,162,6,2,1
186,13,5,11,161,2,5,2
187,13,5,11,160,4,5,2
188,13,1,97,115,5,1,2
189,13,5,34,95,1,5,2
190,13,5,150,116,1,5,2
191,13,10,91,59,60000,10,2
192,13,10,30,110,15000,10,2
193,13,3,103,98,1000,3,2
194,14,3,174,291,1,3,1
195,14,4,90,43,300,4,1
196,14,1,164,149,1,1,1
197,14,1,164,150,1,1,1
198,14,5,93,44,20,5,1
199,14,2,11,163,3,2,1
200,14,2,11,162,6,2,1
201,14,5,11,161,2,5,2
202,14,5,11,160,4,5,2
203,14,1,97,115,5,1,2
204,14,5,34,95,1,5,2
205,14,5,150,116,1,5,2
206,14,10,91,59,60000,10,2
207,14,10,30,110,15000,10,2
208,14,3,103,98,1000,3,2
209,15,3,174,297,1,3,1
210,15,4,90,43,300,4,1
211,15,1,164,149,1,1,1
212,15,1,164,150,1,1,1
213,15,5,93,44,20,5,1
214,15,2,11,163,3,2,1
215,15,2,11,162,6,2,1
216,15,5,11,161,2,5,2
217,15,5,11,160,4,5,2
218,15,1,97,115,5,1,2
219,15,5,34,95,1,5,2
220,15,5,150,116,1,5,2
221,15,20,91,59,30000,20,2
222,15,3,103,98,1000,3,2
223,16,3,174,299,1,3,1
224,16,4,90,43,300,4,1
225,16,1,164,149,1,1,1
226,16,1,164,150,1,1,1
227,16,5,93,44,20,5,1
228,16,2,11,163,3,2,1
229,16,2,11,162,6,2,1
230,16,5,11,161,2,5,2
231,16,5,11,160,4,5,2
232,16,1,97,115,5,1,2
233,16,5,34,95,1,5,2
234,16,5,150,116,1,5,2
235,16,20,91,59,30000,20,2
236,16,3,103,98,1000,3,2
237,17,3,174,302,1,3,1
