factor_research_event_id,consume_tp_ratio,bonus_reward_ratio,result_type,special_event_type,chara_id,dress_id,in_motion,stand_motion,prize_motion1,prize_motion2,notice_date,start_date,ending_date,end_date
1001,20000,20000,2,0,1032,103201,800001,1,800002,800003,1679194800,1679281200,1680058799,1680317999
1002,20000,20000,2,0,1032,103201,800001,1,800002,800003,1687057200,1687143600,1688007599,1688266799
1003,20000,20000,2,0,1032,103201,800001,1,800002,800003,1697598000,1697684400,1698634799,1698893999
1004,20000,20000,2,0,1032,103201,800001,1,800002,800003,1705546800,1705633200,1706669999,1706929199
1005,20000,20000,2,0,1032,103201,800001,1,800002,800003,1710903600,1710990000,1711681199,1711940399
1006,20000,20000,2,1,1032,103201,800001,1,800002,800003,1716260400,1716346800,1717037999,1717297199
1007,20000,20000,2,0,1032,103201,800001,1,800002,800003,1720407600,1720494000,1721357999,1721617199
1008,20000,20000,2,0,1032,103201,800001,1,800002,800003,1725850800,1725937200,1726801199,1727060399
1009,20000,20000,2,0,1032,103201,800001,1,800002,800003,1730948400,1731034800,1731898799,1732157999
1010,20000,20000,2,0,1032,103201,800001,1,800002,800003,1736391600,1736478000,1737341999,1737601199
1011,20000,20000,2,0,1032,103201,800001,1,800002,800003,1741575600,1741662000,1742525999,1742785199
1012,20000,20000,2,0,1032,103201,800001,1,800002,800003,1746932400,1747018800,1747796399,1748055599
1013,20000,20000,2,0,1032,103201,800001,1,800002,800003,1752116400,1752202800,1753153199,1753412399
1014,20000,20000,2,0,1032,103201,800001,1,800002,800003,1757300400,1757386800,1758250799,1758509999
1015,20000,20000,2,0,1032,103201,800001,1,800002,800003,1759978800,1760065200,1760842799,1761101999
1016,20000,20000,2,0,1032,103201,800001,1,800002,800003,1762657200,1762743600,1763521199,1763780399
1017,20000,20000,2,0,1032,103201,800001,1,800002,800003,1765335600,1765422000,1766113199,1766372399
1018,20000,20000,2,0,1032,103201,800001,1,800002,800003,1767754800,1767841200,1768791599,1769050799
1019,20000,20000,2,0,1032,103201,800001,1,800002,800003,1773111600,1773198000,1773889199,1774148399
1020,20000,20000,2,0,1032,103201,800001,1,800002,800003,1775790000,1775876400,1776567599,1776826799
1021,20000,20000,2,0,1032,103201,800001,1,800002,800003,1778382000,1778468400,1779245999,1779505199
1022,20000,20000,2,0,1032,103201,800001,1,800002,800003,1781406000,1781492400,1782183599,1782442799
