id,group_id,target_gacha_id,disp_order
1,50029,50029,10
2,50029,50031,9
3,50029,50033,8
4,50029,50035,7
5,50029,50037,6
6,50029,50039,5
7,50029,50041,4
8,50029,50043,3
9,50029,50045,2
10,50029,50047,1
11,50030,50030,10
12,50030,50032,9
13,50030,50034,8
14,50030,50036,7
15,50030,50038,6
16,50030,50040,5
17,50030,50042,4
18,50030,50044,3
19,50030,50046,2
20,50030,50048,1
21,50132,50132,8
22,50132,50133,7
23,50132,50134,6
24,50132,50135,5
25,50132,50136,4
28,50132,50137,3
29,50132,50138,2
30,50132,50139,1
31,50140,50140,5
33,50140,50141,4
35,50140,50142,3
37,50140,50143,2
39,50140,50144,1
40,50200,50200,8
41,50200,50201,7
42,50200,50202,6
43,50200,50203,5
44,50200,50204,4
45,50200,50205,3
46,50200,50206,2
47,50200,50207,1
48,50208,50208,5
49,50208,50209,4
50,50208,50210,3
51,50208,50211,2
52,50208,50212,1
